;Date;Last Px;Open Px;Volume;High Px;Low Px;;Contracts;;
Th;3/9/2020;10720;11440;15412;11530;10460;;BTCU0;06/29/20;09/04/2020
We;2/9/2020;11460;12135;17210;12175;11165;;BTCM0;03/30/20;06/26/20
Tu;1/9/2020;12075;11755;8919;12200;11625;;BTCH0;12/30/19;03/27/20
Mo;08/31/2020;11835;11735;4865;11915;11705;;BTCZ9;09/30/19;12/27/19
;;0;;;;;;BTCU19;07/01/2019;09/27/19
Fr;08/28/2020;11630;11420;7783;11700;11370;;BTCM19;04/01/2019;06/28/19
Th;08/27/2020;11340;11620;4740;11740;11205;;BTCH19;12/31/18;03/29/19
We;08/26/2020;11630;11415;2732;11715;11395;;BTCZ18;10/01/2018;12/28/18
Tu;08/25/2020;11440;11935;2883;11975;11260;;BTCU18;09/05/2018;09/28/18
Mo;08/24/2020;11940;11850;2090;12015;11750;;;;
;;0;;;;;;;;
Fr;08/21/2020;11860;12155;1558;12155;11770;;;;
Th;08/20/2020;12055;11925;734;12110;11880;;;;
We;08/19/2020;11845;12270;1046;12295;11745;;;;
Tu;08/18/2020;12190;12625;1310;12660;12015;;;;
Mo;08/17/2020;12625;12085;1010;12770;12025;;;;
;;0;;;;;;;;
Fr;08/14/2020;12040;11900;938;12105;11875;;;;
Th;08/13/2020;11705;11765;709;11855;11465;;;;
We;12/8/2020;11770;11485;604;11835;11340;;;;
Tu;11/8/2020;11550;12035;1558;12185;11325;;;;
Mo;10/8/2020;12115;11870;908;12330;11815;;;;
;;0;;;;;;;;
Fr;7/8/2020;11690;11980;1316;12180;11515;;;;
Th;6/8/2020;12120;12005;764;12170;11855;;;;
We;5/8/2020;11930;11500;1248;12035;11310;;;;
Tu;4/8/2020;11480;11625;624;11655;11230;;;;
Mo;3/8/2020;11695;11455;787;11785;11260;;;;
;;0;;;;;;;;
Fr;07/31/2020;11700;11415;1344;11850;11290;;;;
Th;07/30/2020;11440;11670;517;11670;11145;;;;
We;07/29/2020;11530;11235;494;11620;11165;;;;
Tu;07/28/2020;11315;11485;1311;11730;11000;;;;
Mo;07/27/2020;11145;9910;1340;11275;9910;;;;
;;0;;;;;;;;
Fr;07/24/2020;9750;9785;104;9795;9665;;;;
Th;07/23/2020;9775;9535;268;9835;9535;;;;
We;07/22/2020;9530;9545;143;9550;9470;;;;
Tu;07/21/2020;9510;9295;223;9585;9295;;;;
Mo;07/20/2020;9300;9350;73;9350;9270;;;;
;;0;;;;;;;;
Fr;07/17/2020;9290;9240;75;9305;9195;;;;
Th;07/16/2020;9245;9295;50;9340;9140;;;;
We;07/15/2020;9295;9415;144;9415;9285;;;;
Tu;07/14/2020;9425;9305;109;9420;9305;;;;
Mo;07/13/2020;9380;9455;86;9495;9345;;;;
;;0;;;;;;;;
Fr;10/7/2020;9385;9350;12;9365;9300;;;;
Th;9/7/2020;9365;9535;97;9560;9320;;;;
We;8/7/2020;9600;9400;193;9650;9400;;;;
Tu;7/7/2020;9400;9495;114;9495;9380;;;;
Mo;6/7/2020;9450;9215;123;9525;9215;;;;
;;0;;;;;;;;
Th;2/7/2020;9165;9405;155;9405;9100;;;;
We;1/7/2020;9415;9270;171;9470;9235;;;;
Tu;06/30/2020;9285;9380;137;9380;9230;;;;
Mo;06/29/2020;9295;9240;117;9295;9170;;;;
;;0;;;;;;;;
Fr;06/26/2020;9084;9285;1005;9300;9055;;;;
Th;06/25/2020;9280;9245;5012;9315;8985;;;;
We;06/24/2020;9285;9665;8255;9685;9180;;;;
Tu;06/23/2020;9660;9725;3811;9755;9600;;;;
Mo;06/22/2020;9585;9350;5062;9700;9280;;;;
;;0;;;;;;;;
Fr;06/19/2020;9315;9385;3481;9465;9245;;;;
Th;06/18/2020;9410;9425;2135;9515;9320;;;;
We;06/17/2020;9325;9540;3206;9600;9255;;;;
Tu;06/16/2020;9530;9475;3436;9630;9415;;;;
Mo;06/15/2020;9440;9370;5850;9525;8930;;;;
;;0;;;;;;;;
Fr;12/6/2020;9465;9380;3848;9610;9265;;;;
Th;11/6/2020;9300;9945;10869;10060;9090;;;;
We;10/6/2020;9935;9905;7010;10130;9720;;;;
Tu;9/6/2020;9805;9630;4291;9985;9620;;;;
Mo;8/6/2020;9780;9810;3757;9900;9720;;;;
;;0;;;;;;;;
Fr;5/6/2020;9800;9865;4508;9950;9675;;;;
Th;4/6/2020;9895;9665;4328;9985;9535;;;;
We;3/6/2020;9655;9580;3179;9730;9465;;;;
Tu;2/6/2020;9580;9745;14048;10565;9335;;;;
Mo;1/6/2020;9650;9530;3656;9775;9465;;;;
;;0;;;;;;;;
Fr;05/29/2020;9470;9535;3864;9720;9400;;;;
Th;05/28/2020;9560;9145;3729;9645;9130;;;;
We;05/27/2020;9250;8915;2554;9335;8870;;;;
Tu;05/26/2020;8855;9120;2493;9130;8695;;;;
;;0;;;;;;;;
Fr;05/22/2020;9255;9220;595;9370;9045;;;;
Th;05/21/2020;9165;9655;1506;9680;8900;;;;
We;05/20/2020;9640;9785;843;9975;9380;;;;
Tu;05/19/2020;9765;9825;695;10040;9590;;;;
Mo;05/18/2020;9830;9800;1001;10125;9630;;;;
;;0;;;;;;;;
Fr;05/15/2020;9455;9955;880;9970;9245;;;;
Th;05/14/2020;9815;9530;642;10125;9435;;;;
We;05/13/2020;9325;8905;762;9450;8905;;;;
Tu;12/5/2020;8930;8720;704;9105;8655;;;;
Mo;11/5/2020;8845;8860;1491;9280;8315;;;;
;;0;;;;;;;;
Fr;8/5/2020;10090;10120;628;10275;9920;;;;
Th;7/5/2020;10060;9455;1060;10145;9185;;;;
We;6/5/2020;9385;9140;663;9530;9025;;;;
Tu;5/5/2020;9020;9075;412;9225;8885;;;;
Mo;4/5/2020;8965;9050;314;9060;8625;;;;
;;0;;;;;;;;
Fr;1/5/2020;8850;8850;494;9135;8725;;;;
Th;04/30/2020;8950;8900;734;9585;8520;;;;
We;04/29/2020;8860;7810;1535;9085;7805;;;;
Tu;04/28/2020;7785;7835;639;7875;7760;;;;
Mo;04/27/2020;7795;7700;480;7910;7680;;;;
;;0;;;;;;;;
Fr;04/24/2020;7610;7715;695;7720;7500;;;;
Th;04/23/2020;7660;7200;1128;7855;7130;;;;
We;04/22/2020;7160;6870;264;7235;6840;;;;
Tu;04/21/2020;6910;6895;174;6975;6830;;;;
Mo;04/20/2020;6825;7240;127;7290;6800;;;;
;;0;;;;;;;;
Fr;04/17/2020;7125;7200;120;7280;7075;;;;
Th;04/16/2020;7155;6750;195;7235;6490;;;;
We;04/15/2020;6755;6945;51;6975;6725;;;;
Tu;04/14/2020;6965;6860;109;7010;6820;;;;
Mo;04/13/2020;6825;7145;408;7175;6595;;;;
;;0;;;;;;;;
Th;9/4/2020;7365;7500;101;7500;7200;;;;
We;8/4/2020;7425;7380;220;7545;7340;;;;
Tu;7/4/2020;7430;7415;447;7560;7320;;;;
Mo;6/4/2020;7415;6870;125;7420;6870;;;;
;;0;;;;;;;;
Fr;3/4/2020;6865;6975;166;7150;6695;;;;
Th;2/4/2020;6935;6520;305;7385;6510;;;;
We;1/4/2020;6255;6510;48;6510;6230;;;;
Tu;03/31/2020;6530;6535;134;6565;6410;;;;
Mo;03/30/2020;6425;5980;193;6580;5900;;;;
;;0;;;;;;;;
Fr;03/27/2020;6648;6755;464;6855;6570;;;;
Th;03/26/2020;6675;6600;3497;6805;6520;;;;
We;03/25/2020;6630;6740;5175;6995;6465;;;;
Tu;03/24/2020;6725;6450;7837;6885;6395;;;;
Mo;03/23/2020;6300;6060;8329;6650;5685;;;;
;;0;;;;;;;;
Fr;03/20/2020;6210;6275;6787;6950;5665;;;;
Th;03/19/2020;6240;5380;8961;6410;5275;;;;
We;03/18/2020;5340;5440;8746;5475;4990;;;;
Tu;03/17/2020;5380;4975;6875;5525;4835;;;;
Mo;03/16/2020;4930;5850;14879;5850;4390;;;;
;;0;;;;;;;;
Fr;03/13/2020;5330;5775;15531;5935;4210;;;;
Th;12/3/2020;6010;7840;16034;8000;5595;;;;
We;11/3/2020;7855;7990;3910;8025;7610;;;;
Tu;10/3/2020;7995;7835;5067;8175;7755;;;;
Mo;9/3/2020;7850;8265;9510;8280;7640;;;;
;;0;;;;;;;;
Fr;6/3/2020;9165;9140;1827;9250;9060;;;;
Th;5/3/2020;9195;8805;3734;9250;8795;;;;
We;4/3/2020;8760;8830;1842;8910;8700;;;;
Tu;3/3/2020;8770;8990;2956;8995;8740;;;;
Mo;2/3/2020;8975;8645;2157;9030;8540;;;;
;;0;;;;;;;;
Fr;02/28/2020;8700;8855;3889;8965;8480;;;;
Th;02/27/2020;8945;8800;2186;9055;8575;;;;
We;02/26/2020;8885;9510;2011;9530;8705;;;;
Tu;02/25/2020;9435;9815;1538;9850;9385;;;;
Mo;02/24/2020;9745;10010;1636;10220;9640;;;;
;;0;;;;;;;;
Fr;02/21/2020;9885;9785;267;9950;9745;;;;
Th;02/20/2020;9760;9880;441;9880;9560;;;;
We;02/19/2020;10395;10470;742;10705;9455;;;;
Tu;02/18/2020;10415;10255;2045;10455;9660;;;;
;;0;;;;;;;;
Fr;02/14/2020;10675;10545;456;10795;10425;;;;
Th;02/13/2020;10490;10690;486;10880;10425;;;;
We;12/2/2020;10730;10535;363;10820;10520;;;;
