,datetime,open,timeToMaturityinYears,instrumentName
0,2022-07-05 22:00:00,20348.01,0.0,spot
3,2022-07-05 22:00:00,20310.0,0.06506849315068494,BTCN2022
4,2022-07-05 22:00:00,20340.0,0.14178082191780822,BTCQ2022
5,2022-07-05 22:00:00,20335.0,0.23767123287671232,BTCU2022
7,2022-07-05 22:00:00,20385.0,0.31438356164383563,BTCV2022
8,2022-07-05 22:00:00,20090.0,0.3910958904109589,BTCX2022
9,2022-07-05 22:00:00,20560.0,0.486986301369863,BTCZ2022
1,2022-07-05 22:00:00,20960.0,0.717123287671233,BTCH2023
2,2022-07-05 22:00:00,21385.0,0.9856164383561644,BTCM2023
6,2022-07-05 22:00:00,22110.0,1.234931506849315,BTCU2023
10,2022-07-05 22:00:00,22480.0,1.484246575342466,BTCZ2023
