Date,BITW20,% Change
Sat Dec 31 2016 19:00:00 GMT-0500,964,
Sun Jan 01 2017 19:00:00 GMT-0500,978.53,1.51%
Mon Jan 02 2017 19:00:00 GMT-0500,985.83,0.75%
Tue Jan 03 2017 19:00:00 GMT-0500,1003.79,1.82%
Wed Jan 04 2017 19:00:00 GMT-0500,1110.15,10.60%
Thu Jan 05 2017 19:00:00 GMT-0500,1010.23,-9.00%
Fri Jan 06 2017 19:00:00 GMT-0500,937.8,-7.17%
Sat Jan 07 2017 19:00:00 GMT-0500,945.9,0.86%
Sun Jan 08 2017 19:00:00 GMT-0500,948.33,0.26%
Mon Jan 09 2017 19:00:00 GMT-0500,947.1,-0.13%
Tue Jan 10 2017 19:00:00 GMT-0500,958.42,1.19%
Wed Jan 11 2017 19:00:00 GMT-0500,848.01,-11.52%
Thu Jan 12 2017 19:00:00 GMT-0500,898.03,5.90%
Fri Jan 13 2017 19:00:00 GMT-0500,907.06,1.01%
Sat Jan 14 2017 19:00:00 GMT-0500,928.74,2.39%
Sun Jan 15 2017 19:00:00 GMT-0500,951.23,2.42%
Mon Jan 16 2017 19:00:00 GMT-0500,960.91,1.02%
Tue Jan 17 2017 19:00:00 GMT-0500,992.64,3.30%
Wed Jan 18 2017 19:00:00 GMT-0500,985.89,-0.68%
Thu Jan 19 2017 19:00:00 GMT-0500,993.38,0.76%
Fri Jan 20 2017 19:00:00 GMT-0500,974.72,-1.88%
Sat Jan 21 2017 19:00:00 GMT-0500,1002.88,2.89%
Sun Jan 22 2017 19:00:00 GMT-0500,999.5,-0.34%
Mon Jan 23 2017 19:00:00 GMT-0500,1018.04,1.86%
Tue Jan 24 2017 19:00:00 GMT-0500,991.18,-2.64%
Wed Jan 25 2017 19:00:00 GMT-0500,994.16,0.30%
Thu Jan 26 2017 19:00:00 GMT-0500,1009.17,1.51%
Fri Jan 27 2017 19:00:00 GMT-0500,1016.61,0.74%
Sat Jan 28 2017 19:00:00 GMT-0500,1039.24,2.23%
Sun Jan 29 2017 19:00:00 GMT-0500,1077.87,3.72%
Mon Jan 30 2017 19:00:00 GMT-0500,1079.4,0.14%
Tue Jan 31 2017 19:00:00 GMT-0500,1074.96,-0.41%
Wed Feb 01 2017 19:00:00 GMT-0500,1087.87,1.20%
Thu Feb 02 2017 19:00:00 GMT-0500,1088.69,0.08%
Fri Feb 03 2017 19:00:00 GMT-0500,1108.24,1.80%
Sat Feb 04 2017 19:00:00 GMT-0500,1127.52,1.74%
Sun Feb 05 2017 19:00:00 GMT-0500,1116.32,-0.99%
Mon Feb 06 2017 19:00:00 GMT-0500,1146.17,2.67%
Tue Feb 07 2017 19:00:00 GMT-0500,1145.43,-0.06%
Wed Feb 08 2017 19:00:00 GMT-0500,1123.4,-1.92%
Thu Feb 09 2017 19:00:00 GMT-0500,1061.88,-5.48%
Fri Feb 10 2017 19:00:00 GMT-0500,1047.93,-1.31%
Sat Feb 11 2017 19:00:00 GMT-0500,1069.33,2.04%
Sun Feb 12 2017 19:00:00 GMT-0500,1059.9,-0.88%
Mon Feb 13 2017 19:00:00 GMT-0500,1039.7,-1.91%
Tue Feb 14 2017 19:00:00 GMT-0500,1054.82,1.45%
Wed Feb 15 2017 19:00:00 GMT-0500,1064.27,0.90%
Thu Feb 16 2017 19:00:00 GMT-0500,1032.73,-2.96%
Fri Feb 17 2017 19:00:00 GMT-0500,1038.85,0.59%
Sat Feb 18 2017 19:00:00 GMT-0500,996.09,-4.12%
Sun Feb 19 2017 19:00:00 GMT-0500,1005.14,0.91%
Mon Feb 20 2017 19:00:00 GMT-0500,977.37,-2.76%
Tue Feb 21 2017 19:00:00 GMT-0500,965.65,-1.20%
Wed Feb 22 2017 19:00:00 GMT-0500,958.93,-0.70%
Thu Feb 23 2017 19:00:00 GMT-0500,1004.09,4.71%
Fri Feb 24 2017 19:00:00 GMT-0500,972.45,-3.15%
Sat Feb 25 2017 19:00:00 GMT-0500,971.46,-0.10%
Sun Feb 26 2017 19:00:00 GMT-0500,975.46,0.41%
Mon Feb 27 2017 19:00:00 GMT-0500,975.63,0.02%
Tue Feb 28 2017 19:00:00 GMT-0500,978.05,0.25%
Wed Mar 01 2017 19:00:00 GMT-0500,996.38,1.87%
Thu Mar 02 2017 19:00:00 GMT-0500,1007.04,1.07%
Fri Mar 03 2017 19:00:00 GMT-0500,1014.32,0.72%
Sat Mar 04 2017 19:00:00 GMT-0500,1004.73,-0.95%
Sun Mar 05 2017 19:00:00 GMT-0500,1017.74,1.29%
Mon Mar 06 2017 19:00:00 GMT-0500,1055.64,3.72%
Tue Mar 07 2017 19:00:00 GMT-0500,1040.22,-1.46%
Wed Mar 08 2017 19:00:00 GMT-0500,966.08,-7.13%
Thu Mar 09 2017 19:00:00 GMT-0500,985.24,1.98%
Fri Mar 10 2017 19:00:00 GMT-0500,957.69,-2.80%
Sat Mar 11 2017 19:00:00 GMT-0500,1026.16,7.15%
Sun Mar 12 2017 20:00:00 GMT-0400,1119.46,9.09%
Mon Mar 13 2017 20:00:00 GMT-0400,1238.92,10.67%
Tue Mar 14 2017 20:00:00 GMT-0400,1237.3,-0.13%
Wed Mar 15 2017 20:00:00 GMT-0400,1323.52,6.97%
Thu Mar 16 2017 20:00:00 GMT-0400,1365.91,3.20%
Fri Mar 17 2017 20:00:00 GMT-0400,1266.7,-7.26%
Sat Mar 18 2017 20:00:00 GMT-0400,1221.8,-3.54%
Sun Mar 19 2017 20:00:00 GMT-0400,1310.38,7.25%
Mon Mar 20 2017 20:00:00 GMT-0400,1442.75,10.10%
Tue Mar 21 2017 20:00:00 GMT-0400,1499.98,3.97%
Wed Mar 22 2017 20:00:00 GMT-0400,1474.97,-1.67%
Thu Mar 23 2017 20:00:00 GMT-0400,1498.9,1.62%
Fri Mar 24 2017 20:00:00 GMT-0400,1417.36,-5.44%
Sat Mar 25 2017 20:00:00 GMT-0400,1486.25,4.86%
Sun Mar 26 2017 20:00:00 GMT-0400,1628.99,9.60%
Mon Mar 27 2017 20:00:00 GMT-0400,1528.17,-6.19%
Tue Mar 28 2017 20:00:00 GMT-0400,1835.05,20.08%
Wed Mar 29 2017 20:00:00 GMT-0400,1783.55,-2.81%
Thu Mar 30 2017 20:00:00 GMT-0400,1860.5,4.31%
Fri Mar 31 2017 20:00:00 GMT-0400,1943.7,4.47%
Sat Apr 01 2017 20:00:00 GMT-0400,1979.23,1.83%
Sun Apr 02 2017 20:00:00 GMT-0400,2039.92,3.07%
Mon Apr 03 2017 20:00:00 GMT-0400,1988.97,-2.50%
Tue Apr 04 2017 20:00:00 GMT-0400,1961.1,-1.40%
Wed Apr 05 2017 20:00:00 GMT-0400,2012.02,2.60%
Thu Apr 06 2017 20:00:00 GMT-0400,2013.15,0.06%
Fri Apr 07 2017 20:00:00 GMT-0400,1917.27,-4.76%
Sat Apr 08 2017 20:00:00 GMT-0400,2034.57,6.12%
Sun Apr 09 2017 20:00:00 GMT-0400,2000.62,-1.67%
Mon Apr 10 2017 20:00:00 GMT-0400,2050.1,2.47%
Tue Apr 11 2017 20:00:00 GMT-0400,2150.58,4.90%
Wed Apr 12 2017 20:00:00 GMT-0400,2226.16,3.51%
Thu Apr 13 2017 20:00:00 GMT-0400,2321.28,4.27%
Fri Apr 14 2017 20:00:00 GMT-0400,2316.3,-0.21%
Sat Apr 15 2017 20:00:00 GMT-0400,2605.6,12.49%
Sun Apr 16 2017 20:00:00 GMT-0400,2631.84,1.01%
Mon Apr 17 2017 20:00:00 GMT-0400,2679.52,1.81%
Tue Apr 18 2017 20:00:00 GMT-0400,2759.09,2.97%
Wed Apr 19 2017 20:00:00 GMT-0400,2771.38,0.45%
Thu Apr 20 2017 20:00:00 GMT-0400,2687,-3.04%
Fri Apr 21 2017 20:00:00 GMT-0400,2719,1.19%
Sat Apr 22 2017 20:00:00 GMT-0400,2679.2,-1.46%
Sun Apr 23 2017 20:00:00 GMT-0400,2675.04,-0.16%
Mon Apr 24 2017 20:00:00 GMT-0400,2811.68,5.11%
Tue Apr 25 2017 20:00:00 GMT-0400,2796.17,-0.55%
Wed Apr 26 2017 20:00:00 GMT-0400,2888.09,3.29%
Thu Apr 27 2017 20:00:00 GMT-0400,2984.06,3.32%
Fri Apr 28 2017 20:00:00 GMT-0400,3155.9,5.76%
Sat Apr 29 2017 20:00:00 GMT-0400,3439.34,8.98%
Sun Apr 30 2017 20:00:00 GMT-0400,3539.14,2.90%
Mon May 01 2017 20:00:00 GMT-0400,3399.49,-3.95%
Tue May 02 2017 20:00:00 GMT-0400,3376.28,-0.68%
Wed May 03 2017 20:00:00 GMT-0400,3573.69,5.85%
Thu May 04 2017 20:00:00 GMT-0400,3856.32,7.91%
Fri May 05 2017 20:00:00 GMT-0400,4215.09,9.30%
Sat May 06 2017 20:00:00 GMT-0400,5029.11,19.31%
Sun May 07 2017 20:00:00 GMT-0400,5980.67,18.92%
Mon May 08 2017 20:00:00 GMT-0400,6611.83,10.55%
Tue May 09 2017 20:00:00 GMT-0400,5528.73,-16.38%
Wed May 10 2017 20:00:00 GMT-0400,5880.3,6.36%
Thu May 11 2017 20:00:00 GMT-0400,5898.67,0.31%
Fri May 12 2017 20:00:00 GMT-0400,5922.16,0.40%
