Date,BITX,% Change
Sat Dec 31 2016 19:00:00 GMT-0500,964,
Sun Jan 01 2017 19:00:00 GMT-0500,995.54,3.27%
Mon Jan 02 2017 19:00:00 GMT-0500,1019.78,2.43%
Tue Jan 03 2017 19:00:00 GMT-0500,1046.8,2.65%
Wed Jan 04 2017 19:00:00 GMT-0500,1163.73,11.17%
Thu Jan 05 2017 19:00:00 GMT-0500,1023.44,-12.06%
Fri Jan 06 2017 19:00:00 GMT-0500,920.34,-10.07%
Sat Jan 07 2017 19:00:00 GMT-0500,921.79,0.16%
Sun Jan 08 2017 19:00:00 GMT-0500,927.93,0.67%
Mon Jan 09 2017 19:00:00 GMT-0500,919.19,-0.94%
Tue Jan 10 2017 19:00:00 GMT-0500,926.91,0.84%
Wed Jan 11 2017 19:00:00 GMT-0500,796.77,-14.04%
Thu Jan 12 2017 19:00:00 GMT-0500,825.16,3.56%
Fri Jan 13 2017 19:00:00 GMT-0500,843.89,2.27%
Sat Jan 14 2017 19:00:00 GMT-0500,838.51,-0.64%
Sun Jan 15 2017 19:00:00 GMT-0500,842.54,0.48%
Mon Jan 16 2017 19:00:00 GMT-0500,849.59,0.84%
Tue Jan 17 2017 19:00:00 GMT-0500,924.09,8.77%
Wed Jan 18 2017 19:00:00 GMT-0500,903.99,-2.18%
Thu Jan 19 2017 19:00:00 GMT-0500,914.67,1.18%
Fri Jan 20 2017 19:00:00 GMT-0500,913.08,-0.17%
Sat Jan 21 2017 19:00:00 GMT-0500,938.29,2.76%
Sun Jan 22 2017 19:00:00 GMT-0500,940.12,0.20%
Mon Jan 23 2017 19:00:00 GMT-0500,926.85,-1.41%
Tue Jan 24 2017 19:00:00 GMT-0500,907.39,-2.10%
Wed Jan 25 2017 19:00:00 GMT-0500,915.25,0.87%
Thu Jan 26 2017 19:00:00 GMT-0500,929.87,1.60%
Fri Jan 27 2017 19:00:00 GMT-0500,930.12,0.03%
Sat Jan 28 2017 19:00:00 GMT-0500,933.08,0.32%
Sun Jan 29 2017 19:00:00 GMT-0500,931.49,-0.17%
Mon Jan 30 2017 19:00:00 GMT-0500,934.35,0.31%
Tue Jan 31 2017 19:00:00 GMT-0500,979.14,4.79%
Wed Feb 01 2017 19:00:00 GMT-0500,996.52,1.78%
Thu Feb 02 2017 19:00:00 GMT-0500,1015.44,1.90%
Fri Feb 03 2017 19:00:00 GMT-0500,1034.66,1.89%
Sat Feb 04 2017 19:00:00 GMT-0500,1046.83,1.18%
Sun Feb 05 2017 19:00:00 GMT-0500,1032.17,-1.40%
Mon Feb 06 2017 19:00:00 GMT-0500,1043.14,1.06%
Tue Feb 07 2017 19:00:00 GMT-0500,1062.1,1.82%
Wed Feb 08 2017 19:00:00 GMT-0500,1063.23,0.11%
Thu Feb 09 2017 19:00:00 GMT-0500,996.78,-6.25%
Fri Feb 10 2017 19:00:00 GMT-0500,991.45,-0.53%
Sat Feb 11 2017 19:00:00 GMT-0500,1005.16,1.38%
Sun Feb 12 2017 19:00:00 GMT-0500,1000.47,-0.47%
Mon Feb 13 2017 19:00:00 GMT-0500,992.7,-0.78%
Tue Feb 14 2017 19:00:00 GMT-0500,1016.78,2.43%
Wed Feb 15 2017 19:00:00 GMT-0500,1018.93,0.21%
Thu Feb 16 2017 19:00:00 GMT-0500,1033.44,1.42%
Fri Feb 17 2017 19:00:00 GMT-0500,1053.04,1.90%
Sat Feb 18 2017 19:00:00 GMT-0500,1057.18,0.39%
Sun Feb 19 2017 19:00:00 GMT-0500,1052.18,-0.47%
Mon Feb 20 2017 19:00:00 GMT-0500,1075.72,2.24%
Tue Feb 21 2017 19:00:00 GMT-0500,1107.47,2.95%
Wed Feb 22 2017 19:00:00 GMT-0500,1108.54,0.10%
Thu Feb 23 2017 19:00:00 GMT-0500,1163.17,4.93%
Fri Feb 24 2017 19:00:00 GMT-0500,1159.77,-0.29%
Sat Feb 25 2017 19:00:00 GMT-0500,1138.38,-1.84%
Sun Feb 26 2017 19:00:00 GMT-0500,1161.17,2.00%
Mon Feb 27 2017 19:00:00 GMT-0500,1184.39,2.00%
Tue Feb 28 2017 19:00:00 GMT-0500,1188.1,0.31%
Wed Mar 01 2017 19:00:00 GMT-0500,1242.24,4.56%
Thu Mar 02 2017 19:00:00 GMT-0500,1274.95,2.63%
Fri Mar 03 2017 19:00:00 GMT-0500,1305.23,2.37%
Sat Mar 04 2017 19:00:00 GMT-0500,1277.53,-2.12%
Sun Mar 05 2017 19:00:00 GMT-0500,1291.99,1.13%
Mon Mar 06 2017 19:00:00 GMT-0500,1301.06,0.70%
Tue Mar 07 2017 19:00:00 GMT-0500,1251.21,-3.83%
Wed Mar 08 2017 19:00:00 GMT-0500,1172.09,-6.32%
Thu Mar 09 2017 19:00:00 GMT-0500,1217.62,3.88%
Fri Mar 10 2017 19:00:00 GMT-0500,1159.48,-4.77%
Sat Mar 11 2017 19:00:00 GMT-0500,1237.78,6.75%
Sun Mar 12 2017 20:00:00 GMT-0400,1292.06,4.39%
Mon Mar 13 2017 20:00:00 GMT-0400,1331.64,3.06%
Tue Mar 14 2017 20:00:00 GMT-0400,1344.39,0.96%
Wed Mar 15 2017 20:00:00 GMT-0400,1391.88,3.53%
Thu Mar 16 2017 20:00:00 GMT-0400,1382.3,-0.69%
Fri Mar 17 2017 20:00:00 GMT-0400,1318.19,-4.64%
Sat Mar 18 2017 20:00:00 GMT-0400,1167.69,-11.42%
Sun Mar 19 2017 20:00:00 GMT-0400,1272.73,9.00%
Mon Mar 20 2017 20:00:00 GMT-0400,1279.53,0.53%
Tue Mar 21 2017 20:00:00 GMT-0400,1330.61,3.99%
Wed Mar 22 2017 20:00:00 GMT-0400,1271.69,-4.43%
Thu Mar 23 2017 20:00:00 GMT-0400,1272.6,0.07%
Fri Mar 24 2017 20:00:00 GMT-0400,1225.9,-3.67%
Sat Mar 25 2017 20:00:00 GMT-0400,1238.76,1.05%
Sun Mar 26 2017 20:00:00 GMT-0400,1238.02,-0.06%
Mon Mar 27 2017 20:00:00 GMT-0400,1285.26,3.82%
Tue Mar 28 2017 20:00:00 GMT-0400,1299.36,1.10%
Wed Mar 29 2017 20:00:00 GMT-0400,1307.99,0.66%
Thu Mar 30 2017 20:00:00 GMT-0400,1306.24,-0.13%
Fri Mar 31 2017 20:00:00 GMT-0400,1356.53,3.85%
Sat Apr 01 2017 20:00:00 GMT-0400,1364.35,0.58%
Sun Apr 02 2017 20:00:00 GMT-0400,1457.08,6.80%
Mon Apr 03 2017 20:00:00 GMT-0400,1414.41,-2.93%
Tue Apr 04 2017 20:00:00 GMT-0400,1421.35,0.49%
Wed Apr 05 2017 20:00:00 GMT-0400,1421.04,-0.02%
Thu Apr 06 2017 20:00:00 GMT-0400,1440.95,1.40%
Fri Apr 07 2017 20:00:00 GMT-0400,1436.72,-0.29%
Sat Apr 08 2017 20:00:00 GMT-0400,1457.36,1.44%
Sun Apr 09 2017 20:00:00 GMT-0400,1452.79,-0.31%
Mon Apr 10 2017 20:00:00 GMT-0400,1453.85,0.07%
Tue Apr 11 2017 20:00:00 GMT-0400,1463.76,0.68%
Wed Apr 12 2017 20:00:00 GMT-0400,1488.43,1.69%
Thu Apr 13 2017 20:00:00 GMT-0400,1479.94,-0.57%
Fri Apr 14 2017 20:00:00 GMT-0400,1468.33,-0.78%
Sat Apr 15 2017 20:00:00 GMT-0400,1485.98,1.20%
Sun Apr 16 2017 20:00:00 GMT-0400,1490.97,0.34%
Mon Apr 17 2017 20:00:00 GMT-0400,1498.64,0.51%
Tue Apr 18 2017 20:00:00 GMT-0400,1526.99,1.89%
Wed Apr 19 2017 20:00:00 GMT-0400,1506.85,-1.32%
Thu Apr 20 2017 20:00:00 GMT-0400,1526.53,1.31%
Fri Apr 21 2017 20:00:00 GMT-0400,1526.12,-0.03%
Sat Apr 22 2017 20:00:00 GMT-0400,1540.2,0.92%
Sun Apr 23 2017 20:00:00 GMT-0400,1522.19,-1.17%
Mon Apr 24 2017 20:00:00 GMT-0400,1574.23,3.42%
Tue Apr 25 2017 20:00:00 GMT-0400,1591.32,1.09%
Wed Apr 26 2017 20:00:00 GMT-0400,1627.9,2.30%
Thu Apr 27 2017 20:00:00 GMT-0400,1714.96,5.35%
Fri Apr 28 2017 20:00:00 GMT-0400,1785.25,4.10%
Sat Apr 29 2017 20:00:00 GMT-0400,1817.66,1.82%
Sun Apr 30 2017 20:00:00 GMT-0400,1892.74,4.13%
Mon May 01 2017 20:00:00 GMT-0400,1949.4,2.99%
Tue May 02 2017 20:00:00 GMT-0400,1977.15,1.42%
Wed May 03 2017 20:00:00 GMT-0400,2058.65,4.12%
Thu May 04 2017 20:00:00 GMT-0400,2248.03,9.20%
Fri May 05 2017 20:00:00 GMT-0400,2300.77,2.35%
Sat May 06 2017 20:00:00 GMT-0400,2361.65,2.65%
Sun May 07 2017 20:00:00 GMT-0400,2461.3,4.22%
Mon May 08 2017 20:00:00 GMT-0400,2684.44,9.07%
Tue May 09 2017 20:00:00 GMT-0400,2617.2,-2.50%
Wed May 10 2017 20:00:00 GMT-0400,2694.02,2.94%
Thu May 11 2017 20:00:00 GMT-0400,2737.85,1.63%
Fri May 12 2017 20:00:00 GMT-0400,2667.09,-2.58%
Sat May 13 2017 20:00:00 GMT-0400,2770.63,3.88%
Sun May 14 2017 20:00:00 GMT-0400,2791.79,0.76%
Mon May 15 2017 20:00:00 GMT-0400,2841.05,1.76%
Tue May 16 2017 20:00:00 GMT-0400,2998.16,5.53%
Wed May 17 2017 20:00:00 GMT-0400,3179.98,6.06%
Thu May 18 2017 20:00:00 GMT-0400,3232.58,1.65%
Fri May 19 2017 20:00:00 GMT-0400,3394.14,5.00%
Sat May 20 2017 20:00:00 GMT-0400,3517.37,3.63%
Sun May 21 2017 20:00:00 GMT-0400,3617.63,2.85%
Mon May 22 2017 20:00:00 GMT-0400,3809.92,5.32%
Tue May 23 2017 20:00:00 GMT-0400,4094.27,7.46%
Wed May 24 2017 20:00:00 GMT-0400,4200.94,2.61%
Thu May 25 2017 20:00:00 GMT-0400,3855.13,-8.23%
Fri May 26 2017 20:00:00 GMT-0400,3683.66,-4.45%
Sat May 27 2017 20:00:00 GMT-0400,3414.59,-7.30%
Sun May 28 2017 20:00:00 GMT-0400,3606.03,5.61%
Mon May 29 2017 20:00:00 GMT-0400,3841.71,6.54%
Tue May 30 2017 20:00:00 GMT-0400,3905.73,1.67%
Wed May 31 2017 20:00:00 GMT-0400,4090.52,4.73%
Thu Jun 01 2017 20:00:00 GMT-0400,4389.62,7.31%
Fri Jun 02 2017 20:00:00 GMT-0400,4409.31,0.45%
Sat Jun 03 2017 20:00:00 GMT-0400,4432,0.51%
Sun Jun 04 2017 20:00:00 GMT-0400,4520.74,2.00%
Mon Jun 05 2017 20:00:00 GMT-0400,4705.55,4.09%
Tue Jun 06 2017 20:00:00 GMT-0400,4915.32,4.46%
Wed Jun 07 2017 20:00:00 GMT-0400,4726.82,-3.83%
Thu Jun 08 2017 20:00:00 GMT-0400,4857.63,2.77%
Fri Jun 09 2017 20:00:00 GMT-0400,4958.91,2.08%
Sat Jun 10 2017 20:00:00 GMT-0400,5278.26,6.44%
Sun Jun 11 2017 20:00:00 GMT-0400,5387.94,2.08%
Mon Jun 12 2017 20:00:00 GMT-0400,5298.27,-1.66%
Tue Jun 13 2017 20:00:00 GMT-0400,5424.76,2.39%
Wed Jun 14 2017 20:00:00 GMT-0400,5061.1,-6.70%
Thu Jun 15 2017 20:00:00 GMT-0400,5006.43,-1.08%
Fri Jun 16 2017 20:00:00 GMT-0400,5107.61,2.02%
Sat Jun 17 2017 20:00:00 GMT-0400,5359.5,4.93%
Sun Jun 18 2017 20:00:00 GMT-0400,5256.31,-1.93%
Mon Jun 19 2017 20:00:00 GMT-0400,5337.43,1.54%
Tue Jun 20 2017 20:00:00 GMT-0400,5439.57,1.91%
Wed Jun 21 2017 20:00:00 GMT-0400,5246.22,-3.55%
Thu Jun 22 2017 20:00:00 GMT-0400,5241.94,-0.08%
Fri Jun 23 2017 20:00:00 GMT-0400,5370.26,2.45%
Sat Jun 24 2017 20:00:00 GMT-0400,5112.18,-4.81%
Sun Jun 25 2017 20:00:00 GMT-0400,4953.65,-3.10%
