,id,date,open,high,low,close,volume,tradesDone,volumeNotional
0,0,2020-10-25 20:00:00+00:00,39.07,39.404,38.958,38.97,842.2139999999999,152.0,32821.07958
1,1,2020-10-25 21:00:00+00:00,38.99,39.031,38.584,38.783,1391.919,190.0,53982.79457699999
2,2,2020-10-25 22:00:00+00:00,38.777,38.914,37.2,37.91,11487.670999999997,1688.0,435497.60760999983
3,3,2020-10-25 23:00:00+00:00,37.998,38.085,37.761,37.895,1219.179,272.0,46200.788205
4,4,2020-10-26 00:00:00+00:00,37.893,38.407,37.102,38.133,4387.583000000002,929.0,167311.7025390001
5,5,2020-10-26 01:00:00+00:00,38.169,38.544,38.018,38.326,1549.277,330.0,59377.590302
6,6,2020-10-26 02:00:00+00:00,38.349,38.719,38.308,38.536,1518.8870000000002,287.0,58531.829432000006
7,7,2020-10-26 03:00:00+00:00,38.534,38.906,38.48,38.599,1284.0339999999997,233.0,49562.42836599999
8,8,2020-10-26 04:00:00+00:00,38.599,39.097,38.333,39.001,3001.1109999999994,535.0,117046.33011099996
9,9,2020-10-26 05:00:00+00:00,38.996,39.086,38.756,38.761,1140.245,171.0,44197.036445
10,10,2020-10-26 06:00:00+00:00,38.784,38.902,38.414,38.525,1376.797,224.0,53041.104425
11,11,2020-10-26 07:00:00+00:00,38.479,38.498,37.78,37.878,2778.9950000000003,435.0,105262.77261
12,12,2020-10-26 08:00:00+00:00,37.879,38.55,37.609,38.387,5143.84,689.0,197456.58608
13,13,2020-10-26 09:00:00+00:00,38.342,39.192,38.282,38.983,2714.0940000000005,589.0,105803.52640200002
14,14,2020-10-26 10:00:00+00:00,39.006,39.05,38.575,38.869,819.277,222.0,31844.477713
15,15,2020-10-26 11:00:00+00:00,38.951,39.1,38.666,38.803,1354.3889999999997,171.0,52554.35636699999
16,16,2020-10-26 12:00:00+00:00,38.668,38.76,38.112,38.422,1753.5420000000004,438.0,67374.59072400001
17,17,2020-10-26 13:00:00+00:00,38.358,38.955,38.159,38.784,2213.0510000000004,383.0,85830.96998400001
18,18,2020-10-26 14:00:00+00:00,38.787,38.857,37.901,38.018,4904.097000000002,696.0,186443.95974600007
19,19,2020-10-26 15:00:00+00:00,38.003,38.285,36.128,36.682,15481.151,2237.0,567879.580982
20,20,2020-10-26 16:00:00+00:00,37.208,37.351,35.606,35.899,9658.326999999996,1996.0,346724.2809729999
21,21,2020-10-26 17:00:00+00:00,35.92,36.565,34.855,35.293,15997.783000000014,2883.0,564609.7554190005
22,22,2020-10-26 18:00:00+00:00,35.24,35.884,35.103,35.771,2233.9369999999994,404.0,79910.16042699998
23,23,2020-10-26 19:00:00+00:00,35.772,36.225,35.464,36.196,3295.283,486.0,119276.063468
24,24,2020-10-26 20:00:00+00:00,36.181,36.523,36.0,36.372,2552.438000000001,310.0,92837.27493600002
25,25,2020-10-26 21:00:00+00:00,36.304,36.534,36.06,36.169,1445.717,302.0,52290.13817299999
26,26,2020-10-26 22:00:00+00:00,36.14,36.332,35.743,36.017,2579.0040000000004,444.0,92887.98706800002
27,27,2020-10-26 23:00:00+00:00,36.094,36.213,35.926,35.95,997.532,116.0,35861.275400000006
28,28,2020-10-27 00:00:00+00:00,35.968,36.674,35.909,36.542,2838.0950000000003,456.0,103709.66749
29,29,2020-10-27 01:00:00+00:00,36.611,36.669,36.342,36.532,1454.076,241.0,53120.304432
30,30,2020-10-27 02:00:00+00:00,36.556,36.657,36.153,36.243,1046.446,187.0,37926.34237800001
31,31,2020-10-27 03:00:00+00:00,36.243,36.461,36.06,36.315,1955.3530000000007,329.0,71008.64419500004
32,32,2020-10-27 04:00:00+00:00,36.339,36.778,36.312,36.723,2411.6600000000003,330.0,88563.39018
33,33,2020-10-27 05:00:00+00:00,36.719,36.729,36.425,36.569,964.5409999999998,178.0,35272.299829
34,34,2020-10-27 06:00:00+00:00,36.533,36.55,36.1,36.4,1545.1730000000002,237.0,56244.29720000001
35,35,2020-10-27 07:00:00+00:00,36.459,36.7,36.048,36.595,4389.985000000001,528.0,160651.501075
36,36,2020-10-27 08:00:00+00:00,36.513,36.584,36.0,36.08,2628.9370000000004,385.0,94852.04696
37,37,2020-10-27 09:00:00+00:00,36.08,36.154,35.453,35.929,5861.909000000001,738.0,210612.52846100004
38,38,2020-10-27 10:00:00+00:00,35.93,36.314,35.861,35.99,1664.878,269.0,59918.95922
39,39,2020-10-27 11:00:00+00:00,36.022,37.15,36.022,36.74,6132.906000000004,826.0,225322.9664400001
