,Date,btc future last px,brr last px,log return future,log return bitcoin
1,2021-05-20,40320.0,41861.09,0.024605810802200194,0.1582513408947407
2,2021-05-19,39340.0,35734.1,-0.09244060456852389,-0.18784927549732913
3,2021-05-18,43150.0,43118.61,-0.020869923844760163,-0.02893922378572286
4,2021-05-17,44060.0,44384.66,-0.1302634622926452,-0.13439457846311537
8,2021-05-14,50190.0,50769.13,0.03703939203233192,0.0035992037738089033
9,2021-05-13,48365.0,50586.73,-0.11841460616351396,-0.11305652722135683
10,2021-05-12,54445.0,56641.72,-0.042433332223843524,0.01520010899650096
11,2021-05-11,56805.0,55787.27,0.019554440510588064,-0.028760408580028103
12,2021-05-10,55705.0,57415.03,-0.03622658507329094,0.005823591938898623
16,2021-05-07,57760.0,57081.64,0.027735672908473247,-0.0031321753732978202
17,2021-05-06,56180.0,57260.71,-0.01965253820231392,0.018783711076902486
18,2021-05-05,57295.0,56195.18,0.04973746672006639,0.01941161682833558
19,2021-05-04,54515.0,55114.86,-0.05790716277663687,-0.0497915011969021
20,2021-05-03,57765.0,57928.58,0.028766075763590714,0.031585162131183904
24,2021-04-30,56127.0,56127.49,0.059213641307137556,0.043723629183439826
25,2021-04-29,52900.0,53726.27,-0.04635674401500462,-0.01802305235022469
26,2021-04-28,55410.0,54703.36,0.011252387328933841,-0.00230651967666025
27,2021-04-27,54790.0,54829.68,0.013228192156410936,0.021244813220499745
28,2021-04-26,54070.0,53677.12,0.06149771415081265,0.08071320557617614
32,2021-04-23,50845.0,49514.9,-0.03886511993304242,-0.09890903880661973
33,2021-04-22,52860.0,54662.76,-0.050716132023329454,-0.020927519564713472
34,2021-04-21,55610.0,55818.77,-0.01967568481153326,-0.0027576309378329273
35,2021-04-20,56715.0,55972.91,0.011883786537947093,0.001164276111582594
36,2021-04-19,56045.0,55907.78,-0.10065681288654355,-0.0914826444730343
40,2021-04-16,61980.0,61263.62,-0.029568200781951166,-0.025405303066929882
41,2021-04-15,63840.0,62839.98,0.022814677766171264,-0.0053215902786489366
42,2021-04-14,62400.0,63175.28,-0.020383780666340806,0.00491444834492376
43,2021-04-13,63685.0,62865.57,0.050562165835393136,0.0441701622969154
44,2021-04-12,60545.0,60149.22,0.029925538900653078,0.030412304616277863
48,2021-04-09,58760.0,58347.48,0.010349491514674418,0.011647850930381452
49,2021-04-08,58155.0,57671.8,0.03223972052447495,0.0156940720546436
50,2021-04-07,56310.0,56773.76,-0.04216366200932211,-0.01819701457269007
51,2021-04-06,58735.0,57816.33,-0.018638532390372473,-0.01387512484409261
52,2021-04-05,59840.0,58624.13,0.003767113408126414,-0.009874812515138496
56,2021-04-02,59615.0,59205.9,0.0,0.004492399284160753
57,2021-04-01,59615.0,58940.52,0.005550897348061442,0.006102341845975914
58,2021-03-31,59285.0,58581.94,-0.007059446075314151,-0.004327794428931738
59,2021-03-30,59705.0,58836.02,0.02535860770170381,0.012836812103115597
60,2021-03-29,58210.0,58085.58,0.08725816291658726,0.08511225590311704
64,2021-03-26,53346.0,53346.33,0.021812293506795276,0.044172426487192606
65,2021-03-25,52195.0,51041.18,-0.04587101426837504,-0.09881513461697876
66,2021-03-24,54645.0,56342.43,-0.0062027016342610245,0.021013158418820635
67,2021-03-23,54985.0,55170.85,-0.011212704507907475,-0.034580568677206984
68,2021-03-22,55605.0,57112.06,-0.058840500022933465,-0.030804395471658176
71,2021-03-19,58975.0,58898.74,0.027679264042632355,0.005375316830520375
72,2021-03-18,57365.0,58582.99,-0.010663762242403115,0.0646086804821035
73,2021-03-17,57980.0,54917.7,0.03635486845495558,-0.01332058787837304
74,2021-03-16,55910.0,55654.13,-0.017552086093731316,-0.013013002048846147
75,2021-03-15,56900.0,56383.09,-0.0030708512835739576,-0.001913812767421248
79,2021-03-12,57075.0,56491.1,-0.015300654924849161,-0.0011089402089397525
80,2021-03-11,57955.0,56553.78,0.02330456765695486,0.005070496966626253
81,2021-03-10,56620.0,56267.75,0.03413300636945862,0.03566141037455167
82,2021-03-09,54720.0,54296.52,0.04820097374111887,0.06245177536183697
83,2021-03-08,52145.0,51009.32,0.05094513571450437,0.055421256299350866
86,2021-03-05,49555.0,48259.23,0.025444585292356423,-0.021748453419252703
87,2021-03-04,48310.0,49320.29,-0.052224344990161785,-0.02891964596314906
88,2021-03-03,50900.0,50767.44,0.062418961526298285,0.04137290935975724
89,2021-03-02,47820.0,48709.9,-0.021719749251884725,-0.0034052066009172053
90,2021-03-01,48870.0,48876.05,0.03897355728587695,0.03910521949096905
94,2021-02-26,47002.0,47001.63,-0.04407612984270039,-0.08069093657781863
95,2021-02-25,49120.0,50951.45,-0.00030532797550313605,0.03307936909242916
96,2021-02-24,49135.0,49293.58,0.030479140143794176,0.018206849440748785
97,2021-02-23,47660.0,48404.22,-0.11969289998444078,-0.09863339986984694
98,2021-02-22,53720.0,53421.88,-0.03313804359847895,0.0004710790155511698
102,2021-02-19,55530.0,53396.72,0.059162518151515964,0.03144934090151049
103,2021-02-18,52340.0,51743.56,-0.00846616233965842,0.00979843363086176
104,2021-02-17,52785.0,51239.03,0.07593854615951826,0.038986270936856984
105,2021-02-16,48925.0,49279.85,0.01825451607035723,0.0469868951209325
109,2021-02-12,48040.0,47017.9,0.01077810883728993,-0.01930878435701844
110,2021-02-11,47525.0,47934.58,0.056484073693322936,0.07371087507412094
111,2021-02-10,44915.0,44528.36,-0.06152133904080177,-0.049857976641177165
112,2021-02-09,47765.0,46804.73,0.0650899833990695,0.06677953628886146
113,2021-02-08,44755.0,43781.21,0.16322235164250234,0.13782944220892215
117,2021-02-05,38015.0,38144.26,0.002634006527501075,0.041105760297863385
118,2021-02-04,37915.0,36608.1,0.013943523163876401,-0.004625690582454163
119,2021-02-03,37390.0,36777.83,0.0331732430250158,0.05526719907159689
120,2021-02-02,36170.0,34800.37,0.061869521347845104,0.038781929041896805
121,2021-02-01,34000.0,33476.58,-0.09107663204340927,-0.10659912218250586
125,2021-01-29,37242.0,37242.3,0.1315923009371307,0.15143372222629004
126,2021-01-28,32650.0,32008.82,0.03665127579202919,0.06611762403443791
127,2021-01-27,31475.0,29960.92,-0.014978600893132939,-0.05373561158157072
128,2021-01-26,31950.0,31614.93,-0.04558060739295711,-0.084122098645397
129,2021-01-25,33440.0,34389.51,-0.004177863432893938,0.05534847093634874
133,2021-01-22,33580.0,32537.82,0.0506978790677867,0.031538166490571284
134,2021-01-21,31920.0,31527.65,-0.09311478924088919,-0.09493511396332832
135,2021-01-20,35035.0,34667.41,-0.043564057230693266,-0.06860905606754508
136,2021-01-19,36595.0,37129.4,0.026863980464375846,0.02260321314800122
141,2021-01-15,35625.0,36299.57,-0.10590773432742838,-0.08864740813691852
142,2021-01-14,39605.0,39664.37,0.0850736474245865,0.13878408667628048
143,2021-01-13,36375.0,34524.5,0.05292240145434253,0.018410261919120624
144,2021-01-12,34500.0,33894.71,0.021090412657660075,0.04194317623326781
145,2021-01-11,33780.0,32502.46,-0.15693796150001302,-0.23182253533180003
149,2021-01-08,39520.0,40982.22,-0.002653359317777635,0.06175488128642565
150,2021-01-07,39625.0,38527.93,0.08036873347453022,0.1049904918598318
151,2021-01-06,36565.0,34687.97,0.05769748656747568,0.07587287554268246
152,2021-01-05,34515.0,32153.46,0.08982042316821665,0.00866010187931445
153,2021-01-04,31550.0,31876.21,0.07108924892260832,0.10610111903181298
158,2020-12-31,29385.0,28667.35,0.007857915390494376,0.018528414029914054
159,2020-12-30,29155.0,28141.08,0.06904187187896445,0.057228274379151144
160,2020-12-29,27210.0,26575.83,0.003681889284580765,-0.01601654522160384
161,2020-12-28,27110.0,27004.91,0.15587970354444092,0.1520073808608768
166,2020-12-24,23197.0,23196.73,-0.013402902585844879,-0.01971240598030596
167,2020-12-23,23510.0,23658.53,0.002768610010428522,0.00682501259212488
168,2020-12-22,23445.0,23497.61,0.024394086029952574,0.01802283090357848
169,2020-12-21,22880.0,23077.91,0.0008745081449325757,0.025737533665844962
173,2020-12-18,22860.0,22491.52,-0.00043734966802519464,-0.028971759373899345
174,2020-12-17,22870.0,23152.67,0.08864247157678139,0.1132801564445996
175,2020-12-16,20930.0,20673.03,0.06769687185123716,0.06319715703687583
176,2020-12-15,19560.0,19406.98,0.014937182180396193,0.009084795436652882
177,2020-12-14,19270.0,19231.47,0.06706723024608309,0.06257440292402171
181,2020-12-11,18020.0,18064.95,-0.023039965948255955,0.0020352888194192097
182,2020-12-10,18440.0,18028.22,0.0010851873012869833,-0.01772341857890343
183,2020-12-09,18420.0,18350.59,-0.021748742858796515,-0.026139528317015038
184,2020-12-08,18825.0,18836.59,-0.018160783371595893,-0.02044615062561287
185,2020-12-07,19170.0,19225.69,0.0036582220049688817,0.011778953098569024
189,2020-12-04,19100.0,19000.56,-0.024053920609791644,-0.02094996391385318
190,2020-12-03,19565.0,19402.82,0.013896260672793816,0.027216743516132538
191,2020-12-02,19295.0,18881.86,0.0010370755401888873,-0.024061714071963048
192,2020-12-01,19275.0,19341.7,-0.023331400585130745,-0.011629636863407207
193,2020-11-30,19730.0,19567.95,0.17105229864413296,0.16283326833462622
197,2020-11-27,16628.0,16627.53,-0.12886723669460157,-0.14678994927138278
199,2020-11-25,18915.0,19256.52,-0.01025650016718911,-0.005779227029510234
200,2020-11-24,19110.0,19368.13,0.03731776300719528,0.051918145692419246
201,2020-11-23,18410.0,18388.23,-0.014827067692460727,-0.015772624914822325
205,2020-11-20,18685.0,18680.56,0.032085405921741486,0.031014169425059357
206,2020-11-19,18095.0,18110.09,0.022918834358261912,0.025119482349469657
207,2020-11-18,17685.0,17660.84,-0.0025412974286725325,0.02386462566984977
208,2020-11-17,17730.0,17244.36,0.048240399919863355,0.048936309584379875
209,2020-11-16,16895.0,16420.8,0.03769479893530674,0.017222758664007586
213,2020-11-13,16270.0,16140.41,0.0018455864974145774,0.0038598821800068825
214,2020-11-12,16240.0,16078.23,0.027150989065950898,0.025989382373461427
