,Date,PX_LAST,contract_name,BITW20 Price,% Change,log return future,log return BITW20
20,2021-04-29 20:00:00+00:00,53010.0,BTCK1 Curncy,74186.36,-1.31%,-0.0494098012974383,-0.0131888043028433
21,2021-04-28 20:00:00+00:00,55695.0,BTCK1 Curncy,75171.27,2.26%,0.0130118398563282,0.0223891505129611
22,2021-04-27 20:00:00+00:00,54975.0,BTCK1 Curncy,73506.95,2.92%,0.0118940102983315,0.028829041013232
23,2021-04-26 20:00:00+00:00,54325.0,BTCK1 Curncy,71418.07,12.27%,0.0622769295215145,0.0954041100246024
24,2021-04-23 20:00:00+00:00,51045.0,BTCK1 Curncy,64919.42,-7.81%,-0.038809980592807,-0.0813664318411427
25,2021-04-22 20:00:00+00:00,53065.0,BTCK1 Curncy,70422.53,-6.55%,-0.0532982556894824,-0.0677207934445711
26,2021-04-21 20:00:00+00:00,55970.0,BTCK1 Curncy,75356.79,-1.29%,-0.0196379597053674,-0.0129360285906692
27,2021-04-20 20:00:00+00:00,57080.0,BTCK1 Curncy,76337.94,2.25%,0.0095938772214273,0.0222630929755032
28,2021-04-19 20:00:00+00:00,56535.0,BTCK1 Curncy,74657.2,3.59%,-0.0983847957924487,-0.0791634323211523
29,2021-04-16 20:00:00+00:00,62380.0,BTCK1 Curncy,80807.55,2.53%,-0.0303926775383929,0.0249661795218893
30,2021-04-15 20:00:00+00:00,64305.0,BTCK1 Curncy,78815.07,6.51%,0.0223297272189313,0.0630314263567124
31,2021-04-14 20:00:00+00:00,62885.0,BTCK1 Curncy,74000.57,-2.91%,-0.0196825752526951,-0.0295534611506044
32,2021-04-13 20:00:00+00:00,64135.0,BTCK1 Curncy,76220.18,8.64%,0.0501163725785027,0.0828660106100438
33,2021-04-12 20:00:00+00:00,61000.0,BTCK1 Curncy,70158.73,3.92%,0.030881808175611,0.1398831035613067
34,2021-04-09 20:00:00+00:00,59145.0,BTCK1 Curncy,61000.2,1.47%,0.0101963666970122,0.0146298918951524
35,2021-04-08 20:00:00+00:00,58545.0,BTCK1 Curncy,60114.27,8.17%,0.0325507191191601,0.0785247673296312
36,2021-04-07 20:00:00+00:00,56670.0,BTCK1 Curncy,55574.39,-8.07%,-0.0448583056182188,-0.0841276743375705
37,2021-04-06 20:00:00+00:00,59270.0,BTCK1 Curncy,60452.03,4.81%,-0.0193823945737203,0.047001213349861
38,2021-04-05 20:00:00+00:00,60430.0,BTCK1 Curncy,57676.45,8.59%,0.0049767853219897,0.13206900303854
39,2021-04-02 20:00:00+00:00,60130.0,BTCK1 Curncy,50540.75,2.69%,0.0,0.0265554785070894
40,2021-04-01 20:00:00+00:00,60130.0,BTCK1 Curncy,49216.28,3.37%,0.0038323799300737,0.033171558002588
41,2021-03-31 20:00:00+00:00,59900.0,BTCK1 Curncy,47610.48,-0.75%,-0.0052449855910395,-0.0074943505186081
42,2021-03-30 20:00:00+00:00,60215.0,BTCK1 Curncy,47968.63,3.83%,0.0255669463819577,0.0375648601028599
43,2021-03-29 20:00:00+00:00,58695.0,BTCK1 Curncy,46200.12,3.76%,0.0714968252018487,0.0460286307550656
44,2021-03-26 20:00:00+00:00,54645.0,BTCK1 Curncy,44121.79,6.44%,0.0418557125064962,0.0624378980174065
45,2021-03-25 20:00:00+00:00,52405.0,BTCJ1 Curncy,41451.16,-4.51%,-0.0479674761149589,-0.0461553031278769
46,2021-03-24 20:00:00+00:00,54980.0,BTCJ1 Curncy,43409.19,-2.84%,-0.0048083558280386,-0.0287728851573754
47,2021-03-23 20:00:00+00:00,55245.0,BTCJ1 Curncy,44676.34,-1.11%,-0.0142878829036679,-0.011165966338688
48,2021-03-22 20:00:00+00:00,56040.0,BTCJ1 Curncy,45177.99,-0.16%,-0.0636012512021833,-0.0095204773817014
49,2021-03-19 20:00:00+00:00,59720.0,BTCJ1 Curncy,45610.16,4.25%,0.0283622645270892,0.041621743206258
50,2021-03-18 20:00:00+00:00,58050.0,BTCJ1 Curncy,43750.75,-0.68%,-0.011305361932194,-0.0067755063533271
51,2021-03-17 20:00:00+00:00,58710.0,BTCJ1 Curncy,44048.19,2.80%,0.0363361023100918,0.0276229585299005
52,2021-03-16 20:00:00+00:00,56615.0,BTCJ1 Curncy,42848.1,4.17%,-0.0182897244442532,0.040843777131353
53,2021-03-15 20:00:00+00:00,57660.0,BTCJ1 Curncy,41133.28,-3.40%,-0.0032897614294294,0.0133327509529499
54,2021-03-12 21:00:00+00:00,57850.0,BTCJ1 Curncy,40588.5,-7.59%,-0.013137182884106,-0.078892535581297
55,2021-03-11 21:00:00+00:00,58615.0,BTCJ1 Curncy,43920.33,2.16%,0.023301019674112,0.0213393013024373
56,2021-03-10 21:00:00+00:00,57265.0,BTCJ1 Curncy,42993.03,-2.77%,0.0346454973628053,-0.0280991379593383
57,2021-03-09 21:00:00+00:00,55315.0,BTCJ1 Curncy,44218.23,9.26%,0.0483337917797217,0.0885270175859506
58,2021-03-08 21:00:00+00:00,52705.0,BTCJ1 Curncy,40471.99,2.37%,0.0515879268357054,0.0223395009041963
59,2021-03-05 21:00:00+00:00,50055.0,BTCJ1 Curncy,39577.89,0.35%,0.0242656734751404,0.003511651222949
60,2021-03-04 21:00:00+00:00,48855.0,BTCJ1 Curncy,39439.15,-4.16%,-0.0531133543997916,-0.0424605750948735
61,2021-03-03 21:00:00+00:00,51520.0,BTCJ1 Curncy,41149.82,4.28%,0.0615409479591307,0.0419176073751848
62,2021-03-02 21:00:00+00:00,48445.0,BTCJ1 Curncy,39460.57,-2.23%,-0.0186099440328838,-0.0226004293594966
63,2021-03-01 21:00:00+00:00,49355.0,BTCJ1 Curncy,40362.55,6.58%,0.050914798291937,0.0713641244187113
64,2021-02-26 21:00:00+00:00,46905.0,BTCJ1 Curncy,37582.49,-3.80%,-0.0521297422502328,-0.0387616276799266
65,2021-02-25 21:00:00+00:00,49415.0,BTCH1 Curncy,39067.85,0.73%,-0.0080621216686723,0.0072869309192259
66,2021-02-24 21:00:00+00:00,49815.0,BTCH1 Curncy,38784.2,7.37%,0.0332683741935688,0.0710831656210379
67,2021-02-23 21:00:00+00:00,48185.0,BTCH1 Curncy,36123.0,-14.59%,-0.1259014453192968,-0.1576858949852192
68,2021-02-22 21:00:00+00:00,54650.0,BTCH1 Curncy,42292.75,-2.51%,-0.0349714274618358,-0.0132908817848631
69,2021-02-19 21:00:00+00:00,56595.0,BTCH1 Curncy,42858.61,15.44%,0.0624263145681362,0.1435553570012772
70,2021-02-18 21:00:00+00:00,53170.0,BTCH1 Curncy,37127.25,4.57%,-0.0066545069594993,0.0446928789540749
71,2021-02-17 21:00:00+00:00,53525.0,BTCH1 Curncy,35504.46,8.57%,0.0758556271095416,0.0822101584755464
72,2021-02-16 21:00:00+00:00,49615.0,BTCH1 Curncy,32702.39,-4.34%,0.0186141772776606,-0.0467051531588915
73,2021-02-12 21:00:00+00:00,48700.0,BTCH1 Curncy,34265.99,8.18%,0.0104237488526126,0.0786151726123633
74,2021-02-11 21:00:00+00:00,48195.0,BTCH1 Curncy,31675.33,7.27%,0.0560056759601402,0.0702042586732485
75,2021-02-10 21:00:00+00:00,45570.0,BTCH1 Curncy,29527.85,5.42%,-0.0599402430571146,0.0527455207257379
76,2021-02-09 21:00:00+00:00,48385.0,BTCH1 Curncy,28010.75,6.30%,0.0657724466588818,0.0611310958307082
77,2021-02-08 21:00:00+00:00,45305.0,BTCH1 Curncy,26349.71,11.43%,0.1637986615133903,0.1364179393587296
78,2021-02-05 21:00:00+00:00,38460.0,BTCH1 Curncy,22989.54,8.24%,0.003907781448076,0.0791903281670886
79,2021-02-04 21:00:00+00:00,38310.0,BTCH1 Curncy,21239.21,7.26%,0.01366644135116,0.070101914615017
80,2021-02-03 21:00:00+00:00,37790.0,BTCH1 Curncy,19801.29,7.20%,0.0337738121182165,0.0695586873179033
81,2021-02-02 21:00:00+00:00,36535.0,BTCH1 Curncy,18470.75,1.25%,0.0641462802053941,0.0124535492687204
82,2021-02-01 21:00:00+00:00,34265.0,BTCH1 Curncy,18242.15,-0.64%,-0.026353314271625,0.0780740730628532
83,2021-01-29 21:00:00+00:00,35180.0,BTCH1 Curncy,16872.09,1.09%,0.0703541484528553,0.0108378583111926
84,2021-01-28 21:00:00+00:00,32790.0,BTCG1 Curncy,16690.22,3.51%,0.0358594882577093,0.0344731419444829
