,Date,rs,rf,rh,h
0,2021-05-27 20:00:00+00:00,0.0055728127328864,0.006582792406038,-0.0007624918576793482,0.9624038249717178
1,2021-05-26 20:00:00+00:00,0.0540122808101446,0.0326430667787524,0.022596468483466074,0.9624038249717178
2,2021-05-25 20:00:00+00:00,-0.057625779220456,-0.0622446157222066,0.002278677034490355,0.9624038249717178
3,2021-05-24 20:00:00+00:00,0.0932707362225501,0.0943300216439482,0.0024871625827494193,0.9624038249717178
4,2021-05-21 20:00:00+00:00,-0.1311762914192989,-0.1088085571403067,-0.026458519837814012,0.9624038249717178
0,2021-05-20 20:00:00+00:00,0.0333146135278298,0.0212907228088815,0.013029294621401694,0.952777371088877
1,2021-05-19 20:00:00+00:00,-0.1572935434063629,-0.0904653208639313,-0.0711002328189147,0.952777371088877
2,2021-05-18 20:00:00+00:00,-0.0120673317886385,-0.0196937896817927,0.006696465371157196,0.952777371088877
3,2021-05-17 20:00:00+00:00,-0.1235333480808364,-0.1316446932912137,0.0018947367109677232,0.952777371088877
4,2021-05-14 20:00:00+00:00,0.0547603218120586,0.0368500039875044,0.019650471888229527,0.952777371088877
0,2021-05-13 20:00:00+00:00,-0.1090931357718108,-0.1196032473721272,0.005474312203746806,0.9578957970856639
1,2021-05-12 20:00:00+00:00,-0.0285305076354498,-0.0423689719148536,0.012054552488628995,0.9578957970856639
2,2021-05-11 20:00:00+00:00,0.0208763624000823,0.0189470032696767,0.0027271076006906564,0.9578957970856639
3,2021-05-10 20:00:00+00:00,0.0035860019533617,-0.0359908941145356,0.03806152815903051,0.9578957970856639
4,2021-05-07 20:00:00+00:00,0.0187656090817355,0.0263839887033625,-0.006507502807571074,0.9578957970856639
0,2021-05-06 20:00:00+00:00,-0.0098369858830063,-0.0192018525217622,0.00864006877415098,0.9622537531843096
1,2021-05-05 20:00:00+00:00,0.0445594010009936,0.0504024053813606,-0.003940502746737684,0.9622537531843096
