,Date,rs,rf,rh,h
0,2021-05-27 20:00:00+00:00,-0.0249817225045987,0.006582792406038,-0.030831339214427947,0.8886223883444575
1,2021-05-26 20:00:00+00:00,0.1357403202766892,0.0326430667787524,0.10673296031286662,0.8886223883444575
2,2021-05-25 20:00:00+00:00,-0.0499406198539084,-0.0622446157222066,0.005371339230741803,0.8886223883444575
3,2021-05-24 20:00:00+00:00,0.0633149734346229,0.0943300216439482,-0.020508795691206713,0.8886223883444575
4,2021-05-21 20:00:00+00:00,-0.2005517805210263,-0.1088085571403067,-0.10386206060269258,0.8886223883444575
0,2021-05-20 20:00:00+00:00,0.098506364251997,0.0212907228088815,0.079184277493071,0.907535499493034
1,2021-05-19 20:00:00+00:00,-0.2140241227972492,-0.0904653208639313,-0.1319236326402037,0.907535499493034
2,2021-05-18 20:00:00+00:00,-0.0285262491741404,-0.0196937896817927,-0.010653435918363905,0.907535499493034
3,2021-05-17 20:00:00+00:00,0.0852656198303256,-0.1316446932912137,0.2047378523119745,0.907535499493034
4,2021-05-14 20:00:00+00:00,0.0222557603305195,0.0368500039875044,-0.0111869264446006,0.907535499493034
0,2021-05-13 20:00:00+00:00,0.0903887598500817,-0.1196032473721272,0.20471235083438455,0.9558569143913167
1,2021-05-12 20:00:00+00:00,-0.0214708841261069,-0.0423689719148536,0.019027790634357424,0.9558569143913167
2,2021-05-11 20:00:00+00:00,0.059830755812685,0.0189470032696767,0.04172013173036964,0.9558569143913167
3,2021-05-10 20:00:00+00:00,0.0006746520839266,-0.0359908941145356,0.0350767970784312,0.9558569143913167
4,2021-05-07 20:00:00+00:00,0.0325773461338202,0.0263839887033625,0.00735802810248876,0.9558569143913167
0,2021-05-06 20:00:00+00:00,0.0862385638057538,-0.0192018525217622,0.10478216851943399,0.9657195675606824
1,2021-05-05 20:00:00+00:00,0.1150866995318814,0.0504024053813606,0.06641211040297562,0.9657195675606824
2,2021-05-04 20:00:00+00:00,-0.0442427343011655,-0.0593935613094369,0.013114790042472776,0.9657195675606824
3,2021-05-03 20:00:00+00:00,0.0047707316550972,0.0095123512143707,-0.004415532046130206,0.9657195675606824
4,2021-04-30 20:00:00+00:00,0.0445123502069801,0.0820866754207396,-0.03476035848283065,0.9657195675606824
