,file,risk measure,OHR,copula
0,0.csv,ERM k=10,1.0087890625,Gaussian
1,0.csv,ERM k=10,0.94541015625,t_Copula
2,0.csv,ERM k=10,1.0906250000000002,t_Copula_Capped
3,0.csv,ERM k=10,0.8333007812499998,Clayton
4,0.csv,ERM k=10,1.0134765625,Frank
5,0.csv,ERM k=10,1.1155273437500002,Gumbel
6,0.csv,ERM k=10,0.96064453125,Plackett
7,0.csv,ERM k=10,0.93056640625,Gauss Mix Indep
8,0.csv,ERM k=10,0.9037109375,rotGumbel
9,0.csv,ERM k=10,1.133180630034043,NIG
10,0.csv,ES q=0.01,1.2229492187500006,Gaussian
11,0.csv,ES q=0.01,1.053125,t_Copula
12,0.csv,ES q=0.01,1.277636718750001,t_Copula_Capped
13,0.csv,ES q=0.01,0.7952148437499998,Clayton
14,0.csv,ES q=0.01,1.1451171875,Frank
15,0.csv,ES q=0.01,1.4477539062500009,Gumbel
16,0.csv,ES q=0.01,1.05625,Plackett
17,0.csv,ES q=0.01,0.8628906249999998,Gauss Mix Indep
18,0.csv,ES q=0.01,1.00703125,rotGumbel
19,0.csv,ES q=0.01,0.9832435261289716,NIG
20,0.csv,ES q=0.05,1.0930664062500002,Gaussian
21,0.csv,ES q=0.05,0.978515625,t_Copula
22,0.csv,ES q=0.05,1.1637695312500005,t_Copula_Capped
23,0.csv,ES q=0.05,0.8239257812499998,Clayton
24,0.csv,ES q=0.05,1.04638671875,Frank
25,0.csv,ES q=0.05,1.2766601562500006,Gumbel
26,0.csv,ES q=0.05,0.969921875,Plackett
27,0.csv,ES q=0.05,0.903515625,Gauss Mix Indep
28,0.csv,ES q=0.05,0.91611328125,rotGumbel
29,0.csv,ES q=0.05,0.8406189964850873,NIG
30,0.csv,VaR q=0.01,1.14443359375,Gaussian
31,0.csv,VaR q=0.01,1.1490234375000004,t_Copula
32,0.csv,VaR q=0.01,1.2507812500000006,t_Copula_Capped
33,0.csv,VaR q=0.01,0.7624999999999997,Clayton
34,0.csv,VaR q=0.01,1.0178710937499995,Frank
35,0.csv,VaR q=0.01,1.381054687500001,Gumbel
36,0.csv,VaR q=0.01,0.95859375,Plackett
37,0.csv,VaR q=0.01,1.0554687500000002,Gauss Mix Indep
38,0.csv,VaR q=0.01,0.8434570312499999,rotGumbel
39,0.csv,VaR q=0.01,0.5811102875509397,NIG
40,0.csv,VaR q=0.05,0.9414062499999998,Gaussian
41,0.csv,VaR q=0.05,0.9505859375,t_Copula
42,0.csv,VaR q=0.05,1.02255859375,t_Copula_Capped
43,0.csv,VaR q=0.05,0.92197265625,Clayton
44,0.csv,VaR q=0.05,1.0009765625,Frank
45,0.csv,VaR q=0.05,1.05078125,Gumbel
46,0.csv,VaR q=0.05,0.95,Plackett
47,0.csv,VaR q=0.05,1.0187499999999998,Gauss Mix Indep
48,0.csv,VaR q=0.05,0.90078125,rotGumbel
49,0.csv,VaR q=0.05,0.8576129367085544,NIG
50,0.csv,Variance,1.10859375,Gaussian
