,file,risk measure,OHR,copula
0,0.csv,Variance,0.8733398437499998,Gaussian
1,0.csv,ERM k=10,0.8467773437499998,Gaussian
2,0.csv,ES q=0.01,1.1901367187500007,Gaussian
3,0.csv,ES q=0.05,0.9000976562499999,Gaussian
4,0.csv,VaR q=0.01,0.87548828125,Gaussian
5,0.csv,VaR q=0.05,0.7537109374999997,Gaussian
6,1.csv,Variance,0.8166015624999998,Gaussian
7,1.csv,ERM k=10,0.7982421874999999,Gaussian
8,1.csv,ES q=0.01,1.090234375,Gaussian
9,1.csv,ES q=0.05,0.8473632812499998,Gaussian
10,1.csv,VaR q=0.01,0.8617187499999999,Gaussian
11,1.csv,VaR q=0.05,0.7085937499999997,Gaussian
12,10.csv,Variance,0.7760742187499998,Gaussian
13,10.csv,ERM k=10,0.7463867187499997,Gaussian
14,10.csv,ES q=0.01,0.9796874999999999,Gaussian
15,10.csv,ES q=0.05,0.7894531249999999,Gaussian
16,10.csv,VaR q=0.01,0.7884765624999999,Gaussian
17,10.csv,VaR q=0.05,0.6611328124999996,Gaussian
18,11.csv,Variance,0.7813476562499998,Gaussian
19,11.csv,ERM k=10,0.7565429687499997,Gaussian
20,11.csv,ES q=0.01,0.98125,Gaussian
21,11.csv,ES q=0.05,0.7991210937499998,Gaussian
22,11.csv,VaR q=0.01,0.7914062499999999,Gaussian
23,11.csv,VaR q=0.05,0.7007812499999997,Gaussian
24,12.csv,Variance,0.7710937499999999,Gaussian
25,12.csv,ERM k=10,0.7424804687499997,Gaussian
26,12.csv,ES q=0.01,0.968359375,Gaussian
27,12.csv,ES q=0.05,0.7883789062499998,Gaussian
28,12.csv,VaR q=0.01,0.7812499999999998,Gaussian
29,12.csv,VaR q=0.05,0.6806640624999998,Gaussian
30,13.csv,Variance,0.7623046874999997,Gaussian
31,13.csv,ERM k=10,0.7203124999999998,Gaussian
32,13.csv,ES q=0.01,0.9147460937499999,Gaussian
33,13.csv,ES q=0.05,0.7588867187499997,Gaussian
34,13.csv,VaR q=0.01,0.7414062499999998,Gaussian
35,13.csv,VaR q=0.05,0.6674804687499997,Gaussian
36,14.csv,Variance,0.7749999999999998,Gaussian
37,14.csv,ERM k=10,0.7315429687499997,Gaussian
38,14.csv,ES q=0.01,0.9626953125,Gaussian
39,14.csv,ES q=0.05,0.7765624999999998,Gaussian
40,14.csv,VaR q=0.01,0.7742187499999997,Gaussian
41,14.csv,VaR q=0.05,0.6597656249999996,Gaussian
42,15.csv,Variance,0.7602539062499997,Gaussian
43,15.csv,ERM k=10,0.7139648437499997,Gaussian
44,15.csv,ES q=0.01,0.9281249999999999,Gaussian
45,15.csv,ES q=0.05,0.7567382812499998,Gaussian
46,15.csv,VaR q=0.01,0.7335937499999998,Gaussian
47,15.csv,VaR q=0.05,0.6478515624999996,Gaussian
48,16.csv,Variance,0.7718749999999999,Gaussian
49,16.csv,ERM k=10,0.7354492187499998,Gaussian
50,16.csv,ES q=0.01,0.95322265625,Gaussian
51,16.csv,ES q=0.05,0.7776367187499997,Gaussian
52,16.csv,VaR q=0.01,0.7635742187499996,Gaussian
53,16.csv,VaR q=0.05,0.6592773437499996,Gaussian
54,17.csv,Variance,0.7674804687499998,Gaussian
55,17.csv,ERM k=10,0.7088867187499996,Gaussian
56,17.csv,ES q=0.01,0.95693359375,Gaussian
57,17.csv,ES q=0.05,0.7541015624999998,Gaussian
58,17.csv,VaR q=0.01,0.7417968749999999,Gaussian
59,17.csv,VaR q=0.05,0.6249999999999997,Gaussian
60,18.csv,Variance,0.7708984374999999,Gaussian
61,18.csv,ERM k=10,0.7282226562499997,Gaussian
62,18.csv,ES q=0.01,0.9431640625,Gaussian
63,18.csv,ES q=0.05,0.7656249999999998,Gaussian
64,18.csv,VaR q=0.01,0.7518554687499996,Gaussian
65,18.csv,VaR q=0.05,0.6562499999999997,Gaussian
66,19.csv,Variance,0.7535156249999998,Gaussian
67,19.csv,ERM k=10,0.7083984374999996,Gaussian
68,19.csv,ES q=0.01,0.9008789062499999,Gaussian
69,19.csv,ES q=0.05,0.7437499999999998,Gaussian
70,19.csv,VaR q=0.01,0.7325195312499998,Gaussian
71,19.csv,VaR q=0.05,0.6425781249999998,Gaussian
72,2.csv,Variance,0.8091796874999997,Gaussian
73,2.csv,ERM k=10,0.7881835937499998,Gaussian
74,2.csv,ES q=0.01,1.0830078125000002,Gaussian
75,2.csv,ES q=0.05,0.8392578124999999,Gaussian
76,2.csv,VaR q=0.01,0.8454101562499999,Gaussian
77,2.csv,VaR q=0.05,0.7039062499999998,Gaussian
78,20.csv,Variance,0.7556640624999997,Gaussian
79,20.csv,ERM k=10,0.7043945312499997,Gaussian
80,20.csv,ES q=0.01,0.9017578124999999,Gaussian
81,20.csv,ES q=0.05,0.7401367187499999,Gaussian
