,file,risk measure,OHR,copula
0,83.csv,Variance,0.7667968749999998,Gaussian
1,83.csv,ERM k=10,0.8043945312499998,Gaussian
2,83.csv,ES q=0.01,0.8249999999999998,Gaussian
3,83.csv,ES q=0.05,0.8194335937499998,Gaussian
4,83.csv,VaR q=0.01,0.8179687499999999,Gaussian
5,83.csv,VaR q=0.05,0.8134765624999998,Gaussian
6,68.csv,Variance,0.7462890624999998,Gaussian
7,68.csv,ERM k=10,0.7342773437499998,Gaussian
8,68.csv,ES q=0.01,0.7516601562499998,Gaussian
9,68.csv,ES q=0.05,0.7504882812499998,Gaussian
10,68.csv,VaR q=0.01,0.7681640624999999,Gaussian
11,68.csv,VaR q=0.05,0.7338867187499998,Gaussian
12,6.csv,Variance,0.7565429687499997,Gaussian
13,6.csv,ERM k=10,0.7715820312499999,Gaussian
14,6.csv,ES q=0.01,0.8825195312499999,Gaussian
15,6.csv,ES q=0.05,0.8014648437499998,Gaussian
16,6.csv,VaR q=0.01,0.79912109375,Gaussian
17,6.csv,VaR q=0.05,0.7140624999999997,Gaussian
18,54.csv,Variance,0.7305664062499998,Gaussian
19,54.csv,ERM k=10,0.7100585937499996,Gaussian
20,54.csv,ES q=0.01,0.6826171874999998,Gaussian
21,54.csv,ES q=0.05,0.7159179687499997,Gaussian
22,54.csv,VaR q=0.01,0.7408203124999999,Gaussian
23,54.csv,VaR q=0.05,0.7122070312499997,Gaussian
24,40.csv,Variance,0.7352539062499998,Gaussian
25,40.csv,ERM k=10,0.7321289062499997,Gaussian
26,40.csv,ES q=0.01,0.7581054687499997,Gaussian
27,40.csv,ES q=0.05,0.7597656249999997,Gaussian
28,40.csv,VaR q=0.01,0.7764648437499998,Gaussian
29,40.csv,VaR q=0.05,0.6608398437499996,Gaussian
30,41.csv,Variance,0.6961914062499998,Gaussian
31,41.csv,ERM k=10,0.6444335937499998,Gaussian
32,41.csv,ES q=0.01,0.6257812499999997,Gaussian
33,41.csv,ES q=0.05,0.6594726562499996,Gaussian
34,41.csv,VaR q=0.01,0.7198242187499997,Gaussian
35,41.csv,VaR q=0.05,0.6564453124999996,Gaussian
36,7.csv,Variance,0.7709960937499999,Gaussian
37,7.csv,ERM k=10,0.7680664062499999,Gaussian
38,7.csv,ES q=0.01,0.8734374999999999,Gaussian
39,7.csv,ES q=0.05,0.7995117187499998,Gaussian
40,7.csv,VaR q=0.01,0.7750976562499998,Gaussian
41,7.csv,VaR q=0.05,0.6813476562499998,Gaussian
42,55.csv,Variance,0.7362304687499998,Gaussian
43,55.csv,ERM k=10,0.7147460937499998,Gaussian
44,55.csv,ES q=0.01,0.7073242187499997,Gaussian
45,55.csv,ES q=0.05,0.7220703124999999,Gaussian
46,55.csv,VaR q=0.01,0.7394531249999999,Gaussian
47,55.csv,VaR q=0.05,0.7089843749999997,Gaussian
48,69.csv,Variance,0.7603515624999997,Gaussian
49,69.csv,ERM k=10,0.7525390624999999,Gaussian
50,69.csv,ES q=0.01,0.7749999999999998,Gaussian
51,69.csv,ES q=0.05,0.7652343749999998,Gaussian
52,69.csv,VaR q=0.01,0.7846679687499998,Gaussian
53,69.csv,VaR q=0.05,0.7520507812499998,Gaussian
54,82.csv,Variance,0.7474609374999996,Gaussian
55,82.csv,ERM k=10,0.7526367187499998,Gaussian
56,82.csv,ES q=0.01,0.7319335937499997,Gaussian
57,82.csv,ES q=0.05,0.7568359374999998,Gaussian
58,82.csv,VaR q=0.01,0.7753906249999998,Gaussian
59,82.csv,VaR q=0.05,0.7722656249999998,Gaussian
60,80.csv,Variance,0.7990234374999998,Gaussian
61,80.csv,ERM k=10,0.7907226562499999,Gaussian
62,80.csv,ES q=0.01,0.7916015624999999,Gaussian
63,80.csv,ES q=0.05,0.8006835937499998,Gaussian
64,80.csv,VaR q=0.01,0.8062499999999998,Gaussian
65,80.csv,VaR q=0.05,0.7992187499999999,Gaussian
66,43.csv,Variance,0.7200195312499998,Gaussian
67,43.csv,ERM k=10,0.6621093749999997,Gaussian
68,43.csv,ES q=0.01,0.6593749999999996,Gaussian
69,43.csv,ES q=0.05,0.6816406249999997,Gaussian
70,43.csv,VaR q=0.01,0.7267578124999996,Gaussian
71,43.csv,VaR q=0.05,0.6685546874999997,Gaussian
72,57.csv,Variance,0.7380859374999997,Gaussian
73,57.csv,ERM k=10,0.7168945312499998,Gaussian
74,57.csv,ES q=0.01,0.7044921874999996,Gaussian
75,57.csv,ES q=0.05,0.7285156249999997,Gaussian
76,57.csv,VaR q=0.01,0.7602539062499997,Gaussian
77,57.csv,VaR q=0.05,0.7264648437499998,Gaussian
78,5.csv,Variance,0.7472656249999997,Gaussian
79,5.csv,ERM k=10,0.7583984374999997,Gaussian
80,5.csv,ES q=0.01,0.8631835937499998,Gaussian
81,5.csv,ES q=0.05,0.7964843749999998,Gaussian
82,5.csv,VaR q=0.01,0.7806640624999996,Gaussian
83,5.csv,VaR q=0.05,0.6793945312499996,Gaussian
84,56.csv,Variance,0.7269531249999998,Gaussian
85,56.csv,ERM k=10,0.6969726562499997,Gaussian
86,56.csv,ES q=0.01,0.6862304687499997,Gaussian
87,56.csv,ES q=0.05,0.7074218749999998,Gaussian
88,56.csv,VaR q=0.01,0.7374999999999998,Gaussian
89,56.csv,VaR q=0.05,0.6986328124999996,Gaussian
90,4.csv,Variance,0.7680664062499999,Gaussian
91,4.csv,ERM k=10,0.7867187499999999,Gaussian
92,4.csv,ES q=0.01,0.9349609374999999,Gaussian
93,4.csv,ES q=0.05,0.8222656249999999,Gaussian
94,4.csv,VaR q=0.01,0.8388671875,Gaussian
95,4.csv,VaR q=0.05,0.7256835937499998,Gaussian
96,42.csv,Variance,0.7245117187499998,Gaussian
97,42.csv,ERM k=10,0.6732421874999996,Gaussian
98,42.csv,ES q=0.01,0.6546874999999996,Gaussian
99,42.csv,ES q=0.05,0.6872070312499998,Gaussian
100,42.csv,VaR q=0.01,0.7389648437499998,Gaussian
101,42.csv,VaR q=0.05,0.6742187499999996,Gaussian
102,81.csv,Variance,0.7565429687499997,Gaussian
103,81.csv,ERM k=10,0.7610351562499997,Gaussian
104,81.csv,ES q=0.01,0.7570312499999998,Gaussian
105,81.csv,ES q=0.05,0.7701171874999999,Gaussian
106,81.csv,VaR q=0.01,0.7744140624999998,Gaussian
107,81.csv,VaR q=0.05,0.7624999999999997,Gaussian
108,46.csv,Variance,0.7376953124999999,Gaussian
109,46.csv,ERM k=10,0.7074218749999998,Gaussian
110,46.csv,ES q=0.01,0.6910156249999998,Gaussian
111,46.csv,ES q=0.05,0.7154296874999997,Gaussian
112,46.csv,VaR q=0.01,0.7412109374999998,Gaussian
113,46.csv,VaR q=0.05,0.7164062499999997,Gaussian
114,0.csv,Variance,0.8121093749999998,Gaussian
115,0.csv,ERM k=10,0.7826171874999999,Gaussian
116,0.csv,ES q=0.01,0.8730468749999999,Gaussian
117,0.csv,ES q=0.05,0.8138671874999999,Gaussian
118,0.csv,VaR q=0.01,0.7742187499999997,Gaussian
119,0.csv,VaR q=0.05,0.7267578124999996,Gaussian
120,52.csv,Variance,0.7322265624999997,Gaussian
121,52.csv,ERM k=10,0.7101562499999996,Gaussian
122,52.csv,ES q=0.01,0.6798828124999996,Gaussian
123,52.csv,ES q=0.05,0.7171874999999998,Gaussian
124,52.csv,VaR q=0.01,0.7515624999999997,Gaussian
125,52.csv,VaR q=0.05,0.7175781249999998,Gaussian
126,1.csv,Variance,0.8037109374999998,Gaussian
127,1.csv,ERM k=10,0.7711914062499999,Gaussian
128,1.csv,ES q=0.01,0.8685546874999999,Gaussian
129,1.csv,ES q=0.05,0.8067382812499998,Gaussian
130,1.csv,VaR q=0.01,0.7718749999999998,Gaussian
131,1.csv,VaR q=0.05,0.7265624999999998,Gaussian
132,53.csv,Variance,0.7411132812499999,Gaussian
133,53.csv,ERM k=10,0.7167968749999998,Gaussian
134,53.csv,ES q=0.01,0.6923828124999998,Gaussian
135,53.csv,ES q=0.05,0.7234374999999997,Gaussian
136,53.csv,VaR q=0.01,0.7449218749999998,Gaussian
137,53.csv,VaR q=0.05,0.7234374999999997,Gaussian
138,47.csv,Variance,0.7182617187499998,Gaussian
139,47.csv,ERM k=10,0.6954101562499998,Gaussian
140,47.csv,ES q=0.01,0.6801757812499997,Gaussian
141,47.csv,ES q=0.05,0.7055664062499997,Gaussian
142,47.csv,VaR q=0.01,0.7457031249999998,Gaussian
143,47.csv,VaR q=0.05,0.6940429687499997,Gaussian
144,84.csv,Variance,0.7802734374999998,Gaussian
145,84.csv,ERM k=10,0.8289062499999997,Gaussian
146,84.csv,ES q=0.01,0.8384765624999999,Gaussian
147,84.csv,ES q=0.05,0.8418945312499999,Gaussian
148,84.csv,VaR q=0.01,0.84501953125,Gaussian
149,84.csv,VaR q=0.05,0.8435546875,Gaussian
150,51.csv,Variance,0.7256835937499998,Gaussian
151,51.csv,ERM k=10,0.6996093749999998,Gaussian
152,51.csv,ES q=0.01,0.6839843749999998,Gaussian
153,51.csv,ES q=0.05,0.7101562499999996,Gaussian
154,51.csv,VaR q=0.01,0.7437499999999998,Gaussian
155,51.csv,VaR q=0.05,0.6984374999999997,Gaussian
156,3.csv,Variance,0.7970703124999998,Gaussian
157,3.csv,ERM k=10,0.7940429687499998,Gaussian
158,3.csv,ES q=0.01,0.91923828125,Gaussian
159,3.csv,ES q=0.05,0.8275390624999999,Gaussian
160,3.csv,VaR q=0.01,0.7619140624999998,Gaussian
161,3.csv,VaR q=0.05,0.7274414062499998,Gaussian
162,45.csv,Variance,0.7318359374999996,Gaussian
163,45.csv,ERM k=10,0.6791992187499997,Gaussian
164,45.csv,ES q=0.01,0.6576171874999996,Gaussian
165,45.csv,ES q=0.05,0.6935546874999998,Gaussian
166,45.csv,VaR q=0.01,0.7219726562499998,Gaussian
167,45.csv,VaR q=0.05,0.6924804687499998,Gaussian
168,79.csv,Variance,0.7811523437499998,Gaussian
169,79.csv,ERM k=10,0.7730468749999998,Gaussian
170,79.csv,ES q=0.01,0.7602539062499997,Gaussian
171,79.csv,ES q=0.05,0.7752929687499998,Gaussian
172,79.csv,VaR q=0.01,0.7785156249999996,Gaussian
173,79.csv,VaR q=0.05,0.8000976562499998,Gaussian
174,78.csv,Variance,0.8008789062499998,Gaussian
175,78.csv,ERM k=10,0.7886718749999999,Gaussian
176,78.csv,ES q=0.01,0.7815429687499997,Gaussian
177,78.csv,ES q=0.05,0.7943359374999999,Gaussian
178,78.csv,VaR q=0.01,0.7928710937499999,Gaussian
179,78.csv,VaR q=0.05,0.8176757812499998,Gaussian
180,44.csv,Variance,0.7343749999999998,Gaussian
181,44.csv,ERM k=10,0.6867187499999998,Gaussian
182,44.csv,ES q=0.01,0.6846679687499997,Gaussian
183,44.csv,ES q=0.05,0.7068359374999997,Gaussian
184,44.csv,VaR q=0.01,0.7447265624999999,Gaussian
185,44.csv,VaR q=0.05,0.6839843749999998,Gaussian
186,50.csv,Variance,0.7382812499999998,Gaussian
187,50.csv,ERM k=10,0.7148437499999998,Gaussian
188,50.csv,ES q=0.01,0.7021484374999998,Gaussian
189,50.csv,ES q=0.05,0.7242187499999997,Gaussian
190,50.csv,VaR q=0.01,0.7436523437499998,Gaussian
191,50.csv,VaR q=0.05,0.7189453124999997,Gaussian
192,2.csv,Variance,0.7813476562499998,Gaussian
193,2.csv,ERM k=10,0.7584960937499997,Gaussian
194,2.csv,ES q=0.01,0.8376953125,Gaussian
195,2.csv,ES q=0.05,0.7942382812499998,Gaussian
196,2.csv,VaR q=0.01,0.7501953124999998,Gaussian
197,2.csv,VaR q=0.05,0.7133789062499998,Gaussian
198,37.csv,Variance,0.7628906249999997,Gaussian
199,37.csv,ERM k=10,0.7483398437499997,Gaussian
200,37.csv,ES q=0.01,0.7970703124999998,Gaussian
201,37.csv,ES q=0.05,0.7717773437499998,Gaussian
202,37.csv,VaR q=0.01,0.7856445312499999,Gaussian
203,37.csv,VaR q=0.05,0.6775390624999997,Gaussian
204,23.csv,Variance,0.7669921874999999,Gaussian
205,23.csv,ERM k=10,0.7737304687499997,Gaussian
206,23.csv,ES q=0.01,0.8034179687499998,Gaussian
207,23.csv,ES q=0.05,0.7916015624999999,Gaussian
208,23.csv,VaR q=0.01,0.7922851562499998,Gaussian
209,23.csv,VaR q=0.05,0.7523437499999999,Gaussian
210,22.csv,Variance,0.7380859374999997,Gaussian
211,22.csv,ERM k=10,0.7580078124999998,Gaussian
212,22.csv,ES q=0.01,0.8170898437499998,Gaussian
213,22.csv,ES q=0.05,0.7835937499999999,Gaussian
214,22.csv,VaR q=0.01,0.802734375,Gaussian
215,22.csv,VaR q=0.05,0.7042968749999997,Gaussian
216,36.csv,Variance,0.7692382812499998,Gaussian
217,36.csv,ERM k=10,0.7614257812499997,Gaussian
218,36.csv,ES q=0.01,0.8028320312499999,Gaussian
219,36.csv,ES q=0.05,0.7815429687499997,Gaussian
220,36.csv,VaR q=0.01,0.7874999999999999,Gaussian
221,36.csv,VaR q=0.05,0.6932617187499998,Gaussian
222,20.csv,Variance,0.7472656249999997,Gaussian
223,20.csv,ERM k=10,0.7653320312499998,Gaussian
224,20.csv,ES q=0.01,0.8298828124999997,Gaussian
225,20.csv,ES q=0.05,0.7857421874999999,Gaussian
226,20.csv,VaR q=0.01,0.8047851562499998,Gaussian
227,20.csv,VaR q=0.05,0.6921874999999997,Gaussian
228,34.csv,Variance,0.7959960937499998,Gaussian
229,34.csv,ERM k=10,0.7804687499999998,Gaussian
230,34.csv,ES q=0.01,0.8206054687499998,Gaussian
231,34.csv,ES q=0.05,0.7977539062499998,Gaussian
232,34.csv,VaR q=0.01,0.7999999999999998,Gaussian
233,34.csv,VaR q=0.05,0.7180664062499997,Gaussian
234,35.csv,Variance,0.7854492187499998,Gaussian
235,35.csv,ERM k=10,0.7776367187499997,Gaussian
236,35.csv,ES q=0.01,0.8218749999999999,Gaussian
237,35.csv,ES q=0.05,0.7955078124999999,Gaussian
238,35.csv,VaR q=0.01,0.8019531249999999,Gaussian
239,35.csv,VaR q=0.05,0.7170898437499997,Gaussian
240,21.csv,Variance,0.7601562499999996,Gaussian
241,21.csv,ERM k=10,0.7723632812499999,Gaussian
242,21.csv,ES q=0.01,0.8458007812499999,Gaussian
243,21.csv,ES q=0.05,0.7951171874999998,Gaussian
244,21.csv,VaR q=0.01,0.8142578124999997,Gaussian
245,21.csv,VaR q=0.05,0.7009765624999997,Gaussian
246,25.csv,Variance,0.7590820312499997,Gaussian
247,25.csv,ERM k=10,0.7685546874999998,Gaussian
248,25.csv,ES q=0.01,0.7849609374999997,Gaussian
249,25.csv,ES q=0.05,0.7833007812499998,Gaussian
250,25.csv,VaR q=0.01,0.7902343749999999,Gaussian
251,25.csv,VaR q=0.05,0.7467773437499997,Gaussian
252,31.csv,Variance,0.7656249999999998,Gaussian
253,31.csv,ERM k=10,0.7601562499999996,Gaussian
254,31.csv,ES q=0.01,0.80693359375,Gaussian
255,31.csv,ES q=0.05,0.7834960937499998,Gaussian
256,31.csv,VaR q=0.01,0.7999023437499998,Gaussian
257,31.csv,VaR q=0.05,0.7091796874999996,Gaussian
258,19.csv,Variance,0.7483398437499997,Gaussian
259,19.csv,ERM k=10,0.7560546874999998,Gaussian
260,19.csv,ES q=0.01,0.8430664062499998,Gaussian
261,19.csv,ES q=0.05,0.7850585937499998,Gaussian
262,19.csv,VaR q=0.01,0.8032226562499998,Gaussian
263,19.csv,VaR q=0.05,0.6768554687499995,Gaussian
264,18.csv,Variance,0.7490234374999998,Gaussian
265,18.csv,ERM k=10,0.7674804687499998,Gaussian
266,18.csv,ES q=0.01,0.8347656249999998,Gaussian
267,18.csv,ES q=0.05,0.7911132812499999,Gaussian
268,18.csv,VaR q=0.01,0.8007812499999998,Gaussian
269,18.csv,VaR q=0.05,0.6996093749999998,Gaussian
270,30.csv,Variance,0.7698242187499998,Gaussian
271,30.csv,ERM k=10,0.7692382812499998,Gaussian
272,30.csv,ES q=0.01,0.7927734374999997,Gaussian
273,30.csv,ES q=0.05,0.7870117187499999,Gaussian
274,30.csv,VaR q=0.01,0.7907226562499999,Gaussian
275,30.csv,VaR q=0.05,0.7334960937499998,Gaussian
276,24.csv,Variance,0.7710937499999999,Gaussian
277,24.csv,ERM k=10,0.7782226562499998,Gaussian
278,24.csv,ES q=0.01,0.8018554687499998,Gaussian
279,24.csv,ES q=0.05,0.7967773437499998,Gaussian
280,24.csv,VaR q=0.01,0.8057617187499997,Gaussian
