,file,risk measure,OHR,copula
0,0.csv,ERM k=10,0.8237304687499998,Gaussian
1,0.csv,ERM k=10,0.7890624999999999,t_Copula
2,0.csv,ERM k=10,0.7890624999999999,t_Copula_Capped
3,0.csv,ERM k=10,0.6400390624999999,Clayton
4,0.csv,ERM k=10,0.8256835937499999,Frank
5,0.csv,ERM k=10,0.8414062499999999,Gumbel
6,0.csv,ERM k=10,0.7750976562499998,Plackett
7,0.csv,ERM k=10,0.7991210937499998,Gauss Mix Indep
8,0.csv,ERM k=10,0.7442382812499998,rotGumbel
9,0.csv,ERM k=10,0.8642233138481287,NIG
10,0.csv,ES q=0.01,1.09853515625,Gaussian
11,0.csv,ES q=0.01,1.0515625000000002,t_Copula
12,0.csv,ES q=0.01,1.0515625000000002,t_Copula_Capped
13,0.csv,ES q=0.01,0.7040039062499998,Clayton
14,0.csv,ES q=0.01,1.00283203125,Frank
15,0.csv,ES q=0.01,1.2211914062500004,Gumbel
16,0.csv,ES q=0.01,0.9171875,Plackett
17,0.csv,ES q=0.01,1.0250976562499998,Gauss Mix Indep
18,0.csv,ES q=0.01,0.8724609374999999,rotGumbel
19,0.csv,ES q=0.01,1.096530888530012,NIG
20,0.csv,ES q=0.05,0.89189453125,Gaussian
21,0.csv,ES q=0.05,0.8359374999999999,t_Copula
22,0.csv,ES q=0.05,0.8359374999999999,t_Copula_Capped
23,0.csv,ES q=0.05,0.6443359374999997,Clayton
24,0.csv,ES q=0.05,0.8396484375,Frank
25,0.csv,ES q=0.05,0.95263671875,Gumbel
26,0.csv,ES q=0.05,0.7762695312499999,Plackett
27,0.csv,ES q=0.05,0.8513671875,Gauss Mix Indep
28,0.csv,ES q=0.05,0.7583007812499998,rotGumbel
29,0.csv,ES q=0.05,0.8434991044784588,NIG
30,0.csv,VaR q=0.01,0.8955078125,Gaussian
31,0.csv,VaR q=0.01,0.7718749999999999,t_Copula
32,0.csv,VaR q=0.01,0.7718749999999999,t_Copula_Capped
33,0.csv,VaR q=0.01,0.6353515624999997,Clayton
34,0.csv,VaR q=0.01,0.8541015624999999,Frank
35,0.csv,VaR q=0.01,0.984765625,Gumbel
36,0.csv,VaR q=0.01,0.7233398437499998,Plackett
37,0.csv,VaR q=0.01,0.7519531249999997,Gauss Mix Indep
38,0.csv,VaR q=0.01,0.6970703124999997,rotGumbel
39,0.csv,VaR q=0.01,0.7711810360427075,NIG
40,0.csv,VaR q=0.05,0.78369140625,Gaussian
41,0.csv,VaR q=0.05,0.7967773437499998,t_Copula
42,0.csv,VaR q=0.05,0.7967773437499998,t_Copula_Capped
43,0.csv,VaR q=0.05,0.5884765624999997,Clayton
44,0.csv,VaR q=0.05,0.7662109374999996,Frank
45,0.csv,VaR q=0.05,0.8216796874999999,Gumbel
46,0.csv,VaR q=0.05,0.7429687499999997,Plackett
47,0.csv,VaR q=0.05,0.7945312499999999,Gauss Mix Indep
48,0.csv,VaR q=0.05,0.7248046874999998,rotGumbel
49,0.csv,VaR q=0.05,0.7781271926551938,NIG
50,0.csv,Variance,0.8610351562499998,Gaussian
51,0.csv,Variance,0.8253906249999998,t_Copula
52,0.csv,Variance,0.8253906249999998,t_Copula_Capped
53,0.csv,Variance,0.7453124999999998,Clayton
54,0.csv,Variance,0.88798828125,Frank
55,0.csv,Variance,0.8058593749999998,Gumbel
56,0.csv,Variance,0.8333007812499998,Plackett
57,0.csv,Variance,0.8311523437499998,Gauss Mix Indep
58,0.csv,Variance,0.8388671875,rotGumbel
59,0.csv,Variance,0.8516191006197322,NIG
60,1.csv,ERM k=10,0.89033203125,Gaussian
61,1.csv,ERM k=10,0.8556640624999998,t_Copula
62,1.csv,ERM k=10,0.8556640624999998,t_Copula_Capped
63,1.csv,ERM k=10,0.7337890624999999,Clayton
64,1.csv,ERM k=10,0.8767578125,Frank
65,1.csv,ERM k=10,0.93173828125,Gumbel
66,1.csv,ERM k=10,0.8341796874999998,Plackett
67,1.csv,ERM k=10,0.8478515624999998,Gauss Mix Indep
68,1.csv,ERM k=10,0.82119140625,rotGumbel
69,1.csv,ERM k=10,0.8143941595066609,NIG
70,1.csv,ES q=0.01,1.1653320312500006,Gaussian
71,1.csv,ES q=0.01,1.0447265625000002,t_Copula
72,1.csv,ES q=0.01,1.0447265625000002,t_Copula_Capped
73,1.csv,ES q=0.01,0.8127929687499997,Clayton
74,1.csv,ES q=0.01,1.1504882812500004,Frank
75,1.csv,ES q=0.01,1.3745117187500009,Gumbel
76,1.csv,ES q=0.01,1.09189453125,Plackett
77,1.csv,ES q=0.01,0.932421875,Gauss Mix Indep
78,1.csv,ES q=0.01,0.8976562499999998,rotGumbel
79,1.csv,ES q=0.01,0.7707819387020667,NIG
80,1.csv,ES q=0.05,0.958984375,Gaussian
81,1.csv,ES q=0.05,0.915234375,t_Copula
82,1.csv,ES q=0.05,0.915234375,t_Copula_Capped
83,1.csv,ES q=0.05,0.7282226562499997,Clayton
84,1.csv,ES q=0.05,0.8888671875,Frank
85,1.csv,ES q=0.05,1.0599609375,Gumbel
86,1.csv,ES q=0.05,0.8467773437499998,Plackett
87,1.csv,ES q=0.05,0.8959960937499999,Gauss Mix Indep
88,1.csv,ES q=0.05,0.8477539062499998,rotGumbel
89,1.csv,ES q=0.05,0.819813476911486,NIG
