"Variance","VaR 99%","VaR 95%","ES 99%","ES 95%","Spectral 10"
"2020-06-17-01-00-00",0.8254695503793895,0.7254832698273903,0.6450411330696737,0.5597254202880302,0.6052120479288264,0.6003730036085833
"2020-06-17-05-00-00",0.8223430687848059,0.7253676575374659,0.6484750853183202,0.5563852570967844,0.6046907011035956,0.5973903449489535
"2020-06-17-09-00-00",0.8186981307235894,0.7233703295094099,0.6495360842087958,0.5521308280107409,0.6022381231183954,0.5940783935973936
"2020-06-17-13-00-00",0.8209848972313513,0.7247096544777774,0.6492617287643383,0.5593323781570763,0.6064384199744566,0.5933958713694745
"2020-06-17-17-00-00",0.8211162929701631,0.7279699127531435,0.6606681720941812,0.5573043045683203,0.6068582102647231,0.6002998207506904
"2020-06-17-21-00-00",0.8131644787831518,0.7295253693214261,0.6543690218869109,0.5542312531605487,0.5933982721722331,0.5933578784917211
"2020-06-18-01-00-00",0.8085856609005466,0.7278735642082241,0.6442011626488025,0.5573779066755378,0.5917124143213017,0.5855212605596369
"2020-06-18-05-00-00",0.8015375201083278,0.724498254112071,0.6442675604073377,0.543544699865079,0.583329249007863,0.5821927882807468
"2020-06-18-09-00-00",0.8031033686470532,0.723103092916078,0.6370684279536355,0.5519749068969396,0.584722071528426,0.5783113782920226
"2020-06-18-13-00-00",0.829075772239943,0.7463159063943928,0.6759494292464061,0.575433087458838,0.6177044093076927,0.6133562698742491
"2020-06-18-17-00-00",0.8307444861940476,0.7413425371708744,0.6759110886492508,0.5557714455124552,0.6352761353424845,0.6086778925797864
"2020-06-18-21-00-00",0.8325921105751802,0.7463270041080974,0.6840513259170948,0.5698827812243442,0.6429138576359472,0.6053051427041733
"2020-06-19-01-00-00",0.8257280757535778,0.7363922082815902,0.6689584208871269,0.5474101438855343,0.6272624087893444,0.6041362660516949
"2020-06-19-05-00-00",0.8309126687513406,0.7448089861024771,0.6600157524942818,0.5559654591155192,0.6341502243879484,0.6151123606803495
"2020-06-19-09-00-00",0.8263899982089918,0.7417658423381059,0.6492662498658992,0.5464280872488878,0.6274154692696412,0.6065145632600671
"2020-06-19-13-00-00",0.8230212164083561,0.7403086927747742,0.6548507572986451,0.5476576482576907,0.6280917948475706,0.6020728772203505
"2020-06-19-17-00-00",0.8168291566447787,0.7336531597184107,0.6443052909337688,0.5391803151744298,0.6199724526475529,0.5953686934499536
"2020-06-19-21-00-00",0.8088307533190513,0.7261524830974719,0.6374831185215929,0.525132163159086,0.6105453179387785,0.5881268089891434
"2020-06-20-01-00-00",0.8154889057224692,0.7331716856662458,0.6470549881471162,0.5382037807700017,0.6203188644408572,0.5964102176711098
"2020-06-20-05-00-00",0.8106227653834424,0.7234565133160438,0.6576722496615391,0.519705599359314,0.6123712139063573,0.6021039356280112
"2020-06-20-09-00-00",0.8169142995750248,0.7350428872055601,0.6508350233525233,0.5402271212224663,0.6230137390401298,0.5974198990207242
"2020-06-20-13-00-00",0.813227589666712,0.7316935928313784,0.6433688605057283,0.5308787640890458,0.6168692640226129,0.5944705808013694
"2020-06-20-17-00-00",0.8150784244281504,0.7298843310476906,0.6489150159222101,0.5334166878094654,0.6192822078726353,0.5978508019227129
"2020-06-20-21-00-00",0.8193437481767549,0.7340495578076606,0.6506428188833273,0.5347157477448017,0.6200229104128361,0.6026638481973221
"2020-06-21-01-00-00",0.8113692699488818,0.7249837370519201,0.6568622912817053,0.5186651061908956,0.6127455238101566,0.5993327300269834
"2020-06-21-05-00-00",0.812739406094398,0.7278952322127497,0.6519738513581281,0.5280572453150173,0.6157453799342725,0.5954803915970384
"2020-06-21-09-00-00",0.8213574180860698,0.7332908371003322,0.6820311473389555,0.5438026278219039,0.6316217424940581,0.607002408883673
"2020-06-21-13-00-00",0.8049424833325113,0.7169765732825197,0.6668782284207495,0.5196316282457017,0.6098066929930707,0.5837704080487267
"2020-06-21-17-00-00",0.8025674552908773,0.715848114714728,0.6617509123485116,0.517635383325622,0.6068879491897228,0.5800145642678666
"2020-06-21-21-00-00",0.7970840788866578,0.7136886004788061,0.6577294625191965,0.5132966845903686,0.6026346063533603,0.5725048022015761
"2020-06-22-01-00-00",0.7942108115574626,0.7125470025924779,0.6417938498337897,0.5138850062608036,0.5958777666327664,0.5712156943720959
"2020-06-22-05-00-00",0.7944896913317799,0.7114334621228928,0.658125809428022,0.5119824839434353,0.6014438821608152,0.5573435047741979
"2020-06-22-09-00-00",0.7966767135127562,0.7096999404477914,0.6573098210259573,0.5089274567207764,0.5983871345009875,0.5719495203641588
"2020-06-22-13-00-00",0.7977486914384354,0.7089851110498869,0.6451509658654802,0.5064913581776131,0.5937208852703346,0.576018962157826
"2020-06-22-17-00-00",0.7988627961426189,0.714039477069397,0.6404106526732032,0.5171990307383602,0.5947477094687812,0.5753007029723265
"2020-06-22-21-00-00",0.8008353348197308,0.7155570278416269,0.648968520260901,0.5189635652541948,0.6020962923349362,0.5632697335331365
"2020-06-23-01-00-00",0.7986712557255028,0.7167940111255884,0.6485407513718231,0.5187383098913981,0.6015545849829017,0.561117275220669
"2020-06-23-05-00-00",0.8002966950808942,0.7167789228098822,0.6522306174033634,0.5169129806123748,0.6026506093592807,0.5623115390486049
"2020-06-23-09-00-00",0.7983624434310249,0.717874473035175,0.645484476177991,0.5244696188499984,0.6021503850964762,0.5547981489927803
"2020-06-23-13-00-00",0.7955958623841939,0.716651757193091,0.6281551806565611,0.5105041726595589,0.5962858490815238,0.5556496898023724
"2020-06-23-17-00-00",0.7977142615993237,0.719421968725734,0.6378938667900907,0.5180159948944141,0.6028643102386922,0.5651107077707953
"2020-06-23-21-00-00",0.7986189537460847,0.7187553844406389,0.633615105675517,0.5131253881192106,0.6006515204961027,0.5654932036620761
"2020-06-24-01-00-00",0.795254254616508,0.716335133167046,0.6286205492129651,0.5073379401715026,0.59670845733479,0.5640434405826715
"2020-06-24-05-00-00",0.797957297054824,0.7185098220949184,0.630788088475398,0.5137767770314521,0.6002613237548236,0.5646408560392624
"2020-06-24-09-00-00",0.7963022754392945,0.7239316543533449,0.6190776417449786,0.5346296428929356,0.5800726452238483,0.5686327236731827
"2020-06-24-13-00-00",0.7946500615517257,0.5519010479309615,0.6115375113424506,0.535404375001776,0.5537275176637495,0.5818855408048613
"2020-06-24-17-00-00",0.8077431231987169,0.5692914912770756,0.6444359358199787,0.5501793293081829,0.5762627267796117,0.6219392891104902
"2020-06-24-21-00-00",0.7928206343165103,0.52621254385399,0.5949188705801556,0.5106960848046461,0.5418262100995292,0.6076759878553591
"2020-06-25-01-00-00",0.7930637202902844,0.5264267843234771,0.5963693862355077,0.5107775334640261,0.5421400827635423,0.6084012808653003
"2020-06-25-05-00-00",0.8011314136900601,0.5599521789272948,0.6028424914706652,0.5077256782760959,0.5368406555294394,0.6175792753167144
"2020-06-25-09-00-00",0.7978896217694149,0.5580157575157918,0.6028424912192794,0.5062487021451516,0.535918132563376,0.6118293092830218
"2020-06-25-13-00-00",0.8147272803651154,0.588076398150057,0.5811676672334523,0.5410630758454342,0.5642656527395751,0.60926102428878
"2020-06-25-17-00-00",0.8131078548329819,0.5816606734491958,0.6428419830947816,0.5159844694287936,0.5761450127036851,0.6096574162237334
"2020-06-25-21-00-00",0.8130864763963508,0.5972249618349368,0.674123740158887,0.5222453030792412,0.591235557583035,0.6120970142197034
"2020-06-26-01-00-00",0.8087590665677483,0.5947136030130927,0.6603992926184561,0.502985605253188,0.5861010421270438,0.6239202704864192
"2020-06-26-05-00-00",0.8043611337832505,0.5920068413929385,0.6517746074296304,0.4990442505341466,0.5826383745793007,0.6194639891429694
"2020-06-26-09-00-00",0.7948294387238302,0.5868728286120966,0.6256716104734279,0.49382046972602434,0.563117351067767,0.6123648350678335
"2020-06-26-13-00-00",0.7961646815795541,0.5978540638420584,0.5920411169359321,0.5224378806299858,0.5706085743390074,0.5761367453356756
"2020-06-26-17-00-00",0.7879356249016736,0.5868471518986376,0.545743312381235,0.49900996671209785,0.531791385998649,0.5719812190815055
"2020-06-26-21-00-00",0.7877618147723437,0.5870058692420457,0.5440742513147445,0.4987704549131554,0.5315496625818901,0.5705740370074912
"2020-06-27-01-00-00",0.7892535671982366,0.5931723668586721,0.5636929348439526,0.506613556736841,0.5380374406975236,0.5970570088910969
"2020-06-27-05-00-00",0.7826247230517103,0.5885231403068912,0.5861081698307797,0.5019229387776132,0.5382382652640201,0.5992192840953137
"2020-06-27-09-00-00",0.7816114671523329,0.5863583307775918,0.5829058400256205,0.5028101025071214,0.5374171951783594,0.5987349972856794
"2020-06-27-13-00-00",0.7797435030510231,0.5806141450555954,0.5917584379797522,0.49851980278466834,0.5392668601903199,0.5943904636412203
"2020-06-27-17-00-00",0.7823722978619704,0.584352538475292,0.596028184653802,0.5012045632594385,0.5426634879659027,0.5970433830765025
"2020-06-27-21-00-00",0.7887814356728515,0.5890239225586935,0.5862091444661109,0.4600281734405389,0.5168074429899926,0.6190154631101201
"2020-06-28-01-00-00",0.7992053537224013,0.5845425008848399,0.5814323655943704,0.49256290878668907,0.5148228849799981,0.6105376013689603
"2020-06-28-05-00-00",0.7993968022733654,0.5859285862366745,0.5743267693135361,0.4970846778147717,0.5142742624237693,0.6074304520617915
"2020-06-28-09-00-00",0.8064152951687433,0.5928545854504516,0.5953572015018751,0.504316416430521,0.5266857346895593,0.6240796589505677
"2020-06-28-13-00-00",0.8035061397095165,0.5821838398023987,0.5929663723490617,0.49757204365118335,0.5222589411672753,0.6190331699958092
"2020-06-28-17-00-00",0.8074452715436866,0.5964858266685902,0.588371740428292,0.516087478346876,0.5455409457151539,0.6169555608215103
"2020-06-28-21-00-00",0.8026816565097155,0.5973064455523976,0.5982420551639164,0.5087569731284733,0.5397999743004973,0.613294657489567
"2020-06-29-01-00-00",0.807801392848122,0.5873623242487176,0.6163594438607436,0.5019503149076645,0.5428531271226723,0.6339929381797555
"2020-06-29-05-00-00",0.8129963061954132,0.6035207583549809,0.5981783158142537,0.5226345639987657,0.5484480503854939,0.637330105087372
"2020-06-29-09-00-00",0.8137108572251299,0.6035509102650607,0.5995907383231989,0.5248198909941031,0.5502872786778226,0.6395967295505186
"2020-06-29-13-00-00",0.8125399637404778,0.605186329410843,0.6032227791571674,0.5231504919104952,0.5518787105563812,0.6402974177911905
"2020-06-29-17-00-00",0.8087779019892375,0.6105927147133696,0.6177119074916642,0.5262627277741683,0.5473986637213563,0.6274995267011468
"2020-06-29-21-00-00",0.8126539795944616,0.5999030907661531,0.6194817739069266,0.5252573581982245,0.559984885558636,0.6276524898677268
"2020-06-30-01-00-00",0.8045032986829936,0.5911897366404854,0.6443522690327681,0.4987618077370821,0.5542289671975136,0.6360072580379152
"2020-06-30-05-00-00",0.8103570800336531,0.6105703776830239,0.6175060794497949,0.5232194720214088,0.5579045771061726,0.6330427370274749
"2020-06-30-09-00-00",0.8092917658744387,0.6105927163823688,0.6222971013437002,0.5242119523317148,0.5591420349456679,0.6237625010972065
"2020-06-30-13-00-00",0.8158307141527495,0.6105927095865589,0.633106528942679,0.5242708938412624,0.5639343689338916,0.6423556632361181
"2020-06-30-17-00-00",0.8111471355773149,0.6105927038442998,0.6175911985187099,0.5279579898821667,0.5586499523707797,0.6288854749012615
"2020-06-30-21-00-00",0.8085532001657701,0.610592716375541,0.5952654106526059,0.523973174688249,0.5559272875462458,0.6364479877656877
"2020-07-01-01-00-00",0.8094031744447239,0.5998240704060603,0.6165488467090623,0.521246751658508,0.560538375202232,0.6281098513220449
"2020-07-01-05-00-00",0.7996371823440338,0.5858953302503255,0.6145060016883833,0.4954665991960552,0.546709645533062,0.6332404772418915
"2020-07-01-09-00-00",0.7976348166557363,0.5978664038355714,0.583765915241264,0.5066951836550032,0.5416037742955576,0.6254691308536536
"2020-07-01-13-00-00",0.7987396472369197,0.5929245655282482,0.5957689403625703,0.5069436487853869,0.5440146809584034,0.6157356872213107
"2020-07-01-17-00-00",0.8017360184458691,0.610592710552261,0.6484979776824971,0.5057598533103727,0.5648142823952997,0.626346999083172
"2020-07-01-21-00-00",0.8050082000916894,0.6105927132222606,0.6583386139586815,0.508855707051536,0.5714825810238073,0.6306985141010065
"2020-07-02-01-00-00",0.8078967549416308,0.5988169034002941,0.6175030918695061,0.5180476475741459,0.5608587362030713,0.6221788599832863
"2020-07-02-05-00-00",0.8103081383451844,0.6086233595244244,0.6241480429771022,0.519532994443008,0.5642063107864583,0.6249673015572024
"2020-07-02-09-00-00",0.8160140698602236,0.6105927140452503,0.6329788243645356,0.522725087783495,0.5778151134743399,0.6401760784315758
"2020-07-02-13-00-00",0.8162739608352501,0.6105927102029675,0.6275168863948344,0.5273243018108263,0.5827285184989494,0.6353689195391755
"2020-07-02-17-00-00",0.8169421758909308,0.508115664290063,0.676850696648559,0.4406528014201364,0.5598938079399514,0.6681913554168404
"2020-07-02-21-00-00",0.8095345966053884,0.4838566045825815,0.646903435115538,0.4335854558514286,0.5443538757652042,0.6517544575695925
"2020-07-03-01-00-00",0.8117446142696734,0.5052575583989799,0.6791304736715748,0.4342323973997949,0.5596908609212783,0.6521835423849088
"2020-07-03-05-00-00",0.8096413803121432,0.5036767325162144,0.677574330021902,0.43132959322922104,0.5568987052071508,0.6583573900834607
"2020-07-03-09-00-00",0.811636716372732,0.5036254414541784,0.6781470784542276,0.43419520662620703,0.5591160276321299,0.652150927854004
"2020-07-03-13-00-00",0.8138854717201802,0.5073798606372006,0.6847039130296282,0.4372609200360962,0.5632773449028665,0.6551172334725358
"2020-07-03-17-00-00",0.8253016526782484,0.5180680031141047,0.6756555915881334,0.46659985329251596,0.5741187411082861,0.6657018252392557
"2020-07-03-21-00-00",0.8223381672251859,0.5124748364591667,0.655913429241775,0.46185945268004547,0.5654876873309649,0.6620585995571269
"2020-07-04-01-00-00",0.8213481070700306,0.522606936121087,0.6941968473786053,0.44755002634233165,0.5728333683091287,0.672021829799061
"2020-07-04-05-00-00",0.8193631701465613,0.5183087339176702,0.6931554826286676,0.4443721697460099,0.5703040250296346,0.6717964944560666
"2020-07-04-09-00-00",0.8202000552640788,0.537536345372502,0.7122558275504443,0.43695326870661677,0.5737194542762434,0.6691887291512613
"2020-07-04-13-00-00",0.8190793276101616,0.5153481474548194,0.6916234726691743,0.44413603435970705,0.5692325226003547,0.6707320243236159
"2020-07-04-17-00-00",0.8177314545808603,0.5120557149892093,0.689643486569488,0.4439128929851365,0.5677781712906387,0.6697609107821256
"2020-07-04-21-00-00",0.810704100309175,0.5170359341557285,0.6450946591784077,0.4697691803122922,0.5659668925315458,0.6169027753168517
"2020-07-05-01-00-00",0.8100536555874689,0.5144620409583707,0.642647023987293,0.4694756886473781,0.5649229447963366,0.6150766894410976
"2020-07-05-05-00-00",0.8117227577459301,0.5105954704494795,0.6500358637161745,0.4667637945138917,0.5632818159454582,0.6225450935686452
"2020-07-05-09-00-00",0.8108676666563301,0.5131102223509472,0.6356500675665477,0.4692899898759546,0.5568332604475431,0.6221520465715202
"2020-07-05-13-00-00",0.8236498986755376,0.5366974593105278,0.6566511845901455,0.490730562469439,0.5681300268648153,0.638895188388444
"2020-07-05-17-00-00",0.8256390359545407,0.5437643523926721,0.646268682257175,0.49395320711208146,0.5724773623736283,0.6428978318224614
"2020-07-05-21-00-00",0.830512365511592,0.5503640436723884,0.6553765752360226,0.4981404358619135,0.5788787197490869,0.6507087788627423
"2020-07-06-01-00-00",0.8321992435508165,0.5607491066420169,0.657121988677746,0.5020853480589598,0.5828384223080338,0.6471585950512513
"2020-07-06-05-00-00",0.8273079322862515,0.558339004051341,0.6479399348749217,0.495279355741885,0.5777311591778104,0.6439355342285922
"2020-07-06-09-00-00",0.814599755072446,0.560646278346236,0.6412817650755793,0.49336728575102806,0.5797339564151177,0.5883416711881508
"2020-07-06-13-00-00",0.8084679199296431,0.5592252047548818,0.6466568818880252,0.4888687957161123,0.5759308008465233,0.5812024710294583
"2020-07-06-17-00-00",0.8169652404820584,0.5858496310898734,0.6840831906855271,0.5020983018251219,0.5966381371582844,0.6088254999203722
"2020-07-06-21-00-00",0.8095416813737359,0.5812283676127727,0.6679248378023782,0.4975912956796481,0.5911193555435528,0.6030086876756529
"2020-07-07-01-00-00",0.8018647659951762,0.5830389976894823,0.6401484608429426,0.4927321408229375,0.5821083917542139,0.6019543290265653
"2020-07-07-05-00-00",0.7980390145069389,0.5748072833108498,0.6345271900535903,0.485653043348818,0.5768641650865285,0.6001663155115475
"2020-07-07-09-00-00",0.8034085963992915,0.5520328005871015,0.6349640180421455,0.4556161285477741,0.5591719797871939,0.6102788662373193
"2020-07-07-13-00-00",0.8088201328344373,0.5685742622498513,0.6664828678003467,0.47601633447300706,0.5700967496726733,0.6189739352239483
"2020-07-07-17-00-00",0.8097890588562525,0.5502005273817746,0.64467523736116,0.4671327519661216,0.5637650480225118,0.6232130336609798
"2020-07-07-21-00-00",0.810394890352074,0.55458190185994,0.651552832290653,0.4687092159723073,0.5685419095858779,0.6248410571087817
"2020-07-08-01-00-00",0.8087149621981439,0.5498010338658998,0.6437627867632199,0.4644389126226177,0.5623861356544498,0.6246473930510676
"2020-07-08-05-00-00",0.8020035626297098,0.5522154626127589,0.6311476625558072,0.4569934589381618,0.5573072146890248,0.6035402585111174
"2020-07-08-09-00-00",0.7994778604869808,0.5464848492033025,0.6261432250529128,0.45477060437903816,0.5529878954556997,0.6008870676385433
"2020-07-08-13-00-00",0.7998050383357724,0.5534931043921152,0.6309579978698058,0.45670756330153095,0.554125912475949,0.6034659088238616
"2020-07-08-17-00-00",0.8008345041357812,0.5677293834193959,0.6272485911466293,0.4957577385665115,0.5730152918643645,0.5833143019426232
"2020-07-08-21-00-00",0.7997009367372361,0.5673109988005047,0.6363694902297772,0.4952903597763769,0.5749648779678556,0.5853677817358457
"2020-07-09-01-00-00",0.7975266215620135,0.5425823297440839,0.6587838997547276,0.4597109461738047,0.5599463421533495,0.6096509988315679
"2020-07-09-05-00-00",0.7976146628251302,0.546544387025936,0.6622825999210363,0.4602394890603495,0.5622411429307614,0.610146098873805
"2020-07-09-09-00-00",0.7968724425865001,0.547110050025452,0.6596657817929785,0.45872010060936996,0.5620953162483505,0.6094743068124764
"2020-07-09-13-00-00",0.8010656310255722,0.5528333399125451,0.6703208228119537,0.4687504881347929,0.5691446743873364,0.6102388744777965
"2020-07-09-17-00-00",0.7822438383145599,0.5603317792497052,0.6248217809610815,0.3531282682905388,0.503142704407578,0.6067263713147809
"2020-07-09-21-00-00",0.7749882506377519,0.5416311010143133,0.6325681570713435,0.3427683105838115,0.5020984657344056,0.6002293339209037
"2020-07-10-01-00-00",0.7787283805442391,0.5445108399953464,0.6355605482630751,0.3493713296227646,0.5066727088708458,0.604127031078697
"2020-07-10-05-00-00",0.7829831453485446,0.5477049503344601,0.6411651560125526,0.3490113370939115,0.5097497386237545,0.6108095335258448
"2020-07-10-09-00-00",0.7973694854381055,0.5798969330847386,0.6460082621421633,0.39782481324010566,0.5370409313676083,0.6148012186472711
"2020-07-10-13-00-00",0.7929911932867656,0.5715830115640909,0.6221359210252295,0.3875383935077048,0.5225783690993988,0.6102361221848523
"2020-07-10-17-00-00",0.7878254781030003,0.5776421752875274,0.6282468288930705,0.38895082397733116,0.5292235634276257,0.6009788767548881
"2020-07-10-21-00-00",0.7940708527046672,0.583344349226837,0.6343032048977215,0.3956620541957514,0.5314720437933618,0.6064286941852226
"2020-07-11-01-00-00",0.7954661846295681,0.565305669863494,0.6545452477628346,0.38115921182575296,0.5447008355751931,0.5975996477406432
"2020-07-11-05-00-00",0.7922344615406013,0.5797498257204593,0.6319668409640319,0.38648855854530273,0.546364914137843,0.5907109355407529
"2020-07-11-09-00-00",0.7892027116400219,0.576900540438047,0.6284043500733218,0.38388628651247714,0.5428844355686704,0.5859627259555518
"2020-07-11-13-00-00",0.7976594701478535,0.5819730972643854,0.646736850221908,0.40098021022948815,0.5375471255168924,0.602500573576467
"2020-07-11-17-00-00",0.8027644234988959,0.5834989451705944,0.6562796361215547,0.40282885260959467,0.5413026928395066,0.608114264418897
"2020-07-11-21-00-00",0.7882439942014487,0.5660964371717649,0.6476215098367715,0.37139757229804404,0.517845659848456,0.6254020259913007
"2020-07-12-01-00-00",0.7929306314924908,0.5732628977502938,0.6495243161810712,0.3781516831288647,0.5213418994752803,0.6294160386307803
"2020-07-12-05-00-00",0.8257351512411879,0.5921682706193088,0.6953439030501918,0.39405719813507434,0.5495984256157265,0.6760772574979986
"2020-07-12-09-00-00",0.7996878480231759,0.5772248540671472,0.6521691417967028,0.3842848895951687,0.5268474069936473,0.6372753337407034
"2020-07-12-13-00-00",0.8103522025125092,0.5696545837546558,0.6208963425625645,0.3704668561452389,0.5104874237523072,0.6699026525069705
"2020-07-12-17-00-00",0.8166299679980036,0.571552034640987,0.6018913330351994,0.4328375556375127,0.5211241660366819,0.6679575012501021
"2020-07-12-21-00-00",0.803881216604262,0.5280763670316155,0.5782186275348953,0.41993325689197325,0.5237680202771942,0.6462393468114853
"2020-07-13-01-00-00",0.7825630864688252,0.5132406673453831,0.5704079325449452,0.4295752656237839,0.5132845147290888,0.621513439534717
"2020-07-13-05-00-00",0.8082797319339711,0.5099959858036381,0.5650631479183028,0.3834993458808065,0.49270024435673787,0.6708450399331329
