coin,weight
1st,0.0003337918444887671
2give,9.927614723335157e-06
aby,7.066739290129934e-06
acoin,3.4001051492949843e-07
adz,0.00010477530689171644
aeon,0.00010196038530636244
agrs,0.00022194988358093348
amp,0.00018388939806774106
anc,1.7986097482048192e-06
arc,3.6406647141382105e-05
ardr,0.0008739822803485454
arg,5.126771990197672e-07
atx,9.617732136307793e-06
aur,5.2649421836371345e-05
bash,2.3488939974704344e-05
bay,8.067340144776112e-05
bbr,0.00013813563556270457
bcn,0.0004887711352774442
bcy,0.0004762759178919468
bela,5.170514779683641e-05
bitb,3.357249553391766e-06
bitusd,5.494093248044021e-06
bitz,2.3910040104744617e-06
blk,0.00013230904741881358
block,1.2239926230165112e-05
bost,1.6209809263111266e-05
brk,2.2374746310290998e-05
bsty,9.507105634474981e-07
bta,7.42834978531083e-06
btc,0.8649972853488084
bucks,6.706637992292165e-06
bun,3.8809429626397215e-07
burst,7.629233854840671e-05
byc,4.081332623902816e-06
c2,6.564064624227537e-06
cage,2.0570993454660544e-05
cann,1.064938395632744e-05
cbx,3.628542991320831e-06
ccn,3.989154942543466e-06
ccrb,9.252027442876252e-07
cdn,6.956747414640401e-06
cesc,5.679766612343999e-07
chc,6.15935157057608e-08
clam,9.900821345141689e-05
cloak,4.6817872284254616e-05
coval,2.0798209896154504e-05
cps,5.955031665491082e-06
crb,0.00019092938767874075
creva,1.097049559931737e-06
crw,9.443917734882174e-06
csc,2.901644026554481e-05
cure,6.921626671051553e-05
dar,2.9403520941465505e-05
dash,0.007589289352834327
dcr,0.0004531134695639717
dgb,0.00010571256304577718
dgc,1.0410573313515413e-05
dgd,0.0009629719626016549
dmd,2.6865004977470653e-05
doge,0.0011370165931435
dope,6.043574175568807e-06
dvc,1.4894694834338089e-05
eac,4.444063328002108e-05
efl,1.1797467982901575e-05
emc,0.00038097382108524157
emc2,1.5046408288001133e-05
enrg,2.6950740731422896e-05
etc,0.005714234944219722
eth,0.05565849275397566
excl,1.2272823523726052e-06
exp,8.593693663119617e-05
fair,6.300778791739344e-05
fcn,6.478124456716658e-06
fldc,3.168705863942444e-05
flo,3.0697623177596604e-05
ftc,4.580886642549503e-05
gam,3.127335587043065e-05
game,0.000738311002779403
gb,1.33187729158533e-05
gbt,3.608946926613972e-07
gbyte,0.000399259618357441
gcn,4.742002738474314e-05
gcr,9.417791575231795e-05
geo,5.413498302571756e-06
gnt,0.0010750187125525353
golos,0.0002800665616045823
grc,0.00013219526875901856
grs,1.6473758542673958e-05
hbn,9.281638903899155e-07
heat,9.692760050055027e-05
hkg,4.627065797445395e-05
hodl,2.069480706926599e-06
htc,6.559916427935256e-06
huc,2.0914954174642215e-05
hyper,2.7468081868676077e-06
icoo,1.6822211497277495e-05
ifc,1.9448255233591793e-05
incnt,6.48191459162263e-05
infx,2.3408463855872337e-06
insn,1.2165340045697356e-06
ioc,0.00030746782921085104
ion,4.721111780441715e-05
j,1.878788954413425e-05
jobs,3.743602038731885e-07
kore,4.486900721362006e-06
lbc,5.5340578508567055e-05
lc4,0.002128207750160788
ldoge,2.970981254819395e-06
lkk,7.358800978036635e-05
lmc,0.00016483373598629998
log,9.15505539759919e-06
lsk,0.000738321579033123
ltc,0.009720740699700907
maid,0.003941936572851332
marks,2.587589821074045e-05
mec,2.422246050637717e-05
mint,4.046262792070135e-05
moin,5.007866588119799e-06
mojo,3.1038862132607713e-06
mona,6.432438467266382e-05
mtlmc3,1.6631173281222963e-07
mue,6.060113342010319e-06
mxt,1.5393504192051447e-06
mzc,9.774263468618101e-06
nav,0.00012242893211176665
neo,0.0003122815729204562
neos,3.0707847002526374e-05
net,8.120234516087872e-05
nlg,0.0003964891715805722
nmc,0.00018642324751875255
nobl,1.1799224903544205e-05
note,3.8207296283927956e-05
nsr,2.629378956407308e-05
nvc,4.663137961511914e-05
nxc,0.0002169222610049381
nxs,0.00023637990282672128
nxt,0.000381926777551099
obits,3.2650868679490686e-05
ok,3.2558842002455805e-05
omni,9.533948793624268e-05
orb,7.918164017047263e-06
pak,1.6381885509242718e-06
pasc,0.00010661512211110201
pepecash,8.173321257366875e-05
pink,1.3526842755533147e-05
pip,1.3111683252415005e-05
pivx,5.9807264194632444e-05
pkb,1.6530800299062069e-06
pnd,1.739636685247428e-05
pot,0.00020757472739887025
ppc,0.0003650864224715381
psb,6.2017057119899676e-06
qcn,1.2898295238571626e-06
qrk,2.82483872277067e-05
qtl,6.893460171009008e-06
rads,7.537939357029117e-05
rby,0.00028281679360129663
rdd,3.753613070837519e-05
rep,0.0025527757069183023
ric,2.0777354584152016e-05
rise,2.133331107217977e-05
rvr,1.690377494455978e-05
safex,3.4710549947766286e-05
sbd,5.6028976737071824e-05
sc,0.000418689582331999
seq,1.3569749445685007e-05
sh,1.1185437969779129e-07
shift,2.0558313257462e-05
sib,0.00010737037299354955
slg,3.551641378821571e-06
slr,0.0001753017101655059
sls,2.232824496872308e-05
smc,1.4346233953192984e-06
sngls,0.00042428042599902926
snrg,9.460415044551906e-06
start,1.7343526339352466e-05
steem,0.0015674358449429993
strat,0.0004160458526734998
stv,1.6477668212833248e-06
swing,4.400901636049103e-06
sxc,3.4790806701401923e-06
sys,0.0002893447051210694
tag,6.9809139660061024e-06
tes,4.717494875378026e-06
tips,3.9732585744571016e-05
