coin,weight
0xbtc,9.211366919892304e-06
1337,1.1648056036246992e-05
1st,2.7122864115636744e-05
1wo,9.531614503694905e-06
2give,8.940483491917117e-06
42,4.749581766671601e-06
808,2.4385612673734683e-06
8bit,6.411327030775588e-06
aac,2.039015939165439e-05
abl,2.3532932561512758e-05
abt,0.00011357615090710446
aby,1.353910891013668e-05
abyss,1.4588908800836028e-05
ac3,1.9791151726046346e-05
acat,1.0125934677556102e-05
act,0.0001089591694768333
ada,0.012190758150886358
adb,8.228335412391802e-06
adh,1.1138596335943192e-05
adi,1.8670587972489464e-06
adl,3.522972392964469e-06
ads,1.2838019868572817e-05
adt,4.0148142938156526e-05
adx,6.549005683966282e-05
adz,2.834971345152216e-06
ae,0.0010832080167237257
aeg,1.849021598583783e-06
aeon,5.821506644052298e-05
agi,0.00011337894532284061
aht,2.0648716602397506e-06
aid,1.1863611803956144e-05
aidoc,2.081129980374618e-05
aion,0.00047860583861147605
air,1.3433788635717148e-05
ait,1.3503195307008955e-05
aix,3.0120837928713873e-06
aka,2.864850252283106e-06
alis,6.277512132822092e-05
alx,1.2973479040860266e-05
amb,9.664014245295232e-05
amlt,7.469211808868395e-06
amm,2.483393513669546e-06
amn,1.6891155015491152e-06
amp,3.235793914669834e-05
anc,1.563056998848882e-05
ant,0.00013161908825073964
aoa,0.00034268540915889314
aph,1.0395954922501099e-05
apis,0.00011478645619024977
appc,4.392667173497574e-05
apr,2.561124769170547e-06
ardr,0.0005189978337964681
arg,3.4871422893990953e-06
ark,0.0004644942535929421
arn,0.00014035932957330176
aro,6.53306654540372e-06
ary,6.881267202155773e-06
ast,8.580800234192065e-05
at,6.725436036568196e-05
atb,5.813391223275955e-06
atl,7.219715636811128e-06
atmi,2.1528419597838596e-05
atmos,7.0542189547809196e-06
atn,4.547196857923692e-05
au,2.5739805150070593e-05
aur,2.5013577868288234e-05
auto,0.00011547576676554705
aux,3.7794987274752415e-06
ava,8.540456492962737e-06
b2b,1.9156002928437902e-05
b2c,4.332410325580721e-06
b2x,1.4489476465352663e-05
banca,2.411157903220053e-05
bash,9.468282190352269e-06
bat,0.0009541214095327368
baw,0.00011791977424736537
bax,5.333953027177354e-05
bay,9.152254175808109e-05
bbi,1.7136402416370998e-05
bbn,4.132786569709952e-05
bbo,2.9284840285412033e-06
bbp,2.437947426516063e-06
bbt,3.348555805727654e-06
bca,2.662718863751647e-05
bcd,0.0012539312257545047
bch,0.04129062768644027
bcn,0.0018537592350702868
bco,5.535101333945924e-06
bcpt,3.184838444160691e-05
bcy,1.1375393599999082e-05
bdg,9.219193780820672e-06
berry,1.0148475763137965e-05
betr,8.559114017188129e-06
bez,1.176609197912884e-05
bf,3.910789033075434e-05
bhpc,7.464359532719348e-05
bis,2.8787206820334276e-05
bitcar,5.800639334339664e-06
bitg,4.1077873416496124e-05
bix,0.0002123002647665142
bkbt,2.531444481215572e-05
bkx,2.6485748578757817e-05
blk,3.0488975525964435e-05
block,0.00010935515913657296
blu,8.558638227335043e-06
blue,8.251676467309881e-06
bmc,3.9877598555829275e-05
bmx,1.4953533862977814e-05
bnb,0.005219933422025264
bnd,2.0344746156854776e-06
bnk,0.0001757553073000975
bnt,0.0003541765600539634
bnty,8.073931543337906e-06
bob,1.8710366792411455e-05
bos,0.00011342081083558648
bot,1.6022777868772833e-05
bouts,3.852021605451183e-06
bpl,4.012521390192029e-06
bq,1.2124273185895564e-05
brd,0.00014090876820548157
brdg,2.426248416775804e-06
bria,1.6602334126953366e-06
brk,3.93069769883623e-06
bro,2.8051629669463124e-06
bstn,1.779707859302691e-06
btc,0.5424198648970284
btcp,0.0003101268912072062
btcz,8.443660627721927e-06
btdx,1.907842135393439e-06
btg,0.0017819866597548449
btk,3.1426979531970157e-06
btm,0.0005564399798765786
bto,9.486378620336903e-05
btr,4.514623845100948e-06
