Bitwise Asset Management
Bitwise 10 Large Cap Crypto Index (BITX)
Data as of 07/07/2021 4pm EDT
Index Inception Date: 10/01/2017 8pm EDT
Please read important disclosures below the data.

Date,BITX,% Change
Sun Jan 01 2017 00:00:00 GMT+0000,964,
Mon Jan 02 2017 00:00:00 GMT+0000,995.54,3.27%
Tue Jan 03 2017 00:00:00 GMT+0000,1019.78,2.43%
Wed Jan 04 2017 00:00:00 GMT+0000,1046.8,2.65%
Thu Jan 05 2017 00:00:00 GMT+0000,1163.73,11.17%
Fri Jan 06 2017 00:00:00 GMT+0000,1023.44,-12.06%
Sat Jan 07 2017 00:00:00 GMT+0000,920.34,-10.07%
Sun Jan 08 2017 00:00:00 GMT+0000,921.79,0.16%
Mon Jan 09 2017 00:00:00 GMT+0000,927.93,0.67%
Tue Jan 10 2017 00:00:00 GMT+0000,919.19,-0.94%
Wed Jan 11 2017 00:00:00 GMT+0000,926.91,0.84%
Thu Jan 12 2017 00:00:00 GMT+0000,796.77,-14.04%
Fri Jan 13 2017 00:00:00 GMT+0000,825.16,3.56%
Sat Jan 14 2017 00:00:00 GMT+0000,843.89,2.27%
Sun Jan 15 2017 00:00:00 GMT+0000,838.51,-0.64%
Mon Jan 16 2017 00:00:00 GMT+0000,842.54,0.48%
Tue Jan 17 2017 00:00:00 GMT+0000,849.59,0.84%
Wed Jan 18 2017 00:00:00 GMT+0000,924.09,8.77%
Thu Jan 19 2017 00:00:00 GMT+0000,903.99,-2.18%
Fri Jan 20 2017 00:00:00 GMT+0000,914.67,1.18%
Sat Jan 21 2017 00:00:00 GMT+0000,913.08,-0.17%
Sun Jan 22 2017 00:00:00 GMT+0000,938.29,2.76%
Mon Jan 23 2017 00:00:00 GMT+0000,940.12,0.20%
Tue Jan 24 2017 00:00:00 GMT+0000,926.85,-1.41%
Wed Jan 25 2017 00:00:00 GMT+0000,907.39,-2.10%
Thu Jan 26 2017 00:00:00 GMT+0000,915.25,0.87%
Fri Jan 27 2017 00:00:00 GMT+0000,929.87,1.60%
Sat Jan 28 2017 00:00:00 GMT+0000,930.12,0.03%
Sun Jan 29 2017 00:00:00 GMT+0000,933.08,0.32%
Mon Jan 30 2017 00:00:00 GMT+0000,931.49,-0.17%
Tue Jan 31 2017 00:00:00 GMT+0000,934.35,0.31%
Wed Feb 01 2017 00:00:00 GMT+0000,979.14,4.79%
Thu Feb 02 2017 00:00:00 GMT+0000,996.52,1.78%
Fri Feb 03 2017 00:00:00 GMT+0000,1015.44,1.90%
Sat Feb 04 2017 00:00:00 GMT+0000,1034.66,1.89%
Sun Feb 05 2017 00:00:00 GMT+0000,1046.83,1.18%
Mon Feb 06 2017 00:00:00 GMT+0000,1032.17,-1.40%
Tue Feb 07 2017 00:00:00 GMT+0000,1043.14,1.06%
Wed Feb 08 2017 00:00:00 GMT+0000,1062.1,1.82%
Thu Feb 09 2017 00:00:00 GMT+0000,1063.23,0.11%
Fri Feb 10 2017 00:00:00 GMT+0000,996.78,-6.25%
Sat Feb 11 2017 00:00:00 GMT+0000,991.45,-0.53%
Sun Feb 12 2017 00:00:00 GMT+0000,1005.16,1.38%
Mon Feb 13 2017 00:00:00 GMT+0000,1000.47,-0.47%
Tue Feb 14 2017 00:00:00 GMT+0000,992.7,-0.78%
Wed Feb 15 2017 00:00:00 GMT+0000,1016.78,2.43%
Thu Feb 16 2017 00:00:00 GMT+0000,1018.93,0.21%
Fri Feb 17 2017 00:00:00 GMT+0000,1033.44,1.42%
Sat Feb 18 2017 00:00:00 GMT+0000,1053.04,1.90%
Sun Feb 19 2017 00:00:00 GMT+0000,1057.18,0.39%
Mon Feb 20 2017 00:00:00 GMT+0000,1052.18,-0.47%
Tue Feb 21 2017 00:00:00 GMT+0000,1075.72,2.24%
Wed Feb 22 2017 00:00:00 GMT+0000,1107.47,2.95%
Thu Feb 23 2017 00:00:00 GMT+0000,1108.54,0.10%
Fri Feb 24 2017 00:00:00 GMT+0000,1163.17,4.93%
Sat Feb 25 2017 00:00:00 GMT+0000,1159.77,-0.29%
Sun Feb 26 2017 00:00:00 GMT+0000,1138.38,-1.84%
Mon Feb 27 2017 00:00:00 GMT+0000,1161.17,2.00%
Tue Feb 28 2017 00:00:00 GMT+0000,1184.39,2.00%
Wed Mar 01 2017 00:00:00 GMT+0000,1188.1,0.31%
Thu Mar 02 2017 00:00:00 GMT+0000,1242.24,4.56%
Fri Mar 03 2017 00:00:00 GMT+0000,1274.95,2.63%
Sat Mar 04 2017 00:00:00 GMT+0000,1305.23,2.37%
Sun Mar 05 2017 00:00:00 GMT+0000,1277.53,-2.12%
Mon Mar 06 2017 00:00:00 GMT+0000,1291.99,1.13%
Tue Mar 07 2017 00:00:00 GMT+0000,1301.06,0.70%
Wed Mar 08 2017 00:00:00 GMT+0000,1251.21,-3.83%
Thu Mar 09 2017 00:00:00 GMT+0000,1172.09,-6.32%
Fri Mar 10 2017 00:00:00 GMT+0000,1217.62,3.88%
Sat Mar 11 2017 00:00:00 GMT+0000,1159.48,-4.77%
Sun Mar 12 2017 00:00:00 GMT+0000,1237.78,6.75%
Mon Mar 13 2017 00:00:00 GMT+0000,1292.06,4.39%
Tue Mar 14 2017 00:00:00 GMT+0000,1331.64,3.06%
Wed Mar 15 2017 00:00:00 GMT+0000,1344.39,0.96%
Thu Mar 16 2017 00:00:00 GMT+0000,1391.88,3.53%
Fri Mar 17 2017 00:00:00 GMT+0000,1382.3,-0.69%
Sat Mar 18 2017 00:00:00 GMT+0000,1318.19,-4.64%
Sun Mar 19 2017 00:00:00 GMT+0000,1167.69,-11.42%
Mon Mar 20 2017 00:00:00 GMT+0000,1272.73,9.00%
Tue Mar 21 2017 00:00:00 GMT+0000,1279.53,0.53%
Wed Mar 22 2017 00:00:00 GMT+0000,1330.61,3.99%
Thu Mar 23 2017 00:00:00 GMT+0000,1271.69,-4.43%
Fri Mar 24 2017 00:00:00 GMT+0000,1272.6,0.07%
Sat Mar 25 2017 00:00:00 GMT+0000,1225.9,-3.67%
Sun Mar 26 2017 00:00:00 GMT+0000,1238.76,1.05%
