date,CRIX,future
2018-01-08,57166.86602,15030.0
2018-01-09,56403.97559,14855.0
2018-01-10,51050.86457,14530.0
2018-01-11,55542.84586,13425.0
2018-01-12,57821.91428,13975.0
2018-01-16,40692.53904,11220.0
2018-01-17,42348.09815,11040.0
2018-01-18,42675.47842,11895.0
2018-01-19,47623.77815,11485.0
2018-01-22,39023.13863,10425.0
2018-01-23,40651.45077,11185.0
2018-01-24,40621.42797,11195.0
2018-01-25,39776.82789,11250.0
2018-01-26,41243.26254,10985.0
2018-01-29,41288.77912,11215.0
2018-01-30,36777.1191,9990.0
2018-01-31,37667.68313,10010.0
2018-02-01,33370.50543,9085.0
2018-02-02,31452.83534,8580.0
2018-02-05,24039.06858,7230.0
2018-02-06,27411.28287,7540.0
2018-02-07,26497.8278,8205.0
2018-02-08,28990.84918,8315.0
2018-02-09,31198.67834,8600.0
2018-02-12,32006.79571,8885.0
2018-02-13,30889.20396,8730.0
2018-02-14,34142.12374,9350.0
2018-02-15,35447.94334,10135.0
2018-02-16,35814.37807,10070.0
2018-02-20,36983.0935,11750.0
2018-02-21,36690.59834,10370.0
2018-02-22,32399.78765,10095.0
2018-02-23,33774.23807,9950.0
2018-02-26,33724.08675,10250.0
2018-02-27,34345.64498,10660.0
2018-02-28,33050.14601,10645.0
2018-03-01,34186.74082,11065.0
2018-03-02,34373.0474,11060.0
2018-03-05,34946.61018,11615.0
2018-03-06,32911.62332,10650.0
2018-03-07,30696.70095,9790.0
2018-03-08,28823.83893,9400.0
2018-03-09,28802.07962,9015.0
2018-03-12,28409.14445,8910.0
2018-03-13,28246.69759,9070.0
2018-03-14,25265.76598,8275.0
2018-03-15,25339.2001,8235.0
2018-03-16,25576.65807,8555.0
2018-03-19,25557.1946,8400.0
2018-03-20,26146.83332,8945.0
2018-03-21,26253.72355,8890.0
2018-03-22,25434.69966,8630.0
2018-03-23,25480.90994,8615.0
2018-03-26,23470.5622,7910.0
2018-03-27,22292.8564,7895.0
2018-03-28,22405.46443,7875.0
2018-04-02,19836.73083,6995.0
2018-04-03,21186.73729,7475.0
2018-04-04,19325.09202,6875.0
2018-04-05,19441.45843,6765.0
2018-04-06,18693.65941,6630.0
2018-04-09,19371.72905,6680.0
2018-04-10,19614.47594,6845.0
2018-04-11,20358.72617,6920.0
2018-04-12,22991.21312,7690.0
2018-04-13,22979.6367,8115.0
2018-04-16,23830.16875,7980.0
2018-04-17,23530.92459,7880.0
2018-04-18,24779.08693,8130.0
2018-04-19,26061.92158,8260.0
2018-04-20,27597.5128,8530.0
2018-04-23,28951.205,8860.0
2018-04-24,31671.65866,9475.0
2018-04-25,28205.37682,9010.0
2018-04-26,29977.15552,8905.0
2018-04-27,29147.5142,9095.0
2018-04-30,30253.64684,9365.0
