,UTC_time,bitcoin price,berlin_time,berlin_time_date,berlin_time_hour,berlin_time_min,D
0,2018-05-25 00:31:22.637,7560.11271461999,2018-05-25 01:31:22.637,2018-05-25,1,31,77317.363
1,2018-05-25 01:31:21.861,7534.21453554197,2018-05-25 02:31:21.861,2018-05-25,2,31,73718.139
2,2018-05-25 02:31:21.851,7592.60436845794,2018-05-25 03:31:21.851,2018-05-25,3,31,70118.149
3,2018-05-25 03:26:59.595,7609.41184998372,2018-05-25 04:26:59.595,2018-05-25,4,26,66780.405
4,2018-05-25 03:31:40.564,7611.92150221529,2018-05-25 04:31:40.564,2018-05-25,4,31,66499.436
5,2018-05-25 04:26:22.229,7619.34432847422,2018-05-25 05:26:22.229,2018-05-25,5,26,63217.771
6,2018-05-25 05:26:22.560,7605.9333137987,2018-05-25 06:26:22.560,2018-05-25,6,26,59617.44
7,2018-05-25 06:12:02.636,7636.57666772177,2018-05-25 07:12:02.636,2018-05-25,7,12,56877.364
8,2018-05-25 07:11:47.640,7444.7624507272,2018-05-25 08:11:47.640,2018-05-25,8,11,53292.36
9,2018-05-25 08:11:49.814,7429.09909652486,2018-05-25 09:11:49.814,2018-05-25,9,11,49690.186
10,2018-05-25 08:46:50.232,7458.25591119021,2018-05-25 09:46:50.232,2018-05-25,9,46,47589.768
11,2018-05-25 09:42:59.982,7457.99163220278,2018-05-25 10:42:59.982,2018-05-25,10,42,44220.018
12,2018-05-25 09:46:45.413,7458.12496746297,2018-05-25 10:46:45.413,2018-05-25,10,46,43994.587
13,2018-05-25 10:28:07.523,7448.77921026982,2018-05-25 11:28:07.523,2018-05-25,11,28,41512.477
14,2018-05-25 11:27:46.286,7420.99189746163,2018-05-25 12:27:46.286,2018-05-25,12,27,37933.714
15,2018-05-25 12:27:49.198,7508.55008008912,2018-05-25 13:27:49.198,2018-05-25,13,27,34330.802
16,2018-05-25 13:27:48.161,7494.25336456347,2018-05-25 14:27:48.161,2018-05-25,14,27,30731.839
17,2018-05-25 14:27:47.726,7501.80812936221,2018-05-25 15:27:47.726,2018-05-25,15,27,27132.274
18,2018-05-25 15:27:49.794,7469.08067783889,2018-05-25 16:27:49.794,2018-05-25,16,27,23530.206
19,2018-05-25 16:27:48.264,7497.4881072182,2018-05-25 17:27:48.264,2018-05-25,17,27,19931.736
20,2018-05-25 17:27:50.196,7453.55947636889,2018-05-25 18:27:50.196,2018-05-25,18,27,16329.804
21,2018-05-25 18:27:49.938,7446.01000262959,2018-05-25 19:27:49.938,2018-05-25,19,27,12730.062
22,2018-05-25 19:27:49.750,7420.9990154524,2018-05-25 20:27:49.750,2018-05-25,20,27,9130.25
23,2018-05-25 20:27:48.979,7428.66464311659,2018-05-25 21:27:48.979,2018-05-25,21,27,5531.021
24,2018-05-25 21:27:49.164,7429.81516083838,2018-05-25 22:27:49.164,2018-05-25,22,27,1930.836
25,2018-05-25 22:27:48.723,7430.89861302855,2018-05-25 23:27:48.723,2018-05-25,23,27,1668.723
26,2018-05-25 23:27:49.423,7417.38868328332,2018-05-26 00:27:49.423,2018-05-25,0,27,81130.577
27,2018-05-26 00:27:48.492,7456.91945913424,2018-05-26 01:27:48.492,2018-05-26,1,27,77531.508
28,2018-05-26 01:27:49.109,7444.53301844018,2018-05-26 02:27:49.109,2018-05-26,2,27,73930.891
29,2018-05-26 02:27:51.529,7450.1163278904,2018-05-26 03:27:51.529,2018-05-26,3,27,70328.471
30,2018-05-26 03:27:50.346,7441.71511692649,2018-05-26 04:27:50.346,2018-05-26,4,27,66729.654
31,2018-05-26 04:27:50.881,7414.92200539191,2018-05-26 05:27:50.881,2018-05-26,5,27,63129.119
32,2018-05-26 05:25:44.171,7411.55311907592,2018-05-26 06:25:44.171,2018-05-26,6,25,59655.829
33,2018-05-26 05:29:16.817,7411.26636496961,2018-05-26 06:29:16.817,2018-05-26,6,29,59443.183
34,2018-05-26 06:25:29.286,7434.73422561617,2018-05-26 07:25:29.286,2018-05-26,7,25,56070.714
35,2018-05-26 07:25:28.900,7444.07462251762,2018-05-26 08:25:28.900,2018-05-26,8,25,52471.1
36,2018-05-26 08:25:28.211,7535.57676140786,2018-05-26 09:25:28.211,2018-05-26,9,25,48871.789
37,2018-05-26 09:25:27.803,7525.5794762754,2018-05-26 10:25:27.803,2018-05-26,10,25,45272.197
38,2018-05-26 10:25:27.221,7517.39545588533,2018-05-26 11:25:27.221,2018-05-26,11,25,41672.779
39,2018-05-26 11:25:28.616,7526.95509827974,2018-05-26 12:25:28.616,2018-05-26,12,25,38071.384
40,2018-05-26 12:25:28.076,7491.9422645915,2018-05-26 13:25:28.076,2018-05-26,13,25,34471.924
41,2018-05-26 13:25:28.420,7490.66839866965,2018-05-26 14:25:28.420,2018-05-26,14,25,30871.58
42,2018-05-26 14:25:28.385,7505.62210747315,2018-05-26 15:25:28.385,2018-05-26,15,25,27271.615
43,2018-05-26 15:25:26.255,7508.43232562244,2018-05-26 16:25:26.255,2018-05-26,16,25,23673.745
44,2018-05-26 16:25:27.868,7493.44328985658,2018-05-26 17:25:27.868,2018-05-26,17,25,20072.132
45,2018-05-26 17:25:29.522,7498.32238095295,2018-05-26 18:25:29.522,2018-05-26,18,25,16470.478
46,2018-05-26 18:25:26.896,7512.12243862923,2018-05-26 19:25:26.896,2018-05-26,19,25,12873.104
47,2018-05-26 19:25:26.282,7499.69877273003,2018-05-26 20:25:26.282,2018-05-26,20,25,9273.718
48,2018-05-26 20:25:27.606,7488.37880935308,2018-05-26 21:25:27.606,2018-05-26,21,25,5672.394
49,2018-05-26 21:25:27.816,7520.59108875544,2018-05-26 22:25:27.816,2018-05-26,22,25,2072.184
50,2018-05-26 22:25:42.612,7426.04818805804,2018-05-26 23:25:42.612,2018-05-26,23,25,1542.612
51,2018-05-26 23:25:26.607,7320.86013314297,2018-05-27 00:25:26.607,2018-05-26,0,25,81273.393
52,2018-05-27 00:25:27.127,7305.90775139002,2018-05-27 01:25:27.127,2018-05-27,1,25,77672.873
53,2018-05-27 01:25:26.444,7280.45170407892,2018-05-27 02:25:26.444,2018-05-27,2,25,74073.556
54,2018-05-27 02:25:26.401,7308.01234802906,2018-05-27 03:25:26.401,2018-05-27,3,25,70473.599
55,2018-05-27 02:32:01.454,7310.43012050291,2018-05-27 03:32:01.454,2018-05-27,3,32,70078.546
56,2018-05-27 03:31:41.554,7284.780512972,2018-05-27 04:31:41.554,2018-05-27,4,31,66498.446
57,2018-05-27 03:58:39.408,7293.88969760446,2018-05-27 04:58:39.408,2018-05-27,4,58,64880.592
58,2018-05-27 04:58:22.615,7300.87624154074,2018-05-27 05:58:22.615,2018-05-27,5,58,61297.385
59,2018-05-27 05:58:23.338,7275.08335853973,2018-05-27 06:58:23.338,2018-05-27,6,58,57696.662
60,2018-05-27 06:58:23.953,7291.23047541955,2018-05-27 07:58:23.953,2018-05-27,7,58,54096.047
61,2018-05-27 07:58:24.972,7307.28753304784,2018-05-27 08:58:24.972,2018-05-27,8,58,50495.028
62,2018-05-27 08:58:23.705,7292.73709403594,2018-05-27 09:58:23.705,2018-05-27,9,58,46896.295
63,2018-05-27 09:58:23.591,7313.11797773068,2018-05-27 10:58:23.591,2018-05-27,10,58,43296.409
64,2018-05-27 10:58:25.256,7312.93140201244,2018-05-27 11:58:25.256,2018-05-27,11,58,39694.744
65,2018-05-27 11:58:24.850,7329.39509497714,2018-05-27 12:58:24.850,2018-05-27,12,58,36095.15
66,2018-05-27 12:58:23.189,7297.02202355985,2018-05-27 13:58:23.189,2018-05-27,13,58,32496.811
67,2018-05-27 13:58:24.342,7297.34140610378,2018-05-27 14:58:24.342,2018-05-27,14,58,28895.658
68,2018-05-27 14:58:23.915,7326.2147418771,2018-05-27 15:58:23.915,2018-05-27,15,58,25296.085
69,2018-05-27 15:58:24.511,7330.88464406052,2018-05-27 16:58:24.511,2018-05-27,16,58,21695.489
70,2018-05-27 16:58:27.066,7340.95726175226,2018-05-27 17:58:27.066,2018-05-27,17,58,18092.934
71,2018-05-27 17:58:24.045,7342.04935154225,2018-05-27 18:58:24.045,2018-05-27,18,58,14495.955
72,2018-05-27 18:58:25.156,7293.81256112215,2018-05-27 19:58:25.156,2018-05-27,19,58,10894.844
73,2018-05-27 19:58:25.020,7292.5980087871,2018-05-27 20:58:25.020,2018-05-27,20,58,7294.98
74,2018-05-27 20:58:25.780,7310.29895788889,2018-05-27 21:58:25.780,2018-05-27,21,58,3694.22
75,2018-05-27 21:58:24.583,7313.49170137117,2018-05-27 22:58:24.583,2018-05-27,22,58,95.417
76,2018-05-27 22:58:24.295,7326.01699517041,2018-05-27 23:58:24.295,2018-05-27,23,58,3504.295
77,2018-05-27 23:58:24.026,7326.64394017867,2018-05-28 00:58:24.026,2018-05-27,0,58,79295.974
78,2018-05-28 00:58:25.586,7357.4147848487,2018-05-28 01:58:25.586,2018-05-28,1,58,75694.414
79,2018-05-28 01:45:01.876,7336.43143035615,2018-05-28 02:45:01.876,2018-05-28,2,45,72898.124
80,2018-05-28 02:44:31.589,7351.42178649013,2018-05-28 03:44:31.589,2018-05-28,3,44,69328.411
81,2018-05-28 03:44:32.029,7366.2087497934,2018-05-28 04:44:32.029,2018-05-28,4,44,65727.971
82,2018-05-28 04:44:34.184,7366.01525851669,2018-05-28 05:44:34.184,2018-05-28,5,44,62125.816
83,2018-05-28 05:44:34.808,7267.39149367577,2018-05-28 06:44:34.808,2018-05-28,6,44,58525.192
84,2018-05-28 06:44:32.686,7223.79068793493,2018-05-28 07:44:32.686,2018-05-28,7,44,54927.314
85,2018-05-28 07:44:32.016,7243.39219335705,2018-05-28 08:44:32.016,2018-05-28,8,44,51327.984
86,2018-05-28 08:14:01.332,7251.18632931614,2018-05-28 09:14:01.332,2018-05-28,9,14,49558.668
87,2018-05-28 08:50:35.840,7251.2119090401,2018-05-28 09:50:35.840,2018-05-28,9,50,47364.16
88,2018-05-28 09:50:17.671,7254.67346090686,2018-05-28 10:50:17.671,2018-05-28,10,50,43782.329
89,2018-05-28 10:50:19.491,7249.84359463187,2018-05-28 11:50:19.491,2018-05-28,11,50,40180.509
90,2018-05-28 11:50:20.892,7227.80406118138,2018-05-28 12:50:20.892,2018-05-28,12,50,36579.108
91,2018-05-28 12:50:18.845,7271.09999709435,2018-05-28 13:50:18.845,2018-05-28,13,50,32981.155
92,2018-05-28 13:50:20.103,7267.52999376441,2018-05-28 14:50:20.103,2018-05-28,14,50,29379.897
93,2018-05-28 14:50:18.722,7275.22700010844,2018-05-28 15:50:18.722,2018-05-28,15,50,25781.278
94,2018-05-28 14:59:49.175,7258.92080378898,2018-05-28 15:59:49.175,2018-05-28,15,59,25210.825
95,2018-05-28 15:59:14.546,7244.48695137229,2018-05-28 16:59:14.546,2018-05-28,16,59,21645.454
96,2018-05-28 16:59:15.446,7233.93899912926,2018-05-28 17:59:15.446,2018-05-28,17,59,18044.554
97,2018-05-28 17:59:14.431,7233.82273084491,2018-05-28 18:59:14.431,2018-05-28,18,59,14445.569
