,Date,PX_LAST,contract_name
0,2021-05-27 20:00:00+00:00,38865,BTCM1 Curncy
1,2021-05-26 20:00:00+00:00,38610,BTCM1 Curncy
2,2021-05-25 20:00:00+00:00,37370,BTCM1 Curncy
3,2021-05-24 20:00:00+00:00,39770,BTCM1 Curncy
4,2021-05-21 20:00:00+00:00,36190,BTCM1 Curncy
5,2021-05-20 20:00:00+00:00,40350,BTCM1 Curncy
6,2021-05-19 20:00:00+00:00,39500,BTCM1 Curncy
7,2021-05-18 20:00:00+00:00,43240,BTCM1 Curncy
8,2021-05-17 20:00:00+00:00,44100,BTCM1 Curncy
9,2021-05-14 20:00:00+00:00,50305,BTCM1 Curncy
10,2021-05-13 20:00:00+00:00,48485,BTCM1 Curncy
11,2021-05-12 20:00:00+00:00,54645,BTCM1 Curncy
12,2021-05-11 20:00:00+00:00,57010,BTCM1 Curncy
13,2021-05-10 20:00:00+00:00,55940,BTCM1 Curncy
14,2021-05-07 20:00:00+00:00,57990,BTCM1 Curncy
15,2021-05-06 20:00:00+00:00,56480,BTCM1 Curncy
16,2021-05-05 20:00:00+00:00,57575,BTCM1 Curncy
17,2021-05-04 20:00:00+00:00,54745,BTCM1 Curncy
18,2021-05-03 20:00:00+00:00,58095,BTCM1 Curncy
19,2021-04-30 20:00:00+00:00,57545,BTCM1 Curncy
20,2021-04-29 20:00:00+00:00,53010,BTCK1 Curncy
21,2021-04-28 20:00:00+00:00,55695,BTCK1 Curncy
22,2021-04-27 20:00:00+00:00,54975,BTCK1 Curncy
23,2021-04-26 20:00:00+00:00,54325,BTCK1 Curncy
24,2021-04-23 20:00:00+00:00,51045,BTCK1 Curncy
25,2021-04-22 20:00:00+00:00,53065,BTCK1 Curncy
26,2021-04-21 20:00:00+00:00,55970,BTCK1 Curncy
27,2021-04-20 20:00:00+00:00,57080,BTCK1 Curncy
28,2021-04-19 20:00:00+00:00,56535,BTCK1 Curncy
29,2021-04-16 20:00:00+00:00,62380,BTCK1 Curncy
30,2021-04-15 20:00:00+00:00,64305,BTCK1 Curncy
31,2021-04-14 20:00:00+00:00,62885,BTCK1 Curncy
32,2021-04-13 20:00:00+00:00,64135,BTCK1 Curncy
33,2021-04-12 20:00:00+00:00,61000,BTCK1 Curncy
34,2021-04-09 20:00:00+00:00,59145,BTCK1 Curncy
35,2021-04-08 20:00:00+00:00,58545,BTCK1 Curncy
36,2021-04-07 20:00:00+00:00,56670,BTCK1 Curncy
37,2021-04-06 20:00:00+00:00,59270,BTCK1 Curncy
38,2021-04-05 20:00:00+00:00,60430,BTCK1 Curncy
39,2021-04-02 20:00:00+00:00,60130,BTCK1 Curncy
40,2021-04-01 20:00:00+00:00,60130,BTCK1 Curncy
41,2021-03-31 20:00:00+00:00,59900,BTCK1 Curncy
42,2021-03-30 20:00:00+00:00,60215,BTCK1 Curncy
43,2021-03-29 20:00:00+00:00,58695,BTCK1 Curncy
44,2021-03-26 20:00:00+00:00,54645,BTCK1 Curncy
