SP,SPF
0,0
0.003670121,0.003173437
0.002478084,0.002249887
-0.000334827,0
0.00152472,0.001378775
-0.001543861,-0.001244535
0,-0.000249336
0.001227129,0.001321763
-0.000932455,-0.001379322
0.000802643,0.00174258
0,0
-0.001290686,-0.001876915
0.000765314,0.000747908
-0.001570348,-0.000959089
0.001459461,0.000824944
-0.00116986,-0.000748139
0.002841627,0.002412434
0.003471764,0.003669447
-0.000319456,3.79E-05
-0.000376465,-0.00094758
-0.002617778,-0.002492508
-0.000386694,-0.000286317
0.000129571,0
0.000247602,0.000171813
0.003143673,0.002967335
-0.000919687,-0.000853883
9.85E-05,0.000360733
0.000301031,0.000341471
0.002491104,0.002665609
0.001545965,0.001580281
0.002272305,0.00254642
0.001736871,0.001992992
0.002162753,0.002483066
-0.000375439,-0.000887825
0.000728388,0.000425643
0,0
0.002618736,0.002232407
-0.000470282,0.000165589
0.000181927,0.00034937
0.000648071,0.000385819
0.000441896,0.000623934
-0.001121201,-0.001009753
0.005898232,0.00560647
-0.002552392,-0.002109907
0.00021874,-0.000127651
-0.001425614,-0.001059122
-0.001267078,-0.001648595
-0.000993173,-0.000422314
0.000347226,0.000403961
0.001417254,0.001008261
0.000159221,0.000585549
-0.001469974,-0.001575457
0.003621953,0.00316344
-0.000707023,-0.000182232
-0.000571196,-0.00136918
-0.000873759,-0.000896868
-0.005422434,-0.00517934
0.000820005,7.42E-05
-0.000460715,-0.000482282
-0.000366701,0.000889948
-0.000443047,-0.001187003
0.003137915,0.002407712
0.000471129,0.001033069
0.001272803,0.001398103
-0.000980444,-0.000992926
-0.000713774,-0.00057104
0.000242962,9.22E-05
-0.001328747,-0.001846807
0.000837161,0.001312041
-0.000359376,-0.000276862
0.000298579,5.54E-05
-0.000623194,-0.000258531
-0.001635985,-0.001906793
-0.002969718,-0.002493279
0,0
0.003724701,0.003271817
-0.001262743,-0.001428388
-0.000746038,-0.000669433
0.003269707,0.003410756
-0.001320093,-0.000868682
0.004682456,0.004161246
0.002637092,0.002740037
-0.000210961,-0.000510163
0.000240051,0.00071042
-0.000831653,-0.001020455
0.00075165,0.001166039
0.000516119,-0.00020019
-0.000552489,-0.000473544
0.000252706,0.000418931
0.001772074,0.002215422
1.63E-05,-0.000489326
-0.000445495,-0.000308377
0.000490744,0.000362774
-0.000940324,-0.000762175
-0.000642547,-0.00043613
0.002069445,0.001760006
-0.000298392,-0.000235464
-0.007967355,-0.00723445
0.001598231,0.00112228
0.002929186,0.003276605
0.002235247,0.002037664
0.000797463,0.000960929
0.001079676,0.000705743
0.00192481,0.002074386
0.000134849,7.20E-05
0,0
-0.000523449,-0.000558115
-0.000199832,7.21E-05
0.003275706,0.003319556
0.001607268,0.001445478
-0.000529153,-0.000570478
-0.001208598,-0.000660551
0.000680585,0.000196485
0.000116004,0.000107136
-0.000360606,-0.000357224
-0.000425257,-0.000357518
0.001954879,0.002051719
-0.000432668,-0.000498657
-0.000973743,-0.00051707
0.000123176,-0.00058914
0.003610099,0.002937742
-0.002918106,-0.001778076
-0.000253127,-0.000695428
-0.00019797,-0.000321343
0.00067736,0.000553276
0.000137126,0.000196154
-0.003520178,-0.002754255
0.003808536,0.003181921
-0.003751097,-0.003289584
0.000665371,0.000161484
0.001002407,0.000734893
0,0
0.000630688,0.000536939
-0.004088001,-0.003520064
0.002771989,0.002553094
0.000402737,0.000358388
-0.000340064,-1.79E-05
0.003161257,0.002785436
0.000813346,0.000977801
0.002024959,0.001860619
-2.30E-05,0.000441832
0.000259531,-0.000141337
0.002327067,0.002396502
-6.67E-05,-3.51E-05
-0.000159809,-0.000316451
-0.000462198,-0.000175906
0.001267671,0.001001712
0.000122708,-0.000140452
-0.000422611,-0.0002459
-0.000582861,-0.000281199
-0.000316336,-0.000404543
0.001062328,0.000756013
0.000213907,0.000210746
-0.000949358,-0.000316157
0.000819624,7.03E-05
0.00071481,0.000930099
