,Date,rh,rs,rf,h,copula
0,2021-05-27 20:00:00+00:00,0.001394987984611691,0.0075316419209436,0.006582792406038,0.9322265625,t_Copula
1,2021-05-26 20:00:00+00:00,0.0006701363567945019,0.0311008702894088,0.0326430667787524,0.9322265625,t_Copula
2,2021-05-25 20:00:00+00:00,-0.0026506517765938833,-0.06067673592544,-0.0622446157222066,0.9322265625,t_Copula
3,2021-05-24 20:00:00+00:00,0.005497891513197864,0.0934348433308863,0.0943300216439482,0.9322265625,t_Copula
4,2021-05-21 20:00:00+00:00,-0.004351122747456054,-0.105785349940949,-0.1088085571403067,0.9322265625,t_Copula
0,2021-05-20 20:00:00+00:00,-0.0015848231189270652,0.0186579969267048,0.0212907228088815,0.95078125,t_Copula
1,2021-05-19 20:00:00+00:00,-0.0074636790664386055,-0.0934764099190983,-0.0904653208639313,0.95078125,t_Copula
2,2021-05-18 20:00:00+00:00,-0.0028878467157489353,-0.0216123326866409,-0.0196937896817927,0.95078125,t_Copula
3,2021-05-17 20:00:00+00:00,-0.0011212304730759404,-0.1262865365163627,-0.1316446932912137,0.95078125,t_Copula
4,2021-05-14 20:00:00+00:00,-0.0022097911484590185,0.0328265017052854,0.0368500039875044,0.95078125,t_Copula
0,2021-05-13 20:00:00+00:00,-0.002187092501216764,-0.1156700174492234,-0.1196032473721272,0.948828125,t_Copula
1,2021-05-12 20:00:00+00:00,0.0013767745527558037,-0.0388240976273924,-0.0423689719148536,0.948828125,t_Copula
2,2021-05-11 20:00:00+00:00,-0.0016355471340898133,0.0163419024526464,0.0189470032696767,0.948828125,t_Copula
3,2021-05-10 20:00:00+00:00,0.0009987851337597484,-0.0331503874460086,-0.0359908941145356,0.948828125,t_Copula
4,2021-05-07 20:00:00+00:00,0.0002264907935878753,0.0252603613250205,0.0263839887033625,0.948828125,t_Copula
0,2021-05-06 20:00:00+00:00,0.0007868431896220357,-0.017351781755984,-0.0192018525217622,0.9446289062500002,t_Copula
1,2021-05-05 20:00:00+00:00,-0.0009220899706057842,0.046689479097158,0.0504024053813606,0.9446289062500002,t_Copula
2,2021-05-04 20:00:00+00:00,0.002186994053176905,-0.0539178808048488,-0.0593935613094369,0.9446289062500002,t_Copula
3,2021-05-03 20:00:00+00:00,0.0004770795811712431,0.0094627215046681,0.0095123512143707,0.9446289062500002,t_Copula
4,2021-04-30 20:00:00+00:00,-0.0017978488439836099,0.0757435975764084,0.0820866754207396,0.9446289062500002,t_Copula
0,2021-04-29 20:00:00+00:00,-0.0003222819554194248,-0.047242292484354,-0.0494098012974383,0.949609375,t_Copula
1,2021-04-28 20:00:00+00:00,-0.0008398597408668107,0.0115163053727011,0.0130118398563282,0.949609375,t_Copula
2,2021-04-27 20:00:00+00:00,0.0023281480132214608,0.0136228116988636,0.0118940102983315,0.949609375,t_Copula
3,2021-04-26 20:00:00+00:00,0.0008750510519896643,0.0600138071718341,0.0622769295215145,0.949609375,t_Copula
4,2021-04-23 20:00:00+00:00,-0.0019446684612798165,-0.0387989898757774,-0.038809980592807,0.949609375,t_Copula
0,2021-04-22 20:00:00+00:00,0.0032504460918436964,-0.0474661753376794,-0.0532982556894824,0.9515625,t_Copula
1,2021-04-21 20:00:00+00:00,-0.0017587151026085338,-0.0204454611347472,-0.0196379597053674,0.9515625,t_Copula
2,2021-04-20 20:00:00+00:00,0.0033066331068588844,0.0124358069003733,0.0095938772214273,0.9515625,t_Copula
3,2021-04-19 20:00:00+00:00,-0.0053241406233912325,-0.0989434228696432,-0.0983847957924487,0.9515625,t_Copula
4,2021-04-16 20:00:00+00:00,0.002096257767470692,-0.0268242744526563,-0.0303926775383929,0.9515625,t_Copula
0,2021-04-15 20:00:00+00:00,0.0002321296133605752,0.0204073870576528,0.0223297272189313,0.903515625,t_Copula
1,2021-04-14 20:00:00+00:00,0.004115955622240548,-0.0136675586588078,-0.0196825752526951,0.903515625,t_Copula
2,2021-04-13 20:00:00+00:00,0.0024937751736584662,0.0477747008666572,0.0501163725785027,0.903515625,t_Copula
3,2021-04-12 20:00:00+00:00,0.0006837083732259136,0.0285859045881432,0.030881808175611,0.903515625,t_Copula
4,2021-04-09 20:00:00+00:00,0.0016291251304650367,0.0108417017594452,0.0101963666970122,0.903515625,t_Copula
0,2021-04-08 20:00:00+00:00,-0.002601407025538356,0.0280992614561851,0.0325507191191601,0.9431640625,t_Copula
1,2021-04-07 20:00:00+00:00,0.005779008308940015,-0.0365297334548058,-0.0448583056182188,0.9431640625,t_Copula
2,2021-04-06 20:00:00+00:00,0.005052429464300694,-0.0132283485428273,-0.0193823945737203,0.9431640625,t_Copula
3,2021-04-05 20:00:00+00:00,-0.0020750494850427753,0.0026188755774354,0.0049767853219897,0.9431640625,t_Copula
4,2021-04-02 20:00:00+00:00,-0.0011435816484278,-0.0011435816484278,0.0,0.9431640625,t_Copula
0,2021-04-01 20:00:00+00:00,0.0022295008287187895,0.0059106813943638,0.0038323799300737,0.960546875,t_Copula
1,2021-03-31 20:00:00+00:00,-0.0035027514484619804,-0.008540805967355,-0.0052449855910395,0.960546875,t_Copula
2,2021-03-30 20:00:00+00:00,-0.0006636986700783269,0.0238945517804037,0.0255669463819577,0.960546875,t_Copula
3,2021-03-29 20:00:00+00:00,0.0011151912416727805,0.0697912432617298,0.0714968252018487,0.960546875,t_Copula
4,2021-03-26 20:00:00+00:00,-0.010173414617653646,0.0300309592313597,0.0418557125064962,0.960546875,t_Copula
0,2021-03-25 20:00:00+00:00,-0.0018915806359870516,-0.0474419456498406,-0.0479674761149589,0.949609375,t_Copula
1,2021-03-24 20:00:00+00:00,-0.0004175792044074575,-0.0049836389770488,-0.0048083558280386,0.949609375,t_Copula
2,2021-03-23 20:00:00+00:00,0.003975032675570058,-0.0095928748786552,-0.0142878829036679,0.949609375,t_Copula
3,2021-03-22 20:00:00+00:00,0.002641238587505375,-0.0577551058158179,-0.0636012512021833,0.949609375,t_Copula
4,2021-03-19 20:00:00+00:00,-0.0003806871588051472,0.0265523851323487,0.0283622645270892,0.949609375,t_Copula
0,2021-03-18 20:00:00+00:00,0.0009693184176662283,-0.0097553188684014,-0.011305361932194,0.9486328125,t_Copula
1,2021-03-17 20:00:00+00:00,0.0029154178375122713,0.0373850367672224,0.0363361023100918,0.9486328125,t_Copula
2,2021-03-16 20:00:00+00:00,0.0022499690324948116,-0.0151002637069071,-0.0182897244442532,0.9486328125,t_Copula
