,file,risk measure,OHR,copula
0,0.csv,ERM k=10,0.968359375,Gaussian
1,0.csv,ERM k=10,0.96328125,t_Copula
2,0.csv,ERM k=10,0.96640625,t_Copula_Capped
3,0.csv,ERM k=10,0.9765625,Clayton
4,0.csv,ERM k=10,0.6655273437499997,Frank
5,0.csv,ERM k=10,0.9890625,Gumbel
6,0.csv,ERM k=10,0.9626953125,Plackett
7,0.csv,ERM k=10,0.9631835937499998,Gauss Mix Indep
8,0.csv,ERM k=10,0.953515625,rotGumbel
9,0.csv,ERM k=10,0.9599864212985602,NIG
10,0.csv,ES q=0.01,1.0319335937499998,Gaussian
11,0.csv,ES q=0.01,1.030859375,t_Copula
12,0.csv,ES q=0.01,1.03828125,t_Copula_Capped
13,0.csv,ES q=0.01,0.8772460937499998,Clayton
14,0.csv,ES q=0.01,0.7606445312499998,Frank
15,0.csv,ES q=0.01,1.09267578125,Gumbel
16,0.csv,ES q=0.01,1.00302734375,Plackett
17,0.csv,ES q=0.01,0.9177734375,Gauss Mix Indep
18,0.csv,ES q=0.01,0.9509765625,rotGumbel
19,0.csv,ES q=0.01,0.99135259729197,NIG
20,0.csv,ES q=0.05,0.984375,Gaussian
21,0.csv,ES q=0.05,0.97744140625,t_Copula
22,0.csv,ES q=0.05,0.98154296875,t_Copula_Capped
23,0.csv,ES q=0.05,0.9703125,Clayton
24,0.csv,ES q=0.05,0.6159179687499996,Frank
25,0.csv,ES q=0.05,1.0099609374999998,Gumbel
26,0.csv,ES q=0.05,0.969921875,Plackett
27,0.csv,ES q=0.05,0.9736328125,Gauss Mix Indep
28,0.csv,ES q=0.05,0.95361328125,rotGumbel
29,0.csv,ES q=0.05,0.9585486076180304,NIG
30,0.csv,VaR q=0.01,0.980859375,Gaussian
31,0.csv,VaR q=0.01,1.0543945312499998,t_Copula
32,0.csv,VaR q=0.01,0.97880859375,t_Copula_Capped
33,0.csv,VaR q=0.01,1.0455078125,Clayton
34,0.csv,VaR q=0.01,0.6912109374999997,Frank
35,0.csv,VaR q=0.01,1.0598632812499995,Gumbel
36,0.csv,VaR q=0.01,1.00546875,Plackett
37,0.csv,VaR q=0.01,1.0302734375000002,Gauss Mix Indep
38,0.csv,VaR q=0.01,0.92109375,rotGumbel
39,0.csv,VaR q=0.01,1.0130591034766456,NIG
40,0.csv,VaR q=0.05,0.9498046875,Gaussian
41,0.csv,VaR q=0.05,0.9601562499999998,t_Copula
42,0.csv,VaR q=0.05,0.9533203125,t_Copula_Capped
43,0.csv,VaR q=0.05,1.01328125,Clayton
44,0.csv,VaR q=0.05,0.5141601562499996,Frank
45,0.csv,VaR q=0.05,0.9605468749999998,Gumbel
46,0.csv,VaR q=0.05,0.961328125,Plackett
47,0.csv,VaR q=0.05,0.9677734375,Gauss Mix Indep
48,0.csv,VaR q=0.05,0.97060546875,rotGumbel
49,0.csv,VaR q=0.05,0.9443553971918672,NIG
50,0.csv,Variance,0.9822265625,Gaussian
51,0.csv,Variance,0.9689453125,t_Copula
52,0.csv,Variance,0.9775390625,t_Copula_Capped
53,0.csv,Variance,0.9904296875,Clayton
54,0.csv,Variance,0.7499023437499998,Frank
55,0.csv,Variance,0.9798828125,Gumbel
56,0.csv,Variance,0.9732421875,Plackett
57,0.csv,Variance,0.9466796875,Gauss Mix Indep
58,0.csv,Variance,0.985546875,rotGumbel
59,0.csv,Variance,0.9439602508626472,NIG
60,1.csv,ERM k=10,0.95361328125,Gaussian
61,1.csv,ERM k=10,0.9458984375,t_Copula
62,1.csv,ERM k=10,0.94990234375,t_Copula_Capped
63,1.csv,ERM k=10,0.954296875,Clayton
64,1.csv,ERM k=10,0.6432617187499997,Frank
65,1.csv,ERM k=10,0.97060546875,Gumbel
66,1.csv,ERM k=10,0.95087890625,Plackett
67,1.csv,ERM k=10,0.9474609374999998,Gauss Mix Indep
68,1.csv,ERM k=10,0.9369140625,rotGumbel
69,1.csv,ERM k=10,0.9480351925466508,NIG
70,1.csv,ES q=0.01,0.96103515625,Gaussian
