,Date,rh,rs,rf,h,copula
0,2021-05-27 20:00:00+00:00,0.0032093311943646894,0.0093466279815175,0.006582792406038,0.93232421875,t_Copula
1,2021-05-26 20:00:00+00:00,0.021660070111463786,0.0520939918435682,0.0326430667787524,0.93232421875,t_Copula
2,2021-05-25 20:00:00+00:00,0.00026809212576234254,-0.0577640705988379,-0.0622446157222066,0.93232421875,t_Copula
3,2021-05-24 20:00:00+00:00,0.010842460907980897,0.0987886246418455,0.0943300216439482,0.93232421875,t_Copula
4,2021-05-21 20:00:00+00:00,-0.03126095343526053,-0.1327058064644117,-0.1088085571403067,0.93232421875,t_Copula
0,2021-05-20 20:00:00+00:00,0.014549634810776878,0.034773742307065,0.0212907228088815,0.94990234375,t_Copula
1,2021-05-19 20:00:00+00:00,-0.07560757571580819,-0.1615407960325523,-0.0904653208639313,0.94990234375,t_Copula
2,2021-05-18 20:00:00+00:00,0.011112948783854153,-0.0075942281922003,-0.0196937896817927,0.94990234375,t_Copula
3,2021-05-17 20:00:00+00:00,-0.0178331578761442,-0.142882760575718,-0.1316446932912137,0.94990234375,t_Copula
4,2021-05-14 20:00:00+00:00,0.024468531053206025,0.0594724362081333,0.0368500039875044,0.94990234375,t_Copula
0,2021-05-13 20:00:00+00:00,-0.004574602899546171,-0.1183612079678336,-0.1196032473721272,0.9513671875,t_Copula
1,2021-05-12 20:00:00+00:00,0.014612176550403665,-0.0256962730974971,-0.0423689719148536,0.9513671875,t_Copula
2,2021-05-11 20:00:00+00:00,0.0037804627896916715,0.0218060200019173,0.0189470032696767,0.9513671875,t_Copula
3,2021-05-10 20:00:00+00:00,0.04501919928687194,0.0107786435775159,-0.0359908941145356,0.9513671875,t_Copula
4,2021-05-07 20:00:00+00:00,-0.007426761638708555,0.0176740994890412,0.0263839887033625,0.9513671875,t_Copula
0,2021-05-06 20:00:00+00:00,0.00914645481855141,-0.0089377898806551,-0.0192018525217622,0.941796875,t_Copula
1,2021-05-05 20:00:00+00:00,-0.0021529367315124906,0.0453158911491361,0.0504024053813606,0.941796875,t_Copula
2,2021-05-04 20:00:00+00:00,0.027977746078831075,-0.0279589243575175,-0.0593935613094369,0.941796875,t_Copula
3,2021-05-03 20:00:00+00:00,0.04090530650197442,0.0498640091495712,0.0095123512143707,0.941796875,t_Copula
4,2021-04-30 20:00:00+00:00,-0.01385467810978136,0.0634542962806105,0.0820866754207396,0.941796875,t_Copula
0,2021-04-29 20:00:00+00:00,0.009592349315216082,-0.037274584278731,-0.0494098012974383,0.94853515625,t_Copula
1,2021-04-28 20:00:00+00:00,0.0067389452422672545,0.0190811327934895,0.0130118398563282,0.94853515625,t_Copula
2,2021-04-27 20:00:00+00:00,0.011798181090017823,0.0230800680067848,0.0118940102983315,0.94853515625,t_Copula
3,2021-04-26 20:00:00+00:00,-0.001420651665970489,0.0576512054084895,0.0622769295215145,0.94853515625,t_Copula
4,2021-04-23 20:00:00+00:00,-0.010901964131773745,-0.0477145951374314,-0.038809980592807,0.94853515625,t_Copula
0,2021-04-22 20:00:00+00:00,0.022794518530721904,-0.0278336194665042,-0.0532982556894824,0.94990234375,t_Copula
1,2021-04-21 20:00:00+00:00,0.012878999357033453,-0.0057751445935631,-0.0196379597053674,0.94990234375,t_Copula
2,2021-04-20 20:00:00+00:00,0.011210913074012768,0.0203241595322963,0.0095938772214273,0.94990234375,t_Copula
