,Date,rh,rs,rf,h,copula
0,2021-05-27 20:00:00+00:00,0.0030531184448854675,0.0093466279815175,0.006582792406038,0.9560546875,t_Copula
1,2021-05-26 20:00:00+00:00,0.02088543483536644,0.0520939918435682,0.0326430667787524,0.9560546875,t_Copula
2,2021-05-25 20:00:00+00:00,0.0017451860340139264,-0.0577640705988379,-0.0622446157222066,0.9560546875,t_Copula
3,2021-05-24 20:00:00+00:00,0.00860396527717236,0.0987886246418455,0.0943300216439482,0.9560546875,t_Copula
4,2021-05-21 20:00:00+00:00,-0.0286788753703099,-0.1327058064644117,-0.1088085571403067,0.9560546875,t_Copula
0,2021-05-20 20:00:00+00:00,0.01497378592923507,0.034773742307065,0.0212907228088815,0.9299804687499998,t_Copula
1,2021-05-19 20:00:00+00:00,-0.07740981452989433,-0.1615407960325523,-0.0904653208639313,0.9299804687499998,t_Copula
2,2021-05-18 20:00:00+00:00,0.010720611567537185,-0.0075942281922003,-0.0196937896817927,0.9299804687499998,t_Copula
3,2021-05-17 20:00:00+00:00,-0.020455767000305117,-0.142882760575718,-0.1316446932912137,0.9299804687499998,t_Copula
4,2021-05-14 20:00:00+00:00,0.025202652226394597,0.0594724362081333,0.0368500039875044,0.9299804687499998,t_Copula
0,2021-05-13 20:00:00+00:00,-0.0057776433760431956,-0.1183612079678336,-0.1196032473721272,0.9413085937499998,Gauss Mix Indep
1,2021-05-12 20:00:00+00:00,0.014186004274306975,-0.0256962730974971,-0.0423689719148536,0.9413085937499998,Gauss Mix Indep
2,2021-05-11 20:00:00+00:00,0.003971042998361277,0.0218060200019173,0.0189470032696767,0.9413085937499998,Gauss Mix Indep
3,2021-05-10 20:00:00+00:00,0.04465718150427455,0.0107786435775159,-0.0359908941145356,0.9413085937499998,Gauss Mix Indep
4,2021-05-07 20:00:00+00:00,-0.007161375814836838,0.0176740994890412,0.0263839887033625,0.9413085937499998,Gauss Mix Indep
0,2021-05-06 20:00:00+00:00,0.00984777247901421,-0.0089377898806551,-0.0192018525217622,0.9783203125,t_Copula
1,2021-05-05 20:00:00+00:00,-0.003993805834308278,0.0453158911491361,0.0504024053813606,0.9783203125,t_Copula
2,2021-05-04 20:00:00+00:00,0.030147003103218713,-0.0279589243575175,-0.0593935613094369,0.9783203125,t_Copula
3,2021-05-03 20:00:00+00:00,0.04055788273691831,0.0498640091495712,0.0095123512143707,0.9783203125,t_Copula
4,2021-04-30 20:00:00+00:00,-0.016852765669093522,0.0634542962806105,0.0820866754207396,0.9783203125,t_Copula
0,2021-04-29 20:00:00+00:00,0.011860181991953975,-0.037274584278731,-0.0494098012974383,0.99443359375,t_Copula
1,2021-04-28 20:00:00+00:00,0.006141722123861566,0.0190811327934895,0.0130118398563282,0.99443359375,t_Copula
2,2021-04-27 20:00:00+00:00,0.011252264601715498,0.0230800680067848,0.0118940102983315,0.99443359375,t_Copula
3,2021-04-26 20:00:00+00:00,-0.004279065423305625,0.0576512054084895,0.0622769295215145,0.99443359375,t_Copula
4,2021-04-23 20:00:00+00:00,-0.00912064666315858,-0.0477145951374314,-0.038809980592807,0.99443359375,t_Copula
0,2021-04-22 20:00:00+00:00,0.02252386332604875,-0.0278336194665042,-0.0532982556894824,0.94482421875,Gauss Mix Indep
1,2021-04-21 20:00:00+00:00,0.012779275342904631,-0.0057751445935631,-0.0196379597053674,0.94482421875,Gauss Mix Indep
2,2021-04-20 20:00:00+00:00,0.011259631981777828,0.0203241595322963,0.0095938772214273,0.94482421875,Gauss Mix Indep
3,2021-04-19 20:00:00+00:00,-0.00922197401633977,-0.1021783118378184,-0.0983847957924487,0.94482421875,Gauss Mix Indep
4,2021-04-16 20:00:00+00:00,0.008156263610174245,-0.0205594742007585,-0.0303926775383929,0.94482421875,Gauss Mix Indep
0,2021-04-15 20:00:00+00:00,0.010114097681577255,0.0317961755856626,0.0223297272189313,0.97099609375,Gauss Mix Indep
1,2021-04-14 20:00:00+00:00,0.011192535076099264,-0.0079191686092081,-0.0196825752526951,0.97099609375,Gauss Mix Indep
2,2021-04-13 20:00:00+00:00,0.004916610125813764,0.0535794121324595,0.0501163725785027,0.97099609375,Gauss Mix Indep
3,2021-04-12 20:00:00+00:00,0.001859505693879708,0.0318456208003348,0.030881808175611,0.97099609375,Gauss Mix Indep
4,2021-04-09 20:00:00+00:00,0.0009481986170678646,0.0108488308503093,0.0101963666970122,0.97099609375,Gauss Mix Indep
0,2021-04-08 20:00:00+00:00,-0.002120521433650987,0.0296990780177936,0.0325507191191601,0.9775390625,Gauss Mix Indep
1,2021-04-07 20:00:00+00:00,-0.001341690532417214,-0.0451924365517893,-0.0448583056182188,0.9775390625,Gauss Mix Indep
2,2021-04-06 20:00:00+00:00,0.012862632728738232,-0.0060844150918614,-0.0193823945737203,0.9775390625,Gauss Mix Indep
3,2021-04-05 20:00:00+00:00,0.0031227019223988286,0.0079877039803204,0.0049767853219897,0.9775390625,Gauss Mix Indep
4,2021-04-02 20:00:00+00:00,0.0070171162696209,0.0070171162696209,0.0,0.9775390625,Gauss Mix Indep
0,2021-04-01 20:00:00+00:00,0.009911227038305477,0.0135811799283741,0.0038323799300737,0.9576171875,t_Copula
1,2021-03-31 20:00:00+00:00,0.001218433360483071,-0.0038042549896862,-0.0052449855910395,0.9576171875,t_Copula
2,2021-03-30 20:00:00+00:00,-0.0008286014144421351,0.0236547458728115,0.0255669463819577,0.9576171875,t_Copula
3,2021-03-29 20:00:00+00:00,0.0010377583585114286,0.0695043470234849,0.0714968252018487,0.9576171875,t_Copula
4,2021-03-26 20:00:00+00:00,-0.007367057249645169,0.0327146924416343,0.0418557125064962,0.9576171875,t_Copula
0,2021-03-25 20:00:00+00:00,0.003239222084501857,-0.042648414245785,-0.0479674761149589,0.956640625,t_Copula
