,Date,rh,rs,rf,h,copula
0,2021-05-27 20:00:00+00:00,0.00314311755981177,0.0093466279815175,0.006582792406038,0.9423828124999998,t_Copula
1,2021-05-26 20:00:00+00:00,0.021331726763982206,0.0520939918435682,0.0326430667787524,0.9423828124999998,t_Copula
2,2021-05-25 20:00:00+00:00,0.000894185428436868,-0.0577640705988379,-0.0622446157222066,0.9423828124999998,t_Copula
3,2021-05-24 20:00:00+00:00,0.009893633541835742,0.0987886246418455,0.0943300216439482,0.9423828124999998,t_Copula
4,2021-05-21 20:00:00+00:00,-0.03016649236246255,-0.1327058064644117,-0.1088085571403067,0.9423828124999998,t_Copula
0,2021-05-20 20:00:00+00:00,0.01416706713530479,0.034773742307065,0.0212907228088815,0.96787109375,t_Copula
1,2021-05-19 20:00:00+00:00,-0.07398202698153442,-0.1615407960325523,-0.0904653208639313,0.96787109375,t_Copula
2,2021-05-18 20:00:00+00:00,0.011466821567198866,-0.0075942281922003,-0.0196937896817927,0.96787109375,t_Copula
3,2021-05-17 20:00:00+00:00,-0.015467667293567716,-0.142882760575718,-0.1316446932912137,0.96787109375,t_Copula
4,2021-05-14 20:00:00+00:00,0.02380638254405556,0.0594724362081333,0.0368500039875044,0.96787109375,t_Copula
0,2021-05-13 20:00:00+00:00,-0.004411082834779603,-0.1183612079678336,-0.1196032473721272,0.952734375,Gauss Mix Indep
1,2021-05-12 20:00:00+00:00,0.0146701028791935,-0.0256962730974971,-0.0423689719148536,0.952734375,Gauss Mix Indep
2,2021-05-11 20:00:00+00:00,0.003754558683658909,0.0218060200019173,0.0189470032696767,0.952734375,Gauss Mix Indep
3,2021-05-10 20:00:00+00:00,0.045068405587419154,0.0107786435775159,-0.0359908941145356,0.952734375,Gauss Mix Indep
4,2021-05-07 20:00:00+00:00,-0.007462833498263936,0.0176740994890412,0.0263839887033625,0.952734375,Gauss Mix Indep
0,2021-05-06 20:00:00+00:00,0.00943898304056263,-0.0089377898806551,-0.0192018525217622,0.95703125,t_Copula
1,2021-05-05 20:00:00+00:00,-0.0029207858759941613,0.0453158911491361,0.0504024053813606,0.95703125,t_Copula
2,2021-05-04 20:00:00+00:00,0.028882569864404527,-0.0279589243575175,-0.0593935613094369,0.95703125,t_Copula
3,2021-05-03 20:00:00+00:00,0.04076039177644299,0.0498640091495712,0.0095123512143707,0.95703125,t_Copula
4,2021-04-30 20:00:00+00:00,-0.015105217305644195,0.0634542962806105,0.0820866754207396,0.95703125,t_Copula
0,2021-04-29 20:00:00+00:00,0.009968713036036421,-0.037274584278731,-0.0494098012974383,0.95615234375,t_Copula
1,2021-04-28 20:00:00+00:00,0.006639831618361628,0.0190811327934895,0.0130118398563282,0.95615234375,t_Copula
2,2021-04-27 20:00:00+00:00,0.0117075821834485,0.0230800680067848,0.0118940102983315,0.95615234375,t_Copula
3,2021-04-26 20:00:00+00:00,-0.001895026715060151,0.0576512054084895,0.0622769295215145,0.95615234375,t_Copula
4,2021-04-23 20:00:00+00:00,-0.010606341232726968,-0.0477145951374314,-0.038809980592807,0.95615234375,t_Copula
0,2021-04-22 20:00:00+00:00,0.02283615779297931,-0.0278336194665042,-0.0532982556894824,0.95068359375,Gauss Mix Indep
1,2021-04-21 20:00:00+00:00,0.01289434151305327,-0.0057751445935631,-0.0196379597053674,0.95068359375,Gauss Mix Indep
2,2021-04-20 20:00:00+00:00,0.011203417857433527,0.0203241595322963,0.0095938772214273,0.95068359375,Gauss Mix Indep
3,2021-04-19 20:00:00+00:00,-0.008645500603493395,-0.1021783118378184,-0.0983847957924487,0.95068359375,Gauss Mix Indep
4,2021-04-16 20:00:00+00:00,0.008334345705125763,-0.0205594742007585,-0.0303926775383929,0.95068359375,Gauss Mix Indep
0,2021-04-15 20:00:00+00:00,0.01066797958720309,0.0317961755856626,0.0223297272189313,0.94619140625,Gauss Mix Indep
1,2021-04-14 20:00:00+00:00,0.010704314947760927,-0.0079191686092081,-0.0196825752526951,0.94619140625,Gauss Mix Indep
2,2021-04-13 20:00:00+00:00,0.006159731086257093,0.0535794121324595,0.0501163725785027,0.94619140625,Gauss Mix Indep
3,2021-04-12 20:00:00+00:00,0.002625519295110682,0.0318456208003348,0.030881808175611,0.94619140625,Gauss Mix Indep
4,2021-04-09 20:00:00+00:00,0.0012011163066226599,0.0108488308503093,0.0101963666970122,0.94619140625,Gauss Mix Indep
0,2021-04-08 20:00:00+00:00,-0.0014625137327070256,0.0296990780177936,0.0325507191191601,0.95732421875,Gauss Mix Indep
1,2021-04-07 20:00:00+00:00,-0.0022484941713792547,-0.0451924365517893,-0.0448583056182188,0.95732421875,Gauss Mix Indep
2,2021-04-06 20:00:00+00:00,0.012470820650929627,-0.0060844150918614,-0.0193823945737203,0.95732421875,Gauss Mix Indep
3,2021-04-05 20:00:00+00:00,0.0032233068600601433,0.0079877039803204,0.0049767853219897,0.95732421875,Gauss Mix Indep
4,2021-04-02 20:00:00+00:00,0.0070171162696209,0.0070171162696209,0.0,0.95732421875,Gauss Mix Indep
0,2021-04-01 20:00:00+00:00,0.00994491006503464,0.0135811799283741,0.0038323799300737,0.948828125,t_Copula
1,2021-03-31 20:00:00+00:00,0.0011723348543118258,-0.0038042549896862,-0.0052449855910395,0.948828125,t_Copula
2,2021-03-30 20:00:00+00:00,-0.0006038919247569607,0.0236547458728115,0.0255669463819577,0.948828125,t_Copula
3,2021-03-29 20:00:00+00:00,0.0016661484237620455,0.0695043470234849,0.0714968252018487,0.948828125,t_Copula
4,2021-03-26 20:00:00+00:00,-0.00699918477644354,0.0327146924416343,0.0418557125064962,0.948828125,t_Copula
0,2021-03-25 20:00:00+00:00,0.0029113194157472516,-0.042648414245785,-0.0479674761149589,0.9498046875,t_Copula
1,2021-03-24 20:00:00+00:00,-0.008165963270947495,-0.0127329621755865,-0.0048083558280386,0.9498046875,t_Copula
2,2021-03-23 20:00:00+00:00,0.00048464778954278136,-0.0130860503668121,-0.0142878829036679,0.9498046875,t_Copula
3,2021-03-22 20:00:00+00:00,0.005888852273134709,-0.054519914249564,-0.0636012512021833,0.9498046875,t_Copula
4,2021-03-19 20:00:00+00:00,0.0012103672579801064,0.0281489790539244,0.0283622645270892,0.9498046875,t_Copula
0,2021-03-18 20:00:00+00:00,-0.003146049495683966,-0.0140263563161695,-0.011305361932194,0.96240234375,t_Copula
1,2021-03-17 20:00:00+00:00,0.00041369734041815653,0.0353836473663903,0.0363361023100918,0.96240234375,t_Copula
2,2021-03-16 20:00:00+00:00,0.004758888721549946,-0.012843184950141,-0.0182897244442532,0.96240234375,t_Copula
3,2021-03-15 20:00:00+00:00,0.005382201409284006,0.0022161272992228,-0.0032897614294294,0.96240234375,t_Copula
4,2021-03-12 21:00:00+00:00,-0.004690702225409602,-0.0173339578233456,-0.013137182884106,0.96240234375,t_Copula
0,2021-03-11 21:00:00+00:00,-0.005160659601660702,0.0173348365407486,0.023301019674112,0.9654296875,t_Copula
1,2021-03-10 21:00:00+00:00,-0.010513058999185095,0.0229347326930701,0.0346454973628053,0.9654296875,t_Copula
2,2021-03-09 21:00:00+00:00,-0.0009651865332089907,0.0456976909603778,0.0483337917797217,0.9654296875,t_Copula
3,2021-03-08 21:00:00+00:00,0.016859747343096865,0.0666642634268648,0.0515879268357054,0.9654296875,t_Copula
4,2021-03-05 21:00:00+00:00,-0.0071808662700191365,0.0162459352900627,0.0242656734751404,0.9654296875,t_Copula
0,2021-03-04 21:00:00+00:00,0.006765083669796605,-0.0440141877729729,-0.0531133543997916,0.9560546875,t_Copula
1,2021-03-03 21:00:00+00:00,0.0037235404012467346,0.0625600521707672,0.0615409479591307,0.9560546875,t_Copula
2,2021-03-02 21:00:00+00:00,-0.003761091125285488,-0.0215532153520367,-0.0186099440328838,0.9560546875,t_Copula
3,2021-03-01 21:00:00+00:00,0.0007903714582782398,0.0494677030284016,0.050914798291937,0.9560546875,t_Copula
4,2021-02-26 21:00:00+00:00,-0.016517627304406236,-0.0663565117409081,-0.0521297422502328,0.9560546875,t_Copula
0,2021-02-25 21:00:00+00:00,0.005359279415862771,-0.0022729674060229,-0.0080621216686723,0.9466796875,t_Copula
1,2021-02-24 21:00:00+00:00,0.0022893307284575157,0.0337838248136583,0.0332683741935688,0.9466796875,t_Copula
2,2021-02-23 21:00:00+00:00,-0.009731452431147564,-0.1289197933418178,-0.1259014453192968,0.9466796875,t_Copula
3,2021-02-22 21:00:00+00:00,-0.007940632298517769,-0.0410473723195174,-0.0349714274618358,0.9466796875,t_Copula
4,2021-02-19 21:00:00+00:00,-0.010886743721593775,0.0482109802455461,0.0624263145681362,0.9466796875,t_Copula
0,2021-02-18 21:00:00+00:00,0.014567780223711163,0.0082589956960921,-0.0066545069594993,0.948046875,Gauss Mix Indep
1,2021-02-17 21:00:00+00:00,-0.008750005728003399,0.0631646845043628,0.0758556271095416,0.948046875,Gauss Mix Indep
2,2021-02-16 21:00:00+00:00,-0.009180945955340738,0.0084661666434414,0.0186141772776606,0.948046875,Gauss Mix Indep
3,2021-02-12 21:00:00+00:00,0.013275195346812289,0.0231573978723165,0.0104237488526126,0.948046875,Gauss Mix Indep
4,2021-02-11 21:00:00+00:00,-0.0021951389640233396,0.0509008671122502,0.0560056759601402,0.948046875,Gauss Mix Indep
0,2021-02-10 21:00:00+00:00,0.008894739298207818,-0.0486104313847115,-0.0599402430571146,0.959375,t_Copula
1,2021-02-09 21:00:00+00:00,-0.006324093062883819,0.0567763479504809,0.0657724466588818,0.959375,t_Copula
2,2021-02-08 21:00:00+00:00,-0.038599192146190384,0.1185451487432184,0.1637986615133903,0.959375,t_Copula
3,2021-02-05 21:00:00+00:00,0.009327435074251688,0.0130764629009996,0.003907781448076,0.959375,t_Copula
4,2021-02-04 21:00:00+00:00,0.001761969173939575,0.0148732113452087,0.01366644135116,0.959375,t_Copula
0,2021-02-03 21:00:00+00:00,0.010693562886456683,0.0424257744479177,0.0337738121182165,0.9395507812499998,t_Copula
1,2021-02-02 21:00:00+00:00,0.010855749905736081,0.0711244375869955,0.0641462802053941,0.9395507812499998,t_Copula
2,2021-02-01 21:00:00+00:00,0.008330490987340837,-0.0164297860250912,-0.026353314271625,0.9395507812499998,t_Copula
3,2021-01-29 21:00:00+00:00,-0.018743924734509865,0.0473573704085488,0.0703541484528553,0.9395507812499998,t_Copula
4,2021-01-28 21:00:00+00:00,-0.001150657201340069,0.0325411530064159,0.0358594882577093,0.9395507812499998,t_Copula
0,2021-01-27 21:00:00+00:00,0.0015024211283618666,-0.0185591887685045,-0.0208031276297632,0.96435546875,t_Copula
1,2021-01-26 21:00:00+00:00,0.0052031420912338755,-0.0392854145790667,-0.0461329438282408,0.96435546875,t_Copula
2,2021-01-25 21:00:00+00:00,0.017767078538403036,0.0143519161599371,-0.0035413936967586,0.96435546875,t_Copula
3,2021-01-22 21:00:00+00:00,0.0008873957893212117,0.0490897231292955,0.0499839829834265,0.96435546875,t_Copula
4,2021-01-21 21:00:00+00:00,-0.003547495783750243,-0.0941291002419092,-0.0939296840153466,0.96435546875,t_Copula
0,2021-01-20 21:00:00+00:00,9.674005519669238e-05,-0.0416087699278231,-0.0438509520716832,0.95107421875,t_Copula
1,2021-01-19 21:00:00+00:00,0.03419992444462086,0.0591612054400786,0.0262453555183784,0.95107421875,t_Copula
2,2021-01-15 21:00:00+00:00,0.010686919142576537,-0.0887807894523924,-0.1045845914377741,0.95107421875,t_Copula
3,2021-01-14 21:00:00+00:00,-0.0015263465787832275,0.0794175918496477,0.0851079093856795,0.95107421875,t_Copula
4,2021-01-13 21:00:00+00:00,0.001124206888832066,0.0511189850970682,0.0525666422479041,0.95107421875,t_Copula
0,2021-01-12 21:00:00+00:00,0.01602263531649644,0.0352568425865836,0.0202465339685128,0.95,t_Copula
1,2021-01-11 21:00:00+00:00,-0.002302907614713079,-0.1497170690859966,-0.1551728015487195,0.95,t_Copula
2,2021-01-08 21:00:00+00:00,-0.014745353828941965,-0.0178301573387687,-0.0032471615892913,0.95,t_Copula
3,2021-01-07 21:00:00+00:00,-0.0061296068045257335,0.0688947801592154,0.0789730389092012,0.95,t_Copula
4,2021-01-06 21:00:00+00:00,0.012189264068973034,0.0684296348162548,0.0592003902602966,0.95,t_Copula
0,2021-01-05 21:00:00+00:00,0.0005993009488762246,0.0842782860455474,0.0880921977372173,0.94990234375,t_Copula
1,2021-01-04 21:00:00+00:00,0.02865924618382508,0.1090460308642741,0.0846263673411944,0.94990234375,t_Copula
2,2020-12-31 21:00:00+00:00,0.0013931645762811674,0.0088574168227009,0.0078579153904943,0.94990234375,t_Copula
3,2020-12-30 21:00:00+00:00,-0.007821469710117213,0.0577615662045983,0.0690418718789644,0.94990234375,t_Copula
4,2020-12-29 21:00:00+00:00,-0.0014355290822499179,0.0020619061786013,0.0036818892845807,0.94990234375,t_Copula
0,2020-12-28 21:00:00+00:00,0.011465408027961033,0.1385332835374562,0.1350607271348589,0.9408203125,t_Copula
1,2020-12-24 21:00:00+00:00,0.005180874871585761,0.0028005565556859,-0.00253004562537,0.9408203125,t_Copula
2,2020-12-23 21:00:00+00:00,-0.020047500933405238,-0.0224218121304515,-0.0025236606453969,0.9408203125,t_Copula
3,2020-12-22 21:00:00+00:00,-0.0064567441365767815,0.0193866395644211,0.0274689899416876,0.9408203125,t_Copula
4,2020-12-21 21:00:00+00:00,-0.009254933510283968,-0.0124991446990609,-0.0034482792789159,0.9408203125,t_Copula
0,2020-12-18 21:00:00+00:00,0.0009889320028501742,-0.0008646587148824,-0.00193444445063,0.958203125,t_Copula
1,2020-12-17 21:00:00+00:00,-0.0043179799643743855,0.0819602698169069,0.0900417119608969,0.958203125,t_Copula
2,2020-12-16 21:00:00+00:00,-0.0051463003387926115,0.0636845283835237,0.0718332333995637,0.958203125,t_Copula
3,2020-12-15 21:00:00+00:00,-0.004506088394260319,0.0120865881206278,0.0173164500114609,0.958203125,t_Copula
4,2020-12-14 21:00:00+00:00,-0.009867620083861786,0.0563646403262317,0.0691213153892537,0.958203125,t_Copula
0,2020-12-11 21:00:00+00:00,-0.0006776040605033784,-0.0225580429424463,-0.0231271360601874,0.94609375,t_Copula
1,2020-12-10 21:00:00+00:00,-0.0007284022767430323,-0.0012371916140924,-0.0005377789858028,0.94609375,t_Copula
2,2020-12-09 21:00:00+00:00,0.005729063252140974,-0.0129063376141294,-0.0196972032277672,0.94609375,t_Copula
3,2020-12-08 21:00:00+00:00,-0.00793650244697841,-0.0249881508371898,-0.0180232121713217,0.94609375,t_Copula
4,2020-12-07 21:00:00+00:00,0.001529962167423883,0.0049649536223067,0.0036307093825351,0.94609375,t_Copula
0,2020-12-04 21:00:00+00:00,-0.0053592977776641924,-0.0292057693521384,-0.0246355799962284,0.96796875,t_Copula
1,2020-12-03 21:00:00+00:00,0.001954866858956201,0.0155449512894335,0.0140397966674826,0.96796875,t_Copula
2,2020-12-02 21:00:00+00:00,0.0023497054392125,0.0023497054392125,0.0,0.96796875,t_Copula
3,2020-12-01 21:00:00+00:00,0.000181254984060613,-0.021958766737942,-0.0228726616659914,0.96796875,t_Copula
4,2020-11-30 21:00:00+00:00,-0.012945157742744656,0.1346883191292821,0.1525188461631915,0.96796875,t_Copula
0,2020-11-27 21:00:00+00:00,-0.019627244538021726,-0.1303678590426381,-0.1154064616860647,0.9595703124999998,t_Copula
1,2020-11-25 21:00:00+00:00,0.008837435156446291,-0.0011192851747381,-0.0103762279860908,0.9595703124999998,t_Copula
2,2020-11-24 21:00:00+00:00,0.014191364279978594,0.0523316966154231,0.0397473033904897,0.9595703124999998,t_Copula
3,2020-11-23 21:00:00+00:00,0.054766234664110076,0.0419683614136325,-0.0133370875315378,0.9595703124999998,t_Copula
4,2020-11-20 21:00:00+00:00,0.005480191982631784,0.0380637210977658,0.0339563747342736,0.9595703124999998,t_Copula
0,2020-11-19 21:00:00+00:00,0.00028486599749236174,0.0226204108190572,0.023856887344615,0.9362304687499998,t_Copula
1,2020-11-18 21:00:00+00:00,-0.0039375227518300485,-0.0073482021841532,-0.003642991278501,0.9362304687499998,t_Copula
2,2020-11-17 21:00:00+00:00,0.0021801248164163636,0.0480684926507759,0.0490139654348432,0.9362304687499998,t_Copula
