,Date,rh,rs,rf,h,copula
0,2021-05-27 20:00:00+00:00,0.003125117736826509,0.0093466279815175,0.006582792406038,0.9451171875,t_Copula
1,2021-05-26 20:00:00+00:00,0.02124246837825905,0.0520939918435682,0.0326430667787524,0.9451171875,t_Copula
2,2021-05-25 20:00:00+00:00,0.0010643855495522866,-0.0577640705988379,-0.0622446157222066,0.9451171875,t_Copula
3,2021-05-24 20:00:00+00:00,0.00963569988890306,0.0987886246418455,0.0943300216439482,0.9451171875,t_Copula
4,2021-05-21 20:00:00+00:00,-0.029868968964032003,-0.1327058064644117,-0.1088085571403067,0.9451171875,t_Copula
0,2021-05-20 20:00:00+00:00,0.014410330276773457,0.034773742307065,0.0212907228088815,0.9564453125,t_Copula
1,2021-05-19 20:00:00+00:00,-0.07501566394843677,-0.1615407960325523,-0.0904653208639313,0.9564453125,t_Copula
2,2021-05-18 20:00:00+00:00,0.011241804634311195,-0.0075942281922003,-0.0196937896817927,0.9564453125,t_Copula
3,2021-05-17 20:00:00+00:00,-0.01697181076183646,-0.142882760575718,-0.1316446932912137,0.9564453125,t_Copula
4,2021-05-14 20:00:00+00:00,0.024227422628678413,0.0594724362081333,0.0368500039875044,0.9564453125,t_Copula
0,2021-05-13 20:00:00+00:00,-0.004819882996696043,-0.1183612079678336,-0.1196032473721272,0.94931640625,Gauss Mix Indep
1,2021-05-12 20:00:00+00:00,0.014525287057218901,-0.0256962730974971,-0.0423689719148536,0.94931640625,Gauss Mix Indep
2,2021-05-11 20:00:00+00:00,0.0038193189487408137,0.0218060200019173,0.0189470032696767,0.94931640625,Gauss Mix Indep
3,2021-05-10 20:00:00+00:00,0.04494538983605111,0.0107786435775159,-0.0359908941145356,0.94931640625,Gauss Mix Indep
4,2021-05-07 20:00:00+00:00,-0.00737265384937549,0.0176740994890412,0.0263839887033625,0.94931640625,Gauss Mix Indep
0,2021-05-06 20:00:00+00:00,0.009183958436757978,-0.0089377898806551,-0.0192018525217622,0.94375,t_Copula
1,2021-05-05 20:00:00+00:00,-0.002251378929522964,0.0453158911491361,0.0504024053813606,0.94375,t_Copula
2,2021-05-04 20:00:00+00:00,0.02809374912826357,-0.0279589243575175,-0.0593935613094369,0.94375,t_Copula
3,2021-05-03 20:00:00+00:00,0.04088672769100886,0.0498640091495712,0.0095123512143707,0.94375,t_Copula
4,2021-04-30 20:00:00+00:00,-0.014015003647712493,0.0634542962806105,0.0820866754207396,0.94375,t_Copula
0,2021-04-29 20:00:00+00:00,0.009751580120178537,-0.037274584278731,-0.0494098012974383,0.9517578125,t_Copula
1,2021-04-28 20:00:00+00:00,0.006697012555230258,0.0190811327934895,0.0130118398563282,0.9517578125,t_Copula
2,2021-04-27 20:00:00+00:00,0.01175985078339234,0.0230800680067848,0.0118940102983315,0.9517578125,t_Copula
3,2021-04-26 20:00:00+00:00,-0.0016213488021238134,0.0576512054084895,0.0622769295215145,0.9517578125,t_Copula
4,2021-04-23 20:00:00+00:00,-0.010776892905253958,-0.0477145951374314,-0.038809980592807,0.9517578125,t_Copula
0,2021-04-22 20:00:00+00:00,0.022310462106979533,-0.0278336194665042,-0.0532982556894824,0.9408203125,Gauss Mix Indep
1,2021-04-21 20:00:00+00:00,0.012700646793303065,-0.0057751445935631,-0.0196379597053674,0.9408203125,Gauss Mix Indep
2,2021-04-20 20:00:00+00:00,0.011298044966746435,0.0203241595322963,0.0095938772214273,0.9408203125,Gauss Mix Indep
3,2021-04-19 20:00:00+00:00,-0.00961589751511814,-0.1021783118378184,-0.0983847957924487,0.9408203125,Gauss Mix Indep
4,2021-04-16 20:00:00+00:00,0.008034574178624035,-0.0205594742007585,-0.0303926775383929,0.9408203125,Gauss Mix Indep
0,2021-04-15 20:00:00+00:00,0.010896946516694084,0.0317961755856626,0.0223297272189313,0.9359375,Gauss Mix Indep
1,2021-04-14 20:00:00+00:00,0.01050249166636122,-0.0079191686092081,-0.0196825752526951,0.9359375,Gauss Mix Indep
2,2021-04-13 20:00:00+00:00,0.0066736196722671295,0.0535794121324595,0.0501163725785027,0.9359375,Gauss Mix Indep
3,2021-04-12 20:00:00+00:00,0.0029421784609738807,0.0318456208003348,0.030881808175611,0.9359375,Gauss Mix Indep
4,2021-04-09 20:00:00+00:00,0.0013056688948244449,0.0108488308503093,0.0101963666970122,0.9359375,Gauss Mix Indep
0,2021-04-08 20:00:00+00:00,-0.0010842387741933496,0.0296990780177936,0.0325507191191601,0.945703125,Gauss Mix Indep
