,Date,rh,rs,rf,h,copula
0,2021-05-27 20:00:00+00:00,-0.0006306976888193309,0.0055728127328864,0.006582792406038,0.9423828124999998,t_Copula
1,2021-05-26 20:00:00+00:00,0.023250015730558606,0.0540122808101446,0.0326430667787524,0.9423828124999998,t_Copula
2,2021-05-25 20:00:00+00:00,0.001032476806818762,-0.057625779220456,-0.0622446157222066,0.9423828124999998,t_Copula
3,2021-05-24 20:00:00+00:00,0.004375745122540339,0.0932707362225501,0.0943300216439482,0.9423828124999998,t_Copula
4,2021-05-21 20:00:00+00:00,-0.028636977317349738,-0.1311762914192989,-0.1088085571403067,0.9423828124999998,t_Copula
0,2021-05-20 20:00:00+00:00,0.012707938356069589,0.0333146135278298,0.0212907228088815,0.96787109375,t_Copula
1,2021-05-19 20:00:00+00:00,-0.069734774355345,-0.1572935434063629,-0.0904653208639313,0.96787109375,t_Copula
2,2021-05-18 20:00:00+00:00,0.0069937179707606646,-0.0120673317886385,-0.0196937896817927,0.96787109375,t_Copula
3,2021-05-17 20:00:00+00:00,0.003881745201313888,-0.1235333480808364,-0.1316446932912137,0.96787109375,t_Copula
4,2021-05-14 20:00:00+00:00,0.01909426814798086,0.0547603218120586,0.0368500039875044,0.96787109375,t_Copula
0,2021-05-13 20:00:00+00:00,0.005300829537038199,-0.1090931357718108,-0.1196032473721272,0.9564453125,t_Copula
1,2021-05-12 20:00:00+00:00,0.011993096947956076,-0.0285305076354498,-0.0423689719148536,0.9564453125,t_Copula
2,2021-05-11 20:00:00+00:00,0.0027545899368778444,0.0208763624000823,0.0189470032696767,0.9564453125,t_Copula
3,2021-05-10 20:00:00+00:00,0.03800932392189311,0.0035860019533617,-0.0359908941145356,0.9564453125,t_Copula
4,2021-05-07 20:00:00+00:00,-0.0064692332386485155,0.0187656090817355,0.0263839887033625,0.9564453125,t_Copula
0,2021-05-06 20:00:00+00:00,0.00853978703821143,-0.0098369858830063,-0.0192018525217622,0.95703125,t_Copula
1,2021-05-05 20:00:00+00:00,-0.003677276024136665,0.0445594010009936,0.0504024053813606,0.95703125,t_Copula
2,2021-05-04 20:00:00+00:00,0.01888035753815563,-0.0379611366837664,-0.0593935613094369,0.95703125,t_Copula
3,2021-05-03 20:00:00+00:00,0.02608596934582029,0.0351895867189485,0.0095123512143707,0.95703125,t_Copula
4,2021-04-30 20:00:00+00:00,-0.015065089398544493,0.0634944241877102,0.0820866754207396,0.95703125,t_Copula
0,2021-04-29 20:00:00+00:00,0.014468425554218123,-0.0327748717605493,-0.0494098012974383,0.95615234375,t_Copula
1,2021-04-28 20:00:00+00:00,0.005143153977594829,0.0175844551527227,0.0130118398563282,0.95615234375,t_Copula
2,2021-04-27 20:00:00+00:00,0.012575818202716499,0.0239483040260528,0.0118940102983315,0.95615234375,t_Copula
