,Date,rh,rs,rf,h,copula
0,2021-05-27 20:00:00+00:00,-0.03124151690290183,-0.0249817225045987,0.006582792406038,0.9509329798341196,NIG
1,2021-05-26 20:00:00+00:00,0.10469895151384602,0.1357403202766892,0.0326430667787524,0.9509329798341196,NIG
2,2021-05-25 20:00:00+00:00,0.009249838053439215,-0.0499406198539084,-0.0622446157222066,0.9509329798341196,NIG
3,2021-05-24 20:00:00+00:00,-0.026386555135073764,0.0633149734346229,0.0943300216439482,0.9509329798341196,NIG
4,2021-05-21 20:00:00+00:00,-0.09708213504814336,-0.2005517805210263,-0.1088085571403067,0.9509329798341196,NIG
0,2021-05-20 20:00:00+00:00,0.07630131738030299,0.098506364251997,0.0212907228088815,1.0429447168618955,NIG
1,2021-05-19 20:00:00+00:00,-0.11967379434299584,-0.2140241227972492,-0.0904653208639313,1.0429447168618955,NIG
2,2021-05-18 20:00:00+00:00,-0.007986715270525396,-0.0285262491741404,-0.0196937896817927,1.0429447168618955,NIG
3,2021-05-17 20:00:00+00:00,0.22256375720130153,0.0852656198303256,-0.1316446932912137,1.0429447168618955,NIG
4,2021-05-14 20:00:00+00:00,-0.016176756644587995,0.0222557603305195,0.0368500039875044,1.0429447168618955,NIG
0,2021-05-13 20:00:00+00:00,0.22447595428123346,0.0903887598500817,-0.1196032473721272,1.121099948180838,NIG
1,2021-05-12 20:00:00+00:00,0.026028968092110853,-0.0214708841261069,-0.0423689719148536,1.121099948180838,NIG
2,2021-05-11 20:00:00+00:00,0.03858927142886828,0.059830755812685,0.0189470032696767,1.121099948180838,NIG
3,2021-05-10 20:00:00+00:00,0.04102404161071448,0.0006746520839266,-0.0359908941145356,1.121099948180838,NIG
4,2021-05-07 20:00:00+00:00,0.002998257765676686,0.0325773461338202,0.0263839887033625,1.121099948180838,NIG
0,2021-05-06 20:00:00+00:00,0.1072092159021752,0.0862385638057538,-0.0192018525217622,1.0921160899790558,NIG
1,2021-05-05 20:00:00+00:00,0.060041421641250536,0.1150866995318814,0.0504024053813606,1.0921160899790558,NIG
2,2021-05-04 20:00:00+00:00,0.02062192964602806,-0.0442427343011655,-0.0593935613094369,1.0921160899790558,NIG
3,2021-05-03 20:00:00+00:00,-0.005617860159648853,0.0047707316550972,0.0095123512143707,1.0921160899790558,NIG
4,2021-04-30 20:00:00+00:00,-0.045135828792897896,0.0445123502069801,0.0820866754207396,1.0921160899790558,NIG
0,2021-04-29 20:00:00+00:00,0.030190530346875452,-0.0253239281832231,-0.0494098012974383,1.1235515438710488,NIG
1,2021-04-28 20:00:00+00:00,0.013650486716759705,0.0282699594759401,0.0130118398563282,1.1235515438710488,NIG
2,2021-04-27 20:00:00+00:00,0.03250114381347188,0.0458646774469804,0.0118940102983315,1.1235515438710488,NIG
3,2021-04-26 20:00:00+00:00,0.01784489124729839,0.0878162315587445,0.0622769295215145,1.1235515438710488,NIG
4,2021-04-23 20:00:00+00:00,-0.027098836979636748,-0.0707038505922905,-0.038809980592807,1.1235515438710488,NIG
0,2021-04-22 20:00:00+00:00,0.024924997882368995,-0.0371818456254693,-0.0532982556894824,1.1652697204515483,NIG
1,2021-04-21 20:00:00+00:00,0.02278280260760434,-0.0001007172085079,-0.0196379597053674,1.1652697204515483,NIG
2,2021-04-20 20:00:00+00:00,0.014302111196561633,0.0254815658244207,0.0095938772214273,1.1652697204515483,NIG
3,2021-04-19 20:00:00+00:00,-0.03642883582502124,-0.1510736593147706,-0.0983847957924487,1.1652697204515483,NIG
4,2021-04-16 20:00:00+00:00,0.0064296050652187416,-0.0289860617937184,-0.0303926775383929,1.1652697204515483,NIG
0,2021-04-15 20:00:00+00:00,0.01693194968952497,0.0423751811894976,0.0223297272189313,1.1394331534154023,NIG
1,2021-04-14 20:00:00+00:00,0.01922318687646044,-0.0032037919110539,-0.0196825752526951,1.1394331534154023,NIG
2,2021-04-13 20:00:00+00:00,0.024506529831685574,0.0816107862765501,0.0501163725785027,1.1394331534154023,NIG
3,2021-04-12 20:00:00+00:00,0.041760097144535005,0.076947853217241,0.030881808175611,1.1394331534154023,NIG
4,2021-04-09 20:00:00+00:00,-0.0163168984521474,-0.004698820193191,0.0101963666970122,1.1394331534154023,NIG
