,Date,rh,rs,rf,h,copula
0,2021-05-27 20:00:00+00:00,-0.017535115558759883,-0.0123929518423636,0.006582792406038,0.7811523437499998,Plackett
1,2021-05-26 20:00:00+00:00,0.055425032174111905,0.0809242402955221,0.0326430667787524,0.7811523437499998,Plackett
2,2021-05-25 20:00:00+00:00,0.030067935175516074,-0.0185545922817037,-0.0622446157222066,0.7811523437499998,Plackett
3,2021-05-24 20:00:00+00:00,-0.13303005062829593,-0.0593439331351376,0.0943300216439482,0.7811523437499998,Plackett
4,2021-05-21 20:00:00+00:00,-0.09206804713433377,-0.1770641065645401,-0.1088085571403067,0.7811523437499998,Plackett
0,2021-05-20 20:00:00+00:00,-0.004320080189555953,0.0141970269721529,0.0212907228088815,0.8697265624999999,Plackett
1,2021-05-19 20:00:00+00:00,-0.22542834657826288,-0.3041084391187094,-0.0904653208639313,0.8697265624999999,Plackett
2,2021-05-18 20:00:00+00:00,0.04847368483399173,0.0313454728314482,-0.0196937896817927,0.8697265624999999,Plackett
3,2021-05-17 20:00:00+00:00,0.21720978508373778,0.1027148985162037,-0.1316446932912137,0.8697265624999999,Plackett
4,2021-05-14 20:00:00+00:00,0.06153621393450441,0.0935856412306679,0.0368500039875044,0.8697265624999999,Plackett
0,2021-05-13 20:00:00+00:00,-0.0002828871987922421,-0.1047254885661322,-0.1196032473721272,0.8732421874999998,Plackett
1,2021-05-12 20:00:00+00:00,-0.013711699591188085,-0.0507100733082409,-0.0423689719148536,0.8732421874999998,Plackett
2,2021-05-11 20:00:00+00:00,0.02841760149469097,0.0449629240764731,0.0189470032696767,0.8732421874999998,Plackett
3,2021-05-10 20:00:00+00:00,-0.09409012721317958,-0.1255188943198375,-0.0359908941145356,0.8732421874999998,Plackett
4,2021-05-07 20:00:00+00:00,-0.03973709119813636,-0.0166974791878368,0.0263839887033625,0.8732421874999998,Plackett
0,2021-05-06 20:00:00+00:00,0.03195128516725847,0.0157422213783803,-0.0192018525217622,0.8441406249999999,Plackett
1,2021-05-05 20:00:00+00:00,0.078885964020978,0.1214326820011031,0.0504024053813606,0.8441406249999999,Plackett
2,2021-05-04 20:00:00+00:00,-0.05501811550072512,-0.105154633465449,-0.0593935613094369,0.8441406249999999,Plackett
3,2021-05-03 20:00:00+00:00,-0.02328120627642199,-0.0152514441771036,0.0095123512143707,0.8441406249999999,Plackett
4,2021-04-30 20:00:00+00:00,0.08532468010657605,0.1546173776004113,0.0820866754207396,0.8441406249999999,Plackett
0,2021-04-29 20:00:00+00:00,0.034886210478236,-0.0089022608864371,-0.0494098012974383,0.8862304687499999,Plackett
1,2021-04-28 20:00:00+00:00,-0.009338322016975573,0.0021931669181981,0.0130118398563282,0.8862304687499999,Plackett
2,2021-04-27 20:00:00+00:00,0.010307146450873848,0.0208479807728815,0.0118940102983315,0.8862304687499999,Plackett
3,2021-04-26 20:00:00+00:00,0.1149978878931949,0.1701896003353574,0.0622769295215145,0.8862304687499999,Plackett
4,2021-04-23 20:00:00+00:00,-0.10154469050663785,-0.1359392777995796,-0.038809980592807,0.8862304687499999,Plackett
0,2021-04-22 20:00:00+00:00,-0.01928036296925955,-0.0599775369180938,-0.0532982556894824,0.7635742187499998,Plackett
1,2021-04-21 20:00:00+00:00,-0.002036175182705312,-0.0170312149225752,-0.0196379597053674,0.7635742187499998,Plackett
2,2021-04-20 20:00:00+00:00,0.026915430749163333,0.0342410680532981,0.0095938772214273,0.7635742187499998,Plackett
3,2021-04-19 20:00:00+00:00,-0.10803481790959202,-0.1831589114936893,-0.0983847957924487,0.7635742187499998,Plackett
4,2021-04-16 20:00:00+00:00,-0.06489722521331018,-0.0881042902204092,-0.0303926775383929,0.7635742187499998,Plackett
0,2021-04-15 20:00:00+00:00,0.017438472935129196,0.0350144105703427,0.0223297272189313,0.7871093749999999,Plackett
1,2021-04-14 20:00:00+00:00,-0.045772013044037295,-0.0612643525495766,-0.0196825752526951,0.7871093749999999,Plackett
2,2021-04-13 20:00:00+00:00,0.23554060322044268,0.2749876699179751,0.0501163725785027,0.7871093749999999,Plackett
3,2021-04-12 20:00:00+00:00,0.2758608161341133,0.3001681768660883,0.030881808175611,0.7871093749999999,Plackett
4,2021-04-09 20:00:00+00:00,0.02093538414177521,0.0289610399599313,0.0101963666970122,0.7871093749999999,Plackett
