,file,risk measure,OHR,copula
0,0.csv,Variance,0.9633789062499999,Gaussian
1,0.csv,ERM k=10,0.9332031249999999,Gaussian
2,0.csv,ES q=0.01,1.1544921875000005,Gaussian
3,0.csv,ES q=0.05,0.9597656249999998,Gaussian
4,0.csv,VaR q=0.01,0.9453124999999999,Gaussian
5,0.csv,VaR q=0.05,0.8678710937499998,Gaussian
6,1.csv,Variance,0.88681640625,Gaussian
7,1.csv,ERM k=10,0.8722656249999999,Gaussian
8,1.csv,ES q=0.01,1.07568359375,Gaussian
9,1.csv,ES q=0.05,0.89443359375,Gaussian
10,1.csv,VaR q=0.01,0.9103515624999998,Gaussian
11,1.csv,VaR q=0.05,0.7909179687499999,Gaussian
12,10.csv,Variance,0.8455078125,Gaussian
13,10.csv,ERM k=10,0.8123046874999997,Gaussian
14,10.csv,ES q=0.01,0.98359375,Gaussian
15,10.csv,ES q=0.05,0.8342773437499998,Gaussian
16,10.csv,VaR q=0.01,0.7979492187499997,Gaussian
17,10.csv,VaR q=0.05,0.7659179687499997,Gaussian
18,11.csv,Variance,0.8333007812499998,Gaussian
19,11.csv,ERM k=10,0.8185546874999998,Gaussian
20,11.csv,ES q=0.01,0.9521484375,Gaussian
21,11.csv,ES q=0.05,0.8412109374999999,Gaussian
22,11.csv,VaR q=0.01,0.8046874999999998,Gaussian
23,11.csv,VaR q=0.05,0.7753906249999998,Gaussian
24,12.csv,Variance,0.8383789062499999,Gaussian
25,12.csv,ERM k=10,0.8128906249999998,Gaussian
26,12.csv,ES q=0.01,0.975390625,Gaussian
27,12.csv,ES q=0.05,0.83974609375,Gaussian
28,12.csv,VaR q=0.01,0.8154296874999998,Gaussian
29,12.csv,VaR q=0.05,0.7523437499999999,Gaussian
30,13.csv,Variance,0.8430664062499998,Gaussian
31,13.csv,ERM k=10,0.8012695312499999,Gaussian
32,13.csv,ES q=0.01,0.9728515625,Gaussian
33,13.csv,ES q=0.05,0.8289062499999997,Gaussian
34,13.csv,VaR q=0.01,0.7875976562499999,Gaussian
35,13.csv,VaR q=0.05,0.7513671874999999,Gaussian
36,14.csv,Variance,0.8668945312499999,Gaussian
