,file_name,risk_measure,OHR,copula
0,10.csv,ERM k=10,0.8754882812499999,Gaussian
1,10.csv,ES q=0.01,0.8251953124999998,Gaussian
2,10.csv,ES q=0.05,0.8681640625,Gaussian
3,10.csv,VaR q=0.01,0.8650390625,Gaussian
4,10.csv,VaR q=0.05,0.9150390625,Gaussian
5,10.csv,Variance,0.8660156249999998,Gaussian
6,8.csv,ERM k=10,0.8630859374999997,Gaussian
7,8.csv,ES q=0.01,0.8353515624999999,Gaussian
8,8.csv,ES q=0.05,0.8564453124999998,Gaussian
9,8.csv,VaR q=0.01,0.8479492187499998,Gaussian
10,8.csv,VaR q=0.05,0.88798828125,Gaussian
11,8.csv,Variance,0.8649414062499999,Gaussian
12,11.csv,ERM k=10,0.9240234374999998,Gaussian
13,11.csv,ES q=0.01,0.8604492187499998,Gaussian
14,11.csv,ES q=0.05,0.91875,Gaussian
15,11.csv,VaR q=0.01,0.927734375,Gaussian
16,11.csv,VaR q=0.05,0.95634765625,Gaussian
17,11.csv,Variance,0.9161132812499999,Gaussian
18,9.csv,ERM k=10,0.8747070312499999,Gaussian
19,9.csv,ES q=0.01,0.8512695312499999,Gaussian
20,9.csv,ES q=0.05,0.87041015625,Gaussian
21,9.csv,VaR q=0.01,0.8669921875,Gaussian
22,9.csv,VaR q=0.05,0.8998046874999999,Gaussian
23,9.csv,Variance,0.8738281249999998,Gaussian
24,7.csv,ERM k=10,0.8286132812499998,Gaussian
25,7.csv,ES q=0.01,0.8359374999999999,Gaussian
26,7.csv,ES q=0.05,0.8318359374999997,Gaussian
27,7.csv,VaR q=0.01,0.8462890624999999,Gaussian
28,7.csv,VaR q=0.05,0.8339843749999999,Gaussian
29,7.csv,Variance,0.8601562499999997,Gaussian
30,5.csv,ERM k=10,0.9078124999999999,Gaussian
31,5.csv,ES q=0.01,0.9474609374999998,Gaussian
32,5.csv,ES q=0.05,0.9322265624999999,Gaussian
33,5.csv,VaR q=0.01,0.95693359375,Gaussian
34,5.csv,VaR q=0.05,0.8464843749999998,Gaussian
35,5.csv,Variance,0.8974609374999998,Gaussian
36,1.csv,ERM k=10,0.9003906249999999,Gaussian
37,1.csv,ES q=0.01,0.9815429687499999,Gaussian
38,1.csv,ES q=0.05,0.9140624999999999,Gaussian
39,1.csv,VaR q=0.01,0.8812499999999999,Gaussian
40,1.csv,VaR q=0.05,0.8483398437499999,Gaussian
41,1.csv,Variance,0.9014648437499999,Gaussian
42,3.csv,ERM k=10,0.8736328124999999,Gaussian
43,3.csv,ES q=0.01,0.9443359374999998,Gaussian
44,3.csv,ES q=0.05,0.8880859374999999,Gaussian
